Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities
2011-03-31,316.81,316.81,1470.76,19720.99,21191.75,21508.56,312898.73,31589.69,12328.27,378325.24,23776.9,5914.32,95162.35,242106.67,3105.6,8259.42,378325.24,5194.0,57020.0,12.42,8.44,3.98,4379.39,2.0,2038.63,0.85,1.0,11981.54,138915.26
2012-03-31,339.18,339.18,1449.53,26028.37,27477.89,27817.07,379588.48,37264.27,13524.18,458194.0,18492.9,10335.14,122629.47,293774.76,3168.86,9792.88,458194.0,5675.0,62127.0,12.63,9.28,3.35,8719.62,3.0,4454.23,1.52,2.0,16713.41,224750.05
2013-03-31,353.47,353.47,1428.85,30894.58,32323.43,32676.9,391560.06,39620.92,15019.15,478877.04,17886.25,9249.13,129896.19,308725.21,3357.68,9762.58,478877.04,5874.0,63292.0,12.72,9.76,2.96,13465.79,4.0,7236.5,2.35,2.0,17531.43,231810.55
2014-03-31,362.07,362.07,1408.18,34125.07,35533.25,35895.32,451396.75,48034.41,15093.44,550419.92,22245.58,22972.87,143785.5,349269.13,3419.74,8727.1,550419.92,6201.0,65541.0,12.11,9.32,2.79,18880.06,5.0,9916.99,2.85,3.0,63999.9,238008.93
2015-03-31,370.91,370.91,1387.55,37321.06,38708.61,39079.52,501378.64,45670.55,17204.89,603333.6,24224.94,31709.23,151282.36,380534.4,3551.48,12031.19,603333.6,6560.0,68290.0,12.89,9.67,3.23,25694.86,7.0,15396.5,4.06,4.0,61002.82,293586.0
2016-03-31,392.72,392.72,2844.78,35072.64,37917.42,38310.14,553051.13,59755.24,16273.94,667390.46,26479.07,47144.02,157845.89,412325.8,5222.73,18372.94,667390.46,6760.0,70801.0,11.28,8.41,2.87,55818.33,13.0,35422.56,8.61,9.0,55173.05,359017.11
2017-03-31,425.59,425.59,3750.53,37670.86,41421.39,41846.98,621704.02,40763.34,16016.21,720330.55,25210.0,63121.65,186725.44,419493.15,6273.25,19507.06,720330.55,6938.0,73919.0,11.66,8.91,2.75,55370.45,13.0,32702.1,7.81,8.0,25779.13,0.0
2018-03-31,552.11,552.11,3683.82,36838.37,40522.19,41074.31,642226.19,60850.75,21678.86,765830.1,28789.03,66672.97,200305.98,433734.72,6349.33,29978.07,765830.1,6983.0,74897.0,9.2,7.12,2.08,86620.05,18.0,48684.29,11.24,11.0,27858.61,0.0
2019-03-31,920.81,920.81,3582.23,40284.09,43866.32,44787.13,676030.14,39325.91,14806.28,774949.46,32129.13,43158.91,202128.22,458249.2,6224.85,33059.15,774949.46,6989.0,70810.0,9.73,7.49,2.24,78472.7,16.0,30037.66,6.56,7.0,27335.9,305400.13
2020-03-31,1347.51,1347.51,4758.69,56251.28,61009.97,62357.49,703846.32,50225.43,14236.68,830665.91,38397.85,37595.18,240465.64,471827.72,7239.07,35140.45,830665.91,7040.0,68781.0,14.14,11.91,2.24,73478.76,14.0,27218.9,5.78,6.0,28049.91,210800.74
2021-03-31,2095.54,2095.54,7200.41,81641.36,88841.77,90937.31,1106332.47,42840.31,20522.52,1260632.62,43958.83,67390.88,392983.25,674230.08,11020.9,71048.68,1260632.62,10769.0,101802.0,14.32,11.49,2.83,104423.42,14.0,38575.7,5.73,6.0,40491.16,383279.78
2022-03-31,2202.2,2202.2,7048.62,86236.07,93284.69,95486.9,1146218.45,45681.41,27418.27,1314805.02,56636.12,76010.66,372167.76,728185.68,10673.61,71131.2,1314805.02,10098.0,103144.0,14.5,11.73,2.77,92448.04,12.0,34908.73,4.8,5.0,37786.05,605180.05
2023-03-31,2202.2,2202.2,0.0,97653.46,97653.46,99855.66,1281163.1,51291.73,29520.87,1461831.36,78176.58,76932.23,395996.72,830833.98,12051.07,67840.78,1461831.36,0.0,0.0,15.5,0.0,0.0,77327.67,9.0,22585.04,2.72,0.0,0.0,0.0
2024-03-31,2202.2,2202.2,8305.63,95968.74,104274.37,106476.57,1369712.81,50429.85,35215.77,1561835.01,65032.91,64071.67,420318.21,934430.59,12318.77,65662.85,1561835.01,10136.0,102349.0,15.97,13.17,2.8,56343.05,5.73,6978.77,0.73,0.73,36019.12,223523.69
2025-03-31,2298.59,2298.59,0.0,125063.66,125063.66,127362.25,1566623.28,83776.71,40408.49,1818170.73,64304.61,84415.23,497311.25,1077474.57,13053.39,81611.68,1818170.73,0.0,0.0,17.01,0.0,0.0,44081.6,3.95,4290.55,0.4,0.97,0.0,0.0
