Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,7890.81,2517.67,113.05,26.92,970.5,6815.12,1407.47,614.45,2681.91,801.59,1880.32,574.7,1305.62,1305.62,339.18,26028.37,56.1,11.17,11.66,38.49,38.49,13997.82,7586.17,4.61,2.56,1.03,14.89,43.9,19.03,100.0,56.1
2013-03-31,7792.55,2405.63,102.28,78.34,1174.04,6600.13,1421.27,679.73,2851.71,1477.7,1374.01,243.21,1130.8,1130.8,353.47,30894.58,57.87,12.28,12.72,32.91,32.91,13465.79,7236.5,4.27,2.35,0.93,14.89,42.13,20.46,100.0,57.87
2013-06-30,7874.73,2439.32,78.57,11.92,1342.05,6497.03,1615.93,659.83,2973.8,1066.48,1907.32,632.0,1275.32,1275.32,353.47,30894.58,57.87,0.0,12.44,36.08,36.08,15090.63,9060.01,4.84,2.98,1.04,14.89,42.13,20.46,100.0,57.87
2013-09-30,8022.84,2568.3,100.9,41.47,899.33,6717.97,1658.7,721.33,2534.84,1898.73,636.11,130.62,505.49,505.49,353.47,30894.58,57.87,0.0,12.32,14.3,14.3,16526.26,9609.02,5.14,3.07,0.4,14.89,42.13,20.46,100.0,57.87
2013-12-31,8246.39,2598.81,94.93,43.74,938.43,6762.75,1758.04,699.13,2702.38,1590.04,1112.34,356.93,755.41,755.41,362.07,30894.58,58.87,0.0,11.62,21.29,21.29,16595.84,9083.99,4.96,2.8,0.58,14.89,41.13,21.32,100.0,58.87
2014-03-31,8249.13,2659.4,87.84,104.96,1396.9,7099.53,1477.78,747.49,3173.43,2138.69,1034.74,228.39,806.35,806.35,362.07,34125.07,58.87,0.0,12.28,22.27,22.27,18880.06,9916.99,5.25,2.85,0.58,14.89,41.13,21.32,100.0,58.87
2014-06-30,8835.74,2598.53,92.52,61.9,1236.44,7208.99,1767.38,723.46,3125.3,927.61,2197.69,792.57,1405.12,1405.12,362.07,34125.07,58.87,0.0,12.35,38.81,38.81,19602.84,10463.63,5.48,3.02,1.0,14.89,41.13,21.32,100.0,58.87
2014-09-30,8654.17,2609.2,137.33,61.39,1558.37,7310.89,2034.08,799.46,2876.03,1767.93,1108.1,532.76,575.34,575.34,362.07,34125.07,58.87,0.0,12.54,15.89,15.89,20751.89,11617.77,5.65,3.26,0.4,14.89,41.13,21.32,100.0,58.87
2014-12-31,8735.76,2611.63,211.43,55.24,1290.79,7380.97,2028.58,744.57,2750.73,1467.77,1282.96,508.4,774.56,774.56,362.07,34125.07,58.87,0.0,12.25,4.28,4.28,22211.43,13787.76,5.97,3.82,0.53,74.45,41.13,106.58,100.0,58.87
2015-03-31,8568.71,2780.63,190.97,110.21,1805.13,7858.94,1506.87,887.15,3202.69,3834.19,-631.5,-938.06,306.56,306.56,370.91,0.0,59.86,0.0,12.99,1.69,1.69,25694.86,15396.5,6.55,4.06,0.2,74.45,40.14,111.0,100.0,59.86
2015-06-30,8908.1,2905.76,169.14,51.69,1397.36,7932.22,1549.64,818.09,3132.1,1811.39,1320.71,600.0,720.71,720.71,370.91,0.0,59.86,0.0,12.83,3.89,3.89,25397.42,15393.55,6.47,4.05,0.46,74.45,40.14,111.0,100.0,59.86
2015-09-30,9063.55,3028.59,218.25,34.64,1356.9,8023.06,1877.56,862.79,2938.52,1882.08,1056.44,435.41,621.03,621.03,392.72,0.0,62.08,0.0,13.17,3.35,3.35,24945.24,15186.98,6.36,3.99,0.39,74.45,37.92,121.91,100.0,62.08
2015-12-31,8881.43,3119.16,184.28,35.73,1670.6,8100.97,1991.18,881.17,2917.88,3775.53,-857.65,-908.66,51.01,51.01,392.72,0.0,62.08,0.0,0.0,0.26,0.26,34338.22,22983.4,8.47,5.86,0.03,0.0,0.0,0.0,0.0,0.0
2016-03-31,7592.46,2980.14,158.83,92.6,2452.16,8056.32,1007.57,984.45,3227.85,10485.23,-7257.38,-1890.24,-5367.14,-5367.14,392.72,0.0,62.08,0.0,0.0,-27.33,-27.33,55818.33,35422.57,12.9,8.61,-3.18,0.0,0.0,0.0,0.0,0.0
2016-06-30,8509.85,2785.19,235.7,44.2,2355.06,7875.94,1899.79,879.65,3274.62,2738.38,536.24,229.88,306.36,306.36,392.72,0.0,62.08,0.0,0.0,1.56,1.56,56654.09,35728.52,13.75,9.16,0.18,0.0,0.0,0.0,0.0,0.0
2016-09-30,8467.29,2909.33,253.17,200.57,2387.91,7950.51,1967.16,988.56,3312.04,2533.76,778.28,228.92,549.36,549.36,425.59,0.0,65.01,0.0,0.0,2.76,2.76,56465.63,35722.32,13.63,9.1,0.32,0.0,0.0,0.0,0.0,0.0
