Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,632.4,6.03,638.43,12.22,2.74,69.88,455.72,97.87,9.15,107.02,0.0,107.02,107.02,30.71,76.31,76.31,1660.84,0.62,0.62,73.78,100.0,92.3,100.0,55.57
2013-03-31,704.04,6.81,710.85,16.46,2.87,52.59,415.48,223.45,24.53,247.98,0.0,247.98,247.98,98.04,149.94,149.94,1660.84,0.9,0.9,73.9,44.47,92.3,100.0,55.53
2013-06-30,540.57,10.87,551.44,9.75,3.25,53.31,415.06,70.07,10.09,80.16,0.0,80.16,80.16,25.05,55.11,55.11,1660.99,0.33,0.33,73.9,44.47,92.3,100.0,55.53
2013-09-30,734.36,7.34,741.7,20.14,3.28,208.39,392.44,117.45,15.25,132.7,0.0,132.7,132.7,-7.61,140.31,140.31,1661.05,0.84,0.84,73.9,44.47,92.3,100.0,55.53
2013-12-31,782.86,7.78,790.64,9.44,3.27,132.83,438.5,206.6,12.42,219.02,0.0,219.02,219.02,76.63,142.39,142.39,1661.05,0.86,0.86,73.9,44.47,92.3,100.0,55.53
2014-03-31,792.54,8.19,800.73,19.56,3.24,125.86,452.49,199.58,28.99,228.57,0.0,228.57,228.57,58.28,170.29,170.29,1661.12,1.02,1.02,73.9,44.47,92.3,100.0,55.53
2014-06-30,713.8,12.36,726.16,16.07,2.71,78.21,498.53,130.64,10.39,141.03,0.0,141.03,141.03,46.56,94.47,94.47,1661.12,0.57,0.57,73.9,44.47,92.3,100.0,55.53
2014-09-30,848.36,7.09,855.45,13.32,-14.76,117.59,524.93,214.37,18.88,233.25,0.0,233.25,233.25,59.46,173.79,173.79,1662.04,1.04,1.04,73.9,44.47,92.3,100.0,55.53
2014-12-31,827.23,6.4,833.63,12.03,3.33,75.31,553.44,189.52,15.18,204.7,0.0,204.7,204.7,70.93,133.77,133.77,1662.04,0.8,0.8,73.9,44.47,92.3,100.0,55.53
2015-03-31,813.74,22.23,835.97,24.5,-0.99,162.58,563.17,86.71,52.33,139.04,0.0,139.04,139.04,19.47,119.57,119.57,1662.04,0.72,0.72,73.9,44.47,92.3,100.0,55.53
2015-06-30,879.83,6.3,886.13,14.83,3.45,129.88,617.36,120.61,27.72,148.33,0.0,148.33,148.33,46.79,101.54,101.54,1662.04,0.61,0.61,73.9,44.47,92.3,100.0,55.53
2015-09-30,1051.1,6.59,1057.69,21.43,3.59,231.8,626.85,174.02,64.23,238.25,0.0,238.25,238.25,55.64,182.61,182.61,1662.04,1.04,1.04,73.9,44.47,92.3,100.0,55.53
2015-12-31,891.17,5.98,897.15,31.4,3.75,48.5,639.3,174.2,50.0,224.2,0.0,224.2,224.2,69.87,154.33,154.33,1662.04,0.93,0.93,73.9,44.47,92.3,100.0,55.53
2016-03-31,972.19,5.43,977.62,32.48,3.69,484.35,670.5,-213.4,46.1,-167.3,0.0,-167.3,-167.3,-66.27,-101.03,-101.03,1662.04,-0.61,-0.61,73.9,44.47,92.3,100.0,55.53
2016-06-30,816.08,5.97,822.05,14.49,3.65,387.09,630.02,-213.2,10.39,-202.81,0.0,-202.81,-202.81,-92.53,-110.28,-110.28,1662.04,-0.66,-0.66,73.9,44.47,92.3,100.0,55.53
2016-09-30,754.14,8.73,762.87,38.18,3.63,165.02,576.84,-20.8,46.47,25.67,0.0,25.67,25.67,10.81,14.86,14.86,1662.04,0.09,0.09,73.9,44.47,92.3,100.0,55.53
2016-12-31,569.44,7.84,577.28,18.27,3.6,139.87,572.76,-157.22,58.27,-98.95,0.0,-98.95,-98.95,-53.78,-45.17,-45.17,1662.04,-0.27,-0.27,73.9,44.47,92.3,100.0,55.53
2017-03-31,568.07,9.46,577.53,24.08,23.31,499.63,552.82,-522.31,19.38,-502.93,0.0,-502.93,-502.93,-185.03,-317.9,-317.9,1662.04,-1.91,-1.91,73.9,44.47,92.3,100.0,55.53
2017-06-30,453.2,6.52,459.72,16.77,8.47,322.06,546.77,-434.35,7.8,-426.55,0.0,-426.55,-426.55,-149.65,-276.9,-276.9,1662.04,-1.67,-1.67,73.9,44.47,92.3,100.0,55.53
2017-09-30,874.93,5.51,880.44,19.43,8.42,482.31,541.69,-171.41,19.33,-152.08,0.0,-152.08,-152.08,-163.98,11.9,11.9,1662.04,0.07,0.07,73.9,44.47,92.3,100.0,55.53
2017-12-31,622.05,4.75,626.8,26.6,8.37,411.49,504.77,-324.43,28.73,-295.7,0.0,-295.7,-295.7,-118.83,-176.87,-176.87,1662.04,-1.06,-1.06,73.9,44.47,92.3,100.0,55.53
2018-03-31,732.07,2.26,734.33,35.8,8.39,1111.18,487.88,-908.92,26.39,-882.53,0.0,-882.53,-882.53,-315.89,-566.64,-566.64,1695.99,-3.41,-3.41,0.0,0.0,0.0,0.0,0.0
2018-06-30,641.68,0.0,641.68,17.95,8.26,0.0,695.95,-80.48,31.51,-48.97,469.69,-518.66,-518.66,-177.89,-340.77,-340.77,1695.99,-2.01,-2.01,0.0,0.0,0.0,0.0,0.0
2018-09-30,432.94,0.0,432.94,27.79,8.28,0.0,300.2,96.67,296.76,393.43,448.82,-55.39,-55.39,-38.84,-16.55,-16.55,1695.99,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
2018-12-31,628.66,0.0,628.66,22.9,8.19,0.0,260.1,337.47,-39.36,298.11,431.65,-133.54,-133.54,-84.69,-48.85,-48.85,1695.99,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0
2019-03-31,453.95,0.0,453.95,43.48,8.08,0.0,0.17,402.22,20.06,422.28,405.98,16.3,16.3,53.96,-37.66,-37.66,1695.99,-0.22,-0.22,0.0,0.0,0.0,0.0,0.0
2019-06-30,480.38,0.0,480.38,31.6,7.74,-427.74,89.46,779.32,8.85,788.17,385.13,403.04,403.04,413.41,-10.37,-10.37,1695.99,-0.06,-0.06,0.0,0.0,0.0,0.0,0.0
2019-09-30,528.23,0.0,528.23,23.12,7.74,-59.79,212.68,344.48,8.74,353.22,366.73,-13.51,-13.51,-22.2,8.69,8.69,1695.99,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2019-12-31,488.07,0.0,488.07,21.8,7.78,182.41,-53.94,330.02,0.48,330.5,345.67,-15.17,-15.17,-328.65,313.48,313.48,1695.99,1.85,1.85,0.0,0.0,0.0,0.0,0.0
2020-03-31,748.89,0.0,748.89,67.4,7.4,0.0,870.96,-196.87,0.42,-196.45,318.82,-515.27,-515.27,74.41,-589.68,-589.68,1695.99,-3.48,-3.48,0.0,0.0,0.0,0.0,0.0
2020-06-30,472.34,0.0,472.34,21.87,7.38,0.0,598.22,-155.13,4.92,-150.21,289.93,-440.14,-440.14,-143.72,-296.42,-296.42,1895.99,-1.56,-1.56,0.0,0.0,0.0,0.0,0.0
