Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Hybrid/Debt/Other Securities,Short Term Provisions,Capital Work-In-Progress,Assets Held For Sale,Long Term Loans And Advances,Inventories,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,638.68,1067.95,-4155.39,-3918.81,-2850.86,0.0,16743.23,0.0,0.0,16743.23,486.94,56.42,1394.33,2026.94,15919.31,578.13,0.0,0.0,587.84,3563.55,0.0,4.64,4156.03,0.0,128.78,122.48,11439.77,72.25,11763.27,15919.31,1584.41,37.37,0.47,1216.55,3074.86,0.0,0.0,429.27,236.58,0.0,89.24,9.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,638.68,1067.95,-4483.53,-4250.73,-3182.78,0.0,14913.8,0.0,0.0,14913.8,111.15,69.29,1054.25,1306.45,13037.47,553.53,0.0,0.0,563.55,2834.83,0.0,0.91,3399.29,0.0,78.62,196.89,9289.86,72.81,9638.18,13037.47,1260.86,34.9,0.15,1328.17,2831.01,0.0,0.0,429.27,232.8,0.0,71.76,10.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,638.68,1067.95,-4558.47,-4329.27,-3261.32,0.0,13678.18,0.0,0.0,13678.18,0.0,39.04,858.68,1018.26,11435.12,539.73,0.0,0.0,540.36,2080.25,0.0,0.03,2620.64,0.0,42.56,1030.54,7707.99,33.39,8814.48,11435.12,720.21,50.69,0.09,1254.46,2311.36,0.0,0.0,429.27,229.2,0.0,120.54,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,638.68,1067.95,-622.45,37.64,1105.59,0.0,12924.28,0.0,0.0,12924.28,0.0,30.24,721.15,1447.45,15477.32,948.86,0.0,0.0,949.18,2170.53,2682.42,0.0,5802.13,0.0,935.53,1478.37,7261.22,0.07,9675.19,15477.32,459.8,69.06,0.78,1225.15,2492.81,0.0,0.0,429.27,660.09,0.0,696.06,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,762.41,1190.32,1484.6,2134.55,3324.87,0.0,10222.99,0.0,0.0,10222.99,0.0,85.21,796.43,1630.95,15178.81,922.64,0.0,0.0,922.88,2270.72,2037.72,0.0,5231.32,0.0,101.8,3480.27,6365.31,0.07,9947.49,15178.81,419.42,33.71,6.94,1147.0,2022.19,0.0,0.0,427.91,649.95,0.0,749.31,0.24,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,762.41,1108.29,2065.28,2632.47,3740.76,0.0,9673.78,0.0,0.0,9673.78,0.0,180.05,809.06,1468.03,14882.57,816.85,0.0,0.0,880.57,4038.76,1726.31,0.0,6645.64,0.0,144.25,483.59,7609.02,0.07,8236.93,14882.57,421.1,7.64,0.0,1469.67,3181.97,0.0,0.0,345.88,567.19,0.0,478.92,63.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,737.84,1001.68,2413.8,3608.12,4609.8,0.0,13526.67,0.0,0.0,13526.67,35.79,44.55,766.98,1452.74,19589.21,1431.17,0.0,0.0,1450.1,5882.43,1387.44,0.0,8719.97,0.0,59.95,38.53,10770.69,0.07,10869.24,19589.21,372.22,6.27,0.0,1878.71,5217.4,0.0,0.0,263.84,1194.32,0.0,605.42,18.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,737.84,1001.68,3023.72,4001.72,5003.4,0.0,17420.22,51.64,136.83,17608.69,0.0,93.68,2736.46,2915.89,25527.98,1199.58,0.46,0.0,1208.79,6255.14,1020.91,389.28,19591.24,1588.66,75.67,527.86,3483.44,261.11,5936.74,25527.98,164.17,4.84,0.0,1389.66,5780.34,4.9,1584.46,263.84,978.0,0.0,85.75,8.75,0.0,10717.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,737.84,1001.68,3575.79,4534.07,5535.75,0.0,17493.22,56.35,139.82,17689.39,384.44,247.64,4239.93,4958.66,28183.8,1150.97,0.41,0.0,1165.92,8728.29,836.92,260.1,20810.3,2033.58,15.58,898.61,4127.17,298.56,7373.5,28183.8,227.14,4.48,0.0,1746.45,7550.35,305.47,1731.15,263.84,958.28,0.0,86.65,14.54,0.0,9819.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1662.04,1925.88,3818.06,4757.31,6683.19,0.0,17900.57,83.37,42.8,18026.74,14.68,185.26,775.23,1173.71,25883.64,1152.96,0.34,0.0,1172.59,5955.2,726.79,4.57,18618.25,2686.21,106.03,514.67,3771.89,186.59,7265.39,25883.64,2880.99,4.42,0.0,1507.86,4356.22,0.0,2516.32,263.84,939.25,0.0,198.54,19.29,0.0,10759.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
