Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Other Assets,Current Investments,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Share Capital Suspense,Capital Goods,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,491.0,491.0,57.91,57.91,548.91,0.0,1057.47,0.0,0.0,0.0,1057.47,10.0,57.32,32.59,5.76,105.67,1712.05,1568.1,0.0,0.06,0.0,1568.16,0.0,0.0,0.0,19.29,1587.45,0.21,99.8,16.75,0.0,124.6,1712.05,0.0,7.15,0.0,0.0,0.0,0.0,0.0,7.84,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,491.0,491.0,67.02,67.02,558.02,0.0,1072.54,0.0,0.0,0.0,1072.54,19.97,34.91,9.22,52.01,116.11,1746.67,1486.76,0.0,1.74,0.0,1488.5,0.0,0.0,0.0,35.01,1523.51,2.64,152.56,51.76,0.0,223.16,1746.67,4.14,6.24,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,6.11,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,491.0,491.0,229.32,229.32,720.32,0.0,902.04,0.0,0.0,0.0,902.04,161.94,48.64,9.61,24.46,244.65,1867.01,1521.43,0.0,48.16,0.0,1569.59,0.0,0.0,0.0,25.02,1594.61,6.64,177.15,49.95,0.0,272.4,1867.01,19.35,7.64,0.0,0.0,0.0,0.0,0.0,38.66,0.0,0.0,6.74,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,491.0,491.0,459.28,459.28,950.28,0.0,859.37,0.0,0.0,0.0,859.37,163.43,14.63,29.72,45.13,252.91,2062.56,1544.19,0.0,44.21,0.0,1588.4,3.7,0.0,0.0,0.0,1592.1,6.48,256.12,56.54,0.0,470.46,2062.56,13.94,7.87,0.0,3.7,0.0,0.0,0.0,151.32,0.0,0.0,13.41,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,491.0,491.0,610.03,610.03,1101.03,0.0,732.16,0.0,0.0,0.0,732.16,97.42,6.89,4.09,111.49,219.89,2053.08,1505.29,0.0,78.49,0.0,1583.78,38.25,0.0,0.0,0.0,1622.03,4.96,214.35,38.26,0.0,431.05,2053.08,9.27,7.59,0.0,38.25,0.0,0.0,0.0,173.48,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,491.0,491.0,661.79,661.79,1152.79,0.0,632.95,0.0,0.0,0.0,632.95,108.22,1.4,4.05,115.53,229.2,2014.94,1584.11,0.0,0.11,0.0,1584.22,75.25,0.0,0.0,0.0,1659.47,4.9,120.58,50.34,0.0,355.47,2014.94,6.29,5.14,7.79,75.25,0.0,0.0,0.0,179.65,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2095.68,2095.68,1282.13,1282.13,3377.81,0.0,5178.43,0.0,0.0,0.0,5178.43,430.12,13.96,24.74,100.03,568.85,9125.09,2996.44,1069.82,774.26,0.0,4840.52,1420.96,0.0,0.0,0.0,6261.48,8.41,203.93,2408.79,0.0,2863.61,9125.09,1915.51,283.36,42.74,1386.46,0.0,0.0,0.0,242.48,0.0,0.0,0.0,12.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,2095.68,2095.68,2545.9,2545.9,4641.58,0.0,11739.93,0.0,409.71,346.72,12496.36,50.82,329.52,314.06,19.47,713.87,18380.89,3074.14,0.0,8962.16,0.0,12036.3,3606.3,0.0,215.96,105.78,15964.34,17.53,155.66,2024.24,53.73,2416.55,18380.89,3384.7,49.87,51.29,3606.3,0.0,0.0,0.0,165.39,0.92,529.08,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2624.76,2624.76,2840.24,2840.24,5465.0,0.0,13108.03,123.44,404.6,355.33,13991.4,0.51,811.27,1743.63,365.61,2921.02,22377.42,9657.0,0.0,6383.77,0.0,16040.77,3863.08,0.0,683.94,96.61,20684.4,48.66,430.36,715.81,32.04,1693.02,22377.42,3364.89,92.55,44.37,3647.43,0.0,0.0,0.0,466.15,1.41,0.0,522.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2938.0,2938.0,3506.36,3506.36,6444.36,0.0,15801.38,143.33,521.11,446.36,16912.18,237.07,1016.25,2168.14,166.96,3588.42,26944.96,11216.8,0.0,9119.94,0.0,20336.74,4434.17,0.0,371.96,41.76,25184.63,135.72,451.57,583.67,39.44,1760.33,26944.96,2580.53,81.07,46.59,4434.17,0.0,0.0,0.0,549.93,0.7,0.0,714.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
