Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,895.44,10.35,905.79,0.0,0.0,0.0,0.0,13.77,77.43,80.55,734.04,7.27,741.31,288.5,452.81,0.0,452.81,86.78,366.03,366.03,2624.76,0.0,1.39,1.34,65.62,25.0,55.09,27.98,20.99
2012-12-31,399.17,27.84,427.01,0.0,0.0,0.0,101.65,15.05,96.03,42.39,171.89,11.3,183.19,287.44,-104.25,0.0,-104.25,-6.67,-97.58,-97.58,2624.76,0.0,-0.37,-0.36,71.61,27.28,55.39,29.02,21.11
2013-03-31,369.1,5.33,374.43,0.0,0.0,0.0,77.62,17.86,83.05,115.25,80.65,10.52,91.17,294.56,-203.39,0.0,-203.39,-81.13,-122.26,-122.26,2938.0,0.0,-0.46,-0.44,102.94,35.04,61.41,32.18,20.9
2013-06-30,786.26,0.0,786.26,0.0,0.0,0.0,90.72,16.36,108.19,90.95,480.04,4.78,484.82,350.57,134.25,0.0,134.25,41.38,92.87,92.87,2938.0,0.0,0.32,0.3,102.94,35.04,58.41,30.6,19.88
2013-09-30,968.48,0.7,969.18,0.0,0.0,0.0,92.71,20.85,107.46,94.63,653.53,7.41,660.94,357.36,303.58,0.0,303.58,51.69,251.89,251.89,2938.0,0.0,0.86,0.83,102.94,35.04,16.85,8.83,5.73
2013-12-31,492.42,0.0,492.42,0.0,0.0,0.0,110.82,18.84,107.34,86.39,169.03,21.41,190.44,360.08,-169.64,0.0,-169.64,-16.59,-153.05,-153.05,2938.0,0.0,-0.52,-0.5,102.94,35.04,5.06,2.65,1.72
2014-03-31,427.61,2.03,429.64,0.0,0.0,0.0,106.67,18.17,123.6,98.03,83.17,29.39,112.56,367.23,-254.67,-0.08,-254.75,-82.77,-171.98,-171.98,2938.0,0.0,-0.59,-0.56,102.94,35.04,5.06,2.65,1.72
2014-06-30,786.02,1.0,787.02,0.0,0.0,0.0,128.98,18.6,90.49,83.29,465.66,11.14,476.8,389.98,86.82,-0.08,86.74,17.59,69.15,69.15,2938.0,0.0,0.24,0.23,106.94,36.4,9.4,5.03,3.2
2014-09-30,1200.17,1.24,1201.41,0.0,0.0,0.0,170.86,21.63,99.49,64.99,844.44,5.91,850.35,475.95,374.4,-0.02,374.38,74.57,299.81,299.81,2938.0,0.0,1.02,0.98,106.94,36.4,23.01,12.32,7.83
2014-12-31,1037.63,3.28,1040.91,0.0,0.0,0.0,313.81,21.68,137.78,89.96,477.68,28.02,505.7,561.06,-55.36,0.0,-55.36,34.85,-90.21,-90.21,2938.0,0.0,-0.31,-0.3,106.94,36.4,9.05,4.84,3.08
2015-03-31,911.71,3.08,914.79,0.0,0.0,0.0,310.81,23.33,137.52,111.87,331.26,72.72,403.98,684.25,-280.27,4.56,-275.71,-134.17,-141.54,-141.54,2938.0,0.0,-0.48,-0.47,106.94,36.4,9.05,4.84,3.08
2015-06-30,1207.4,1.97,1209.37,167.61,0.0,-2.78,0.0,24.57,160.31,119.19,740.47,68.88,809.35,729.91,79.44,0.28,79.72,12.76,66.96,66.96,2938.0,0.0,0.22,0.21,106.94,36.4,8.56,4.58,2.92
2015-09-30,1166.81,2.68,1169.49,312.99,0.0,0.76,0.0,26.06,160.49,-42.32,711.51,14.43,725.94,689.17,36.77,-47.68,-10.91,-179.73,168.82,168.82,2938.0,0.0,0.46,0.45,0.0,0.0,0.0,0.0,0.0
2015-12-31,826.65,3.24,829.89,490.66,0.0,2.44,0.0,18.38,123.1,-55.39,250.7,24.79,275.49,461.17,-185.68,1.84,-183.84,-68.03,-115.81,-115.81,2938.0,0.0,-0.39,-0.39,0.0,0.0,0.0,0.0,0.0
2016-03-31,672.09,4.08,676.17,468.75,0.0,-1.43,0.0,18.59,122.18,-17.13,85.21,15.67,100.88,449.92,-349.04,-1.84,-350.88,-15.31,-335.57,-335.57,2938.0,0.0,-1.02,-1.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,750.41,3.36,753.77,230.65,0.0,-4.98,0.0,17.01,119.56,205.41,186.12,13.68,199.8,449.92,-250.12,0.0,-250.12,-53.96,-196.16,-196.16,2938.0,0.0,-0.67,-0.66,0.0,0.0,0.0,0.0,0.0
2016-09-30,659.57,3.42,662.99,437.28,0.0,3.76,0.0,17.45,119.72,-74.59,159.37,25.5,184.87,458.03,-273.16,0.0,-273.16,-111.49,-161.67,-161.67,2938.0,0.0,-0.55,-0.54,0.0,0.0,0.0,0.0,0.0
2016-12-31,693.1,3.25,696.35,506.44,0.0,1.74,0.0,19.44,127.76,-63.72,104.69,27.23,131.92,447.18,-315.26,-0.42,-315.68,-142.72,-172.96,-172.96,2938.0,0.0,-0.59,-0.59,0.0,0.0,0.0,0.0,0.0
2017-03-31,675.82,2.97,678.79,503.36,0.0,0.45,0.0,22.86,119.81,15.27,17.04,21.2,38.24,423.87,-385.63,0.42,-385.21,-155.39,-229.82,-229.82,5996.0,0.0,-0.7,-0.69,0.0,0.0,0.0,0.0,0.0
2017-06-30,995.92,0.0,995.92,610.9,0.0,-3.41,0.0,20.38,119.24,16.97,231.84,103.39,335.23,362.95,-27.72,0.0,-27.72,-8.7,-19.02,-19.02,5996.0,0.0,-0.03,-0.03,0.0,0.0,0.0,0.0,0.0
2017-09-30,825.84,0.0,825.84,482.13,0.0,-2.38,0.0,23.73,119.25,19.39,183.72,115.25,298.97,416.82,-117.85,0.0,-117.85,38.7,-156.55,-156.55,5996.0,0.0,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2017-12-31,855.5,0.0,855.5,561.98,0.0,0.11,0.0,24.36,129.14,89.82,50.09,114.67,164.76,387.17,-222.41,0.0,-222.41,-28.0,-194.41,-194.41,5996.0,0.0,-0.32,-0.32,0.0,0.0,0.0,0.0,0.0
2018-03-31,701.21,0.0,701.21,427.24,0.0,3.85,0.0,24.88,119.23,38.67,87.34,15.44,102.78,353.5,-250.72,0.0,-250.72,-93.39,-157.33,-157.33,5996.0,0.0,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2018-06-30,1083.07,0.0,1083.07,596.07,0.0,1.26,0.0,23.88,118.65,24.98,318.23,7.06,325.29,371.51,-46.22,52.68,6.46,2.32,4.14,4.14,5996.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
2018-09-30,953.99,0.0,953.99,551.1,0.0,-0.2,0.0,25.78,120.47,20.72,236.12,44.89,281.01,369.75,-88.74,0.0,-88.74,-46.88,-41.86,-41.86,5996.0,0.0,-0.07,-0.07,0.0,0.0,0.0,0.0,0.0
2018-12-31,924.38,0.0,924.38,583.19,0.0,0.78,0.0,25.79,119.72,21.34,173.56,74.29,247.85,328.65,-80.8,0.0,-80.8,15.09,-95.89,-95.89,5996.0,0.0,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2019-03-31,770.96,0.0,770.96,629.29,0.0,0.0,0.0,25.79,116.28,22.75,-23.15,15.45,-7.7,362.67,-370.37,0.0,-370.37,-126.1,-244.27,-244.27,5996.0,2991.7,-0.41,-0.41,0.0,0.0,0.0,0.0,0.0
2019-06-30,1032.01,0.0,1032.01,685.0,0.0,0.0,0.0,25.57,118.58,20.79,182.07,5.49,187.56,367.08,-179.52,0.0,-179.52,-62.69,-116.83,-116.83,5996.0,0.0,-0.19,-0.19,0.0,0.0,0.0,0.0,0.0
2019-09-30,755.41,0.0,755.41,471.1,0.0,0.0,0.0,27.09,120.26,24.64,112.32,17.5,129.82,377.22,-247.4,0.0,-247.4,-85.95,-161.45,-161.45,5996.0,0.0,-0.27,-0.27,0.0,0.0,0.0,0.0,0.0
2019-12-31,797.76,0.0,797.76,596.38,0.0,0.0,0.0,28.55,121.02,30.38,21.43,44.74,66.17,-236.99,303.16,-2450.73,-2147.57,999.0,-3146.57,-3146.57,5996.0,0.0,-5.18,-5.18,0.0,0.0,0.0,0.0,0.0
2020-03-31,698.47,0.0,698.47,433.33,0.0,0.0,0.0,29.2,119.12,24.06,92.76,6.99,99.75,142.66,-42.91,-62.88,-105.79,-26.01,-79.78,-79.78,6840.45,0.0,-0.11,-0.11,0.0,0.0,0.0,0.0,0.0
2020-06-30,652.82,0.0,652.82,314.9,0.0,0.0,0.0,24.28,119.39,35.96,158.29,10.27,168.56,145.26,23.3,0.0,23.3,8.91,14.39,14.39,6840.45,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.0
2020-12-31,950.61,0.0,950.61,616.72,0.0,-1.57,0.0,25.72,120.69,18.1,170.95,5.66,176.61,147.94,28.67,0.0,28.67,51.57,-22.9,-22.9,6853.46,0.0,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0
