Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-03-31,58.56,58.56,3.44,4.35,13.24,4.96,21.92,10.64,0.95,11.59,9.25,2.35,0.0,2.35,0.34,2.01,2.01,781.21,146.02,0.03,0.03
2017-06-30,55.8,55.8,3.87,5.3,11.65,5.32,19.4,10.26,2.0,12.26,8.74,3.52,0.0,3.52,0.44,3.08,3.08,781.21,0.0,0.04,0.04
2017-09-30,55.27,55.27,3.61,5.2,12.1,4.56,20.76,9.05,1.3,10.35,8.63,1.71,0.0,1.71,0.24,1.47,1.47,786.39,0.0,0.0,0.0
2017-12-31,63.0,63.0,4.14,3.96,13.31,4.86,19.28,17.44,1.79,19.24,9.02,10.21,0.0,10.21,2.17,8.04,8.04,786.37,164.88,0.1,0.1
2018-03-31,57.01,57.01,3.97,4.63,13.87,5.03,17.99,11.52,7.2,18.72,7.89,10.83,0.0,10.83,1.28,9.55,9.55,786.39,174.72,0.12,0.12
2018-06-30,63.63,63.63,4.36,5.57,14.53,5.1,20.98,13.1,1.2,14.3,8.12,6.19,0.0,6.19,1.22,4.96,4.96,786.39,0.0,0.06,0.06
2018-09-30,64.57,64.57,4.73,5.88,14.43,5.27,21.03,13.23,5.73,18.96,8.32,10.65,0.0,10.65,2.19,8.46,8.46,787.95,0.0,0.11,0.11
2018-12-31,71.76,71.76,4.54,5.27,14.04,4.72,21.8,21.38,2.19,23.57,8.48,15.09,0.0,15.09,3.14,11.95,11.95,788.95,0.0,0.15,0.15
2019-03-31,73.37,73.37,4.1,5.18,14.65,4.75,21.21,23.48,2.94,26.41,9.89,16.53,0.0,16.53,-21.34,37.87,37.87,789.3,0.0,0.48,0.48
2019-06-30,64.78,64.78,4.12,5.76,15.3,6.04,17.98,15.58,0.7,16.28,11.89,4.39,0.0,4.39,1.28,3.11,3.11,789.97,0.0,0.04,0.04
2019-09-30,66.85,66.85,4.31,5.59,16.02,5.66,18.05,17.23,0.71,17.94,10.63,7.32,0.0,7.32,1.13,6.19,6.19,790.15,0.0,0.08,0.08
2019-12-31,75.89,75.89,4.41,4.93,15.14,4.86,15.78,30.78,2.02,32.8,12.65,20.15,0.0,20.15,4.92,15.22,15.22,790.25,0.0,0.19,0.19
2020-03-31,62.05,62.05,3.83,4.32,15.03,5.14,13.63,20.11,0.23,20.35,11.55,8.8,0.0,8.8,1.12,7.68,7.68,790.31,0.0,0.1,0.1
2020-06-30,11.87,11.87,0.67,0.0,6.28,5.6,5.27,-5.95,1.83,-4.12,11.43,-15.55,0.0,-15.55,-4.56,-10.99,-10.99,790.33,0.0,-0.14,-0.14
2020-12-31,20.37,20.37,1.11,2.47,5.43,5.64,5.88,-0.16,0.81,0.65,12.12,-11.47,0.0,-11.47,-3.39,-8.08,-8.08,790.34,0.0,-0.1,-0.1
2021-03-31,30.39,30.39,1.67,3.26,8.58,5.63,9.55,1.7,0.33,2.03,11.04,-9.02,-5.92,-14.94,-1.73,-13.21,-13.21,790.42,0.0,-0.17,-0.17
2021-06-30,12.53,12.53,0.6,0.0,6.87,5.35,6.88,-7.17,0.43,-6.74,11.06,-17.8,0.0,-17.8,-5.2,-12.6,-12.6,790.42,0.0,-0.16,-0.16
2021-09-30,33.27,33.27,1.6,0.0,9.12,5.36,11.05,6.13,0.13,6.26,11.29,-5.03,0.0,-5.03,-1.44,-3.59,-3.59,790.58,0.0,-0.05,-0.05
2021-12-31,46.22,46.22,2.41,0.0,10.49,5.28,13.14,14.89,0.42,15.31,11.42,3.89,0.0,3.89,1.13,2.76,2.76,790.62,0.0,0.03,0.03
2022-03-31,37.17,37.17,1.82,0.0,11.2,5.05,14.01,5.1,2.01,7.1,10.78,-3.67,0.0,-3.67,-1.04,-2.63,-2.63,790.81,0.0,-0.03,-0.03
2022-06-30,65.36,65.36,2.89,0.0,12.43,5.01,16.14,28.89,0.11,28.99,10.51,18.48,0.0,18.48,5.37,13.11,13.11,791.29,0.0,0.17,0.17
2022-09-30,67.98,67.98,3.07,0.0,13.0,4.98,18.21,28.73,0.1,28.83,10.62,18.21,0.0,18.21,5.27,12.94,12.94,791.46,0.0,0.16,0.16
2022-12-31,81.67,81.67,3.23,0.0,13.49,5.03,15.7,44.21,0.15,44.35,10.24,34.12,0.0,34.12,10.0,24.11,24.11,791.55,0.0,0.3,0.3
2023-03-31,95.24,95.24,3.1,4.88,14.19,4.92,16.15,51.99,1.78,53.78,11.26,42.51,0.0,42.51,12.31,30.21,30.21,791.61,0.0,0.38,0.38
2023-06-30,74.75,74.75,2.92,5.46,15.5,5.26,14.57,31.05,0.2,31.25,11.63,19.62,0.0,19.62,5.73,13.89,13.89,791.63,0.0,0.18,0.18
2023-09-30,78.06,78.06,3.31,5.38,16.44,5.28,15.68,31.99,0.21,32.19,11.37,20.82,0.0,20.82,5.98,14.84,14.84,791.66,0.0,0.19,0.19
2023-12-31,102.07,102.07,3.24,4.78,17.32,5.33,17.83,53.57,4.91,58.48,12.25,46.24,0.0,46.24,12.41,33.82,33.82,791.67,0.0,0.43,0.43
2024-03-31,102.4,102.4,3.65,4.96,16.73,5.16,17.35,54.55,7.09,61.63,11.56,50.08,0.0,50.08,14.71,35.36,35.36,791.85,0.0,0.45,0.45
2024-06-30,82.85,82.85,3.56,5.63,16.51,4.96,18.74,33.44,1.45,34.89,11.15,23.74,0.0,23.74,7.07,16.67,16.67,791.85,0.0,0.21,0.21
2024-09-30,86.94,86.94,3.54,0.0,17.85,4.66,24.1,36.78,0.23,37.01,9.6,27.42,0.0,27.42,8.05,19.36,19.36,791.85,0.0,0.24,0.24
2024-12-31,104.21,104.21,3.54,5.48,18.33,4.99,22.73,49.13,0.26,49.39,9.14,40.24,0.0,40.24,11.75,28.5,28.5,791.85,0.0,0.36,0.36
