Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Government/Other Grants,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,146.48,146.48,651.1,651.1,797.58,216.75,0.0,0.0,514.38,268.38,233.1,14.43,285.06,800.98,2112.93,926.14,8.58,25.15,0.0,959.86,195.87,0.0,4.4,1169.19,0.0,175.01,182.95,202.16,383.62,0.0,943.75,2112.93,139.32,9.56,0.16,0.0,0.09,146.75,27.25,0.0,297.63,37.25,0.0,6.57,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,146.48,146.48,807.07,807.07,953.55,201.14,0.0,0.0,341.42,358.81,199.98,39.48,421.21,1019.48,2314.45,848.25,24.77,66.68,0.0,939.7,218.05,0.0,2.42,1169.59,0.0,260.75,289.59,72.17,522.36,0.0,1144.86,2314.45,97.2,15.15,0.23,6.92,0.06,211.31,47.45,0.0,140.28,50.73,0.0,21.77,9.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,146.48,146.48,1030.81,1030.81,1177.28,187.65,0.0,0.0,238.91,221.1,225.52,37.43,594.56,1078.62,2494.81,826.07,25.03,48.63,0.0,899.72,218.2,0.0,0.99,1126.51,0.0,269.58,430.12,55.02,613.58,0.0,1368.3,2494.81,111.15,10.43,0.19,0.05,0.0,270.19,37.57,0.0,51.26,54.97,0.0,9.85,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,155.44,155.44,1415.19,1415.19,1570.62,240.34,0.0,0.0,257.84,334.08,393.9,48.56,97.24,873.77,2702.23,1063.58,42.75,28.75,0.0,1135.08,148.5,0.0,0.0,1291.94,0.0,388.47,605.28,130.48,286.07,0.0,1410.29,2702.23,98.94,5.56,0.23,30.21,0.72,150.57,37.42,0.0,17.5,221.65,0.0,17.52,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,155.44,155.44,1690.26,1690.26,1845.7,235.99,0.0,0.0,240.67,308.83,301.75,50.97,135.95,797.5,2883.87,1026.61,43.62,259.21,0.0,1329.44,330.44,0.0,0.0,1679.9,0.0,386.0,389.68,151.41,276.88,0.0,1203.97,2883.87,73.98,10.39,0.22,29.37,2.3,157.19,37.38,0.0,4.69,119.91,0.0,19.02,20.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,155.44,155.44,1858.68,1858.68,2014.12,263.06,0.0,0.0,266.11,352.85,171.12,66.48,1132.19,1722.64,4002.87,1185.39,44.09,419.67,0.0,1649.16,332.63,0.0,0.0,2010.3,0.0,430.76,288.72,55.41,1217.68,0.0,1992.57,4002.87,440.04,79.27,0.2,10.11,4.39,57.63,45.47,0.0,3.05,252.4,0.0,46.22,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,155.42,155.42,1923.63,1923.63,2079.05,255.26,0.0,0.0,523.81,286.51,227.53,53.94,1242.15,1810.12,4412.98,1122.53,46.82,1029.8,0.0,2199.15,89.51,0.0,0.0,2313.46,0.0,405.03,16.68,323.39,1354.42,0.0,2099.52,4412.98,1102.17,31.12,0.15,3.54,2.38,128.51,50.26,0.0,268.55,189.95,0.0,234.31,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,155.42,155.42,2131.45,2131.45,2286.87,210.81,0.0,88.7,828.15,387.03,275.98,405.43,78.13,1146.57,4261.59,1195.63,17.31,1384.59,0.0,2597.53,86.63,322.44,0.01,3006.61,0.0,463.53,437.48,183.68,170.28,0.0,1254.98,4261.59,1144.98,10.17,0.14,8.6,0.0,153.77,50.26,0.0,528.63,162.39,27.47,118.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,155.42,155.42,2352.06,2352.06,2507.48,221.16,0.0,81.26,1096.56,456.63,481.19,1043.32,104.2,2085.34,5689.38,1589.49,15.67,1867.2,0.0,3472.36,97.56,278.17,0.02,3848.1,0.0,599.2,778.64,299.9,163.54,0.0,1841.28,5689.38,965.04,5.4,0.17,8.66,0.1,143.38,61.54,0.0,794.14,230.41,36.69,75.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,155.42,155.42,2561.52,2561.52,2716.94,235.83,0.0,93.91,2148.41,1011.97,220.77,794.04,129.85,2156.63,7021.98,1795.91,11.57,2752.45,0.0,4559.94,129.84,106.49,0.03,4796.29,0.0,636.99,1176.99,221.19,190.52,0.0,2225.7,7021.98,399.16,9.46,0.14,28.51,1.05,151.03,71.79,0.0,1818.67,302.57,18.98,43.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
