Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Intangible Assets Under Development,Share Capital Suspense,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,5.65,5.65,59.48,59.48,65.13,48.28,10.48,0.0,0.0,58.76,20.56,78.23,23.46,0.64,122.89,246.79,45.56,0.0,0.0,0.0,45.56,5.76,0.0,8.2,60.04,0.0,94.73,74.61,2.66,14.74,0.0,186.75,246.79,10.32,3.68,16.3,0.0,3.47,14.77,2.89,0.0,0.0,43.54,0.0,4.06,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2005-03-31,5.65,5.65,67.66,67.66,73.31,37.31,12.61,0.0,0.0,49.92,58.83,103.69,50.23,4.49,217.23,340.47,61.32,0.0,0.73,0.0,62.05,5.65,0.0,5.02,73.01,0.0,119.96,113.97,8.47,25.06,0.0,267.46,340.47,21.83,0.25,15.75,0.0,3.47,26.33,2.78,0.0,0.0,38.93,0.0,19.63,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2006-03-31,5.71,5.71,96.96,96.96,102.66,83.66,12.37,0.0,0.0,96.03,122.08,152.81,59.42,4.48,338.78,537.48,84.56,0.0,10.66,0.0,95.22,6.29,0.0,2.3,104.06,0.0,163.91,214.18,24.71,30.62,0.0,433.41,537.48,50.87,12.87,21.85,0.0,3.47,53.67,3.23,0.0,0.0,46.29,0.0,29.37,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.18,6.18,181.72,181.72,187.9,71.23,17.53,0.0,0.0,88.76,212.42,203.96,46.21,6.05,468.64,745.3,122.27,0.0,4.47,0.0,126.74,8.04,0.0,0.43,135.97,0.0,168.96,387.99,12.76,39.64,0.0,609.34,745.3,20.57,3.98,24.31,0.0,3.47,45.35,4.98,0.0,0.0,48.87,0.0,19.39,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,18.57,18.57,218.15,218.15,236.73,87.56,18.65,0.0,0.0,106.21,321.7,275.26,53.69,21.09,671.73,1014.67,177.15,0.0,15.92,0.0,193.07,9.46,0.0,0.97,205.04,0.0,252.6,492.32,7.52,57.19,0.0,809.64,1014.67,106.85,6.94,37.03,0.0,15.85,58.91,6.4,0.0,0.0,97.09,0.0,36.79,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,18.57,18.57,256.83,256.83,275.4,214.96,32.97,0.0,0.0,247.93,377.12,281.68,126.99,23.1,808.89,1332.23,282.91,0.0,28.11,0.0,311.02,10.87,0.0,1.69,323.77,0.0,400.75,471.74,61.06,74.92,0.0,1008.46,1332.23,109.82,20.15,40.8,0.0,15.85,29.4,7.81,0.0,0.0,105.15,0.0,85.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,18.57,18.57,307.53,307.53,326.11,147.97,41.39,0.0,0.0,189.36,373.6,294.69,92.13,21.99,782.42,1297.89,344.34,0.0,17.88,0.0,362.22,5.68,0.0,2.6,371.63,0.0,315.18,517.59,38.81,54.67,0.0,926.26,1297.89,117.99,17.57,63.65,0.0,15.85,38.87,2.95,0.0,0.0,50.92,0.0,47.76,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,18.57,18.57,376.03,376.03,394.6,85.28,41.06,61.31,4.99,192.64,375.29,323.66,159.54,21.67,880.16,1467.4,357.68,3.44,10.77,0.0,371.9,36.35,23.1,122.98,554.32,0.0,314.45,547.59,12.33,35.49,3.21,913.07,1467.4,750.14,15.77,36.41,19.38,15.85,23.65,33.96,0.0,0.0,49.55,3.35,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,18.57,18.57,426.2,426.2,444.77,106.87,44.67,19.84,3.97,175.36,366.04,454.75,216.04,22.39,1059.23,1679.36,398.63,6.56,41.71,0.0,446.9,35.11,27.39,59.79,569.19,0.0,288.15,728.3,11.6,78.11,4.02,1110.17,1679.36,945.38,17.3,36.62,8.54,15.85,16.84,33.39,0.0,0.0,56.07,3.58,65.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,18.57,18.57,454.35,454.35,472.92,93.15,41.61,1.0,2.51,138.26,118.05,253.1,77.51,16.15,464.82,1079.22,406.81,3.98,7.79,0.0,418.59,37.07,23.97,0.8,480.42,0.0,148.65,141.24,7.49,166.67,134.74,598.8,1079.22,414.02,11.5,58.99,0.12,15.85,14.64,34.68,0.0,3.21,45.17,3.47,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
