Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,385.08,0.07,385.15,83.66,15.64,-0.5,70.22,14.01,148.94,53.18,1.97,55.14,0.06,55.08,0.0,55.08,17.38,37.7,37.7,65.2,0.0,5.78,5.72,2.92,44.79,3.6,100.0,55.21
2013-03-31,365.75,0.07,365.82,80.18,14.45,0.87,70.8,15.17,138.28,46.06,1.95,48.01,0.0,48.01,0.0,48.01,15.3,32.71,32.71,65.28,0.0,5.01,4.97,2.97,45.55,3.55,100.0,54.45
2013-06-30,396.43,0.07,396.5,85.7,17.57,-0.5,75.27,17.92,151.76,48.77,2.22,50.99,0.0,50.99,0.0,50.99,16.99,34.0,34.0,65.34,0.0,5.21,5.17,3.15,48.27,3.38,100.0,51.73
2013-09-30,436.6,0.07,436.68,99.11,19.0,-0.88,85.33,17.91,168.83,47.38,2.4,49.77,0.0,49.77,0.0,49.77,16.53,33.24,33.24,65.34,0.0,5.09,5.05,3.15,48.27,3.18,94.05,48.65
2013-12-31,456.51,0.08,456.59,104.5,17.14,0.07,84.53,19.57,182.96,47.83,2.36,50.19,0.0,50.19,0.0,50.19,16.59,33.6,33.6,65.43,0.0,5.14,5.1,3.28,50.1,3.06,93.84,46.82
2014-03-31,433.65,0.08,433.73,92.9,13.52,0.61,91.77,21.27,179.27,34.41,2.35,36.77,0.0,36.77,0.0,36.77,11.82,24.95,24.95,65.44,0.0,3.81,3.79,3.3,50.42,2.84,87.67,43.47
2014-06-30,476.74,0.09,476.83,102.0,20.02,-0.99,99.11,22.31,197.72,36.65,1.71,38.37,0.0,38.37,0.0,38.37,10.64,27.73,27.73,65.44,0.0,4.24,4.21,3.3,50.42,2.83,87.11,43.2
2014-09-30,501.08,0.08,501.16,108.26,18.81,-0.15,106.71,23.6,206.49,37.45,2.14,39.59,0.0,39.59,0.0,39.59,10.59,29.01,29.01,65.48,0.0,4.43,4.41,3.3,50.45,2.91,89.59,44.39
2014-12-31,554.27,0.1,554.37,121.32,18.88,-0.58,115.26,25.4,226.77,47.31,1.49,48.8,0.0,48.8,0.0,48.8,13.79,35.01,35.01,65.56,0.0,5.34,5.31,3.35,51.15,2.63,82.16,40.14
2015-03-31,542.01,0.1,542.11,115.27,17.42,0.95,117.7,26.85,220.7,43.24,2.07,45.3,0.0,45.3,0.0,45.3,13.77,31.53,31.53,65.57,0.0,4.81,4.78,3.35,51.16,2.55,79.58,38.87
2015-06-30,570.59,0.1,570.69,117.76,21.41,-0.46,127.37,29.18,237.3,38.12,2.94,41.06,0.0,41.06,0.0,41.06,13.5,27.57,27.57,65.64,0.0,4.21,4.19,3.36,51.21,2.49,77.66,37.89
2015-09-30,587.29,0.24,587.53,120.38,20.09,-0.31,141.79,30.72,245.19,29.68,2.91,32.59,0.0,32.59,0.0,32.59,10.71,21.88,21.88,65.64,0.0,3.33,3.21,0.0,0.0,0.0,0.0,0.0
2015-12-31,633.76,0.18,633.94,128.47,18.76,-1.26,153.29,31.58,261.93,41.16,2.55,43.71,0.0,43.71,0.0,43.71,14.37,29.34,29.34,65.76,0.0,4.47,4.45,0.0,0.0,0.0,0.0,0.0
