Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2008-09-30,693.82,0.0,693.82,25.33,1.25,0.0,11.34,655.9,1.24,657.14,477.77,179.37,0.0,179.37,61.79,117.58,0.0,117.58,2001.9,0.0,0.0,0.0
2012-06-30,0.0,0.0,0.0,0.0,0.0,108.82,-108.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.9,0.0,0.0,0.0
2012-09-30,1380.9,52.09,1432.99,59.74,2.4,0.0,154.36,1216.49,0.52,1217.01,786.97,430.04,0.0,430.04,132.45,297.59,-0.16,297.43,2001.9,0.0,148.57,148.57
2013-03-31,2806.27,98.93,2905.2,122.3,4.96,0.0,170.87,2607.07,2.84,2609.91,1567.92,1041.99,0.0,1041.99,361.14,680.85,19.71,700.56,2001.9,4512.06,349.95,349.95
2013-06-30,0.0,0.0,0.0,0.0,0.0,11.62,-11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.9,0.0,0.0,0.0
2013-09-30,1337.61,27.25,1364.86,67.97,2.5,0.0,52.9,1241.49,0.43,1241.92,793.5,448.42,0.0,448.42,146.1,302.32,-0.21,302.11,2001.9,0.0,0.0,0.0
2013-12-31,735.44,19.67,755.11,32.89,1.25,3.86,1.29,715.82,0.19,716.01,441.18,274.83,-70.0,204.83,65.19,139.64,-0.04,139.6,2001.9,0.0,69.73,69.73
2014-03-31,871.93,-0.29,871.64,32.34,0.57,153.7,22.4,662.63,1.58,664.21,443.87,220.34,230.0,450.34,151.1,299.24,-21.26,277.98,2001.9,0.0,0.0,0.0
2014-06-30,743.59,14.74,758.33,34.86,1.0,208.4,18.98,495.09,0.79,495.88,452.17,43.71,120.0,163.71,52.18,111.53,-0.06,111.47,2001.9,0.0,0.0,0.0
2014-09-30,761.43,16.11,777.54,29.8,1.5,23.82,10.76,711.66,-0.09,711.57,447.23,264.34,30.0,294.34,102.19,192.15,6.83,198.98,2001.9,0.0,99.4,99.4
2014-12-31,816.98,14.46,831.44,59.54,1.35,77.86,12.46,680.23,0.19,680.42,441.86,238.56,-30.0,208.56,68.84,139.72,1.65,141.37,2001.9,0.0,70.62,70.62
2015-03-31,1076.53,23.9,1100.43,34.21,1.43,-210.89,3.27,1272.41,5.82,1278.23,428.56,849.67,-370.0,479.67,155.51,324.16,0.22,324.38,2001.9,5777.8,0.0,0.0
2015-12-31,742.41,-53.1,689.31,45.82,-2.4,80.26,-3.29,568.92,24.94,593.86,470.02,123.84,0.0,123.84,40.35,83.49,0.54,84.03,2001.9,0.0,0.0,0.0
2016-03-31,968.48,0.0,968.48,36.05,0.0,-62.64,15.16,979.91,24.04,1003.95,504.49,499.46,5.16,504.62,105.74,398.88,-0.67,398.21,2001.9,0.0,1.99,1.99
2016-06-30,890.07,0.0,890.07,35.81,-0.88,119.26,13.55,722.33,1.04,723.37,518.94,204.43,0.0,204.43,65.69,138.74,0.0,138.74,2001.9,0.0,0.0,0.0
2016-09-30,825.77,0.0,825.77,51.58,0.88,-20.42,10.05,783.68,31.29,814.97,500.13,314.84,0.26,315.1,110.09,205.01,0.52,205.53,2001.9,0.0,1.03,1.03
2016-12-31,913.73,0.0,913.73,27.86,0.0,181.71,9.27,694.89,16.09,710.98,489.51,221.47,0.0,221.47,87.12,134.35,47.83,182.18,2001.9,0.0,0.91,0.91
2017-03-31,879.98,0.0,879.98,9.16,0.0,16.78,18.15,835.89,26.87,862.76,477.74,385.02,0.0,385.02,70.29,314.73,0.63,315.36,2001.9,0.0,1.58,1.58
2017-06-30,899.09,0.0,899.09,36.57,1.2,138.94,11.13,711.25,29.99,741.24,529.27,211.97,0.0,211.97,1.12,210.85,0.0,210.85,2001.9,0.0,1.05,1.05
2017-09-30,942.18,0.0,942.18,38.13,1.29,79.92,12.58,810.26,23.57,833.83,533.28,300.55,0.0,300.55,98.45,202.1,0.0,202.1,2001.9,0.0,1.01,1.01
2017-12-31,1064.49,0.0,1064.49,45.58,1.56,231.7,12.55,773.1,27.39,800.49,562.47,238.02,0.0,238.02,74.43,163.59,0.0,163.59,2001.9,0.0,0.82,0.82
2018-03-31,1169.66,0.0,1169.66,47.89,1.38,118.73,36.19,965.47,16.47,981.94,642.66,339.28,0.0,339.28,117.44,221.84,0.68,222.52,2001.9,0.0,1.11,1.11
2018-06-30,1530.92,0.0,1530.92,67.48,1.23,248.02,13.23,1200.96,83.17,1284.13,786.85,497.28,0.0,497.28,163.9,333.38,0.0,333.38,2001.9,0.0,1.7,1.7
2018-09-30,1224.38,0.0,1224.38,44.52,1.28,0.0,79.68,1098.9,8.72,1107.62,685.32,422.3,0.0,422.3,140.16,282.14,0.0,282.14,2001.9,0.0,1.41,1.41
2018-12-31,1310.53,0.0,1310.53,50.37,1.31,0.0,53.45,1205.4,9.12,1214.52,680.13,534.39,0.0,534.39,206.13,328.26,0.0,328.26,2001.9,0.0,1.64,1.64
2019-03-31,1474.75,0.0,1474.75,52.94,1.48,0.0,107.9,1312.43,18.6,1331.03,921.79,409.24,0.0,409.24,172.87,236.37,0.0,236.37,2001.9,0.0,1.18,1.18
2019-06-30,1806.49,0.0,1806.49,51.62,1.27,5.12,33.35,1715.13,9.7,1724.83,1209.49,515.34,0.0,515.34,179.66,335.68,0.0,335.68,2001.9,0.0,1.68,1.68
