Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,1898.6,1898.6,1366.95,1366.95,3265.55,22349.03,0.0,0.0,0.0,22349.03,0.0,0.0,1089.71,1293.72,26908.3,63.89,0.0,1.1,0.0,0.0,64.99,47.84,1685.52,0.0,0.31,1645.67,23381.59,195.21,25222.78,26908.3,0.0,0.0,0.0,0.0,0.0,0.0,204.01,1373.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.99,0.0,0.0,0.0,0.0
2005-03-31,2001.9,2001.9,1407.87,1407.87,3409.77,21217.26,192.46,0.0,0.0,21409.72,0.0,0.0,1103.54,1367.38,26186.87,63.5,0.0,1.1,0.0,0.0,64.6,39.26,2205.76,0.0,0.59,2074.5,21720.56,185.46,23981.11,26186.87,0.0,0.0,0.0,0.0,0.0,0.0,263.84,2101.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,2001.9,2001.9,1625.63,1625.63,3627.53,21461.41,171.63,0.0,0.0,21633.04,0.0,0.0,1078.36,1235.36,26495.93,61.03,0.0,1.02,0.0,0.0,62.05,37.7,2585.48,0.0,0.74,1957.66,21732.43,219.62,23910.45,26495.93,0.0,0.0,0.0,0.0,0.0,0.0,157.0,2485.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,2001.9,2001.9,1911.59,1911.59,3913.49,20382.6,205.91,0.0,0.0,20588.52,0.0,0.0,1279.13,1458.9,25960.91,70.04,0.0,6.94,0.0,0.0,76.98,35.27,2562.75,0.0,1.01,1607.24,21534.64,255.27,23398.16,25960.91,61.12,14.34,0.0,0.0,0.0,0.0,179.77,2450.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,2001.9,2001.9,2188.79,2188.79,4190.69,18902.99,163.32,0.0,0.0,19066.31,0.0,0.0,1128.19,1517.15,24774.15,67.66,0.0,8.72,0.0,0.0,76.38,28.01,2166.95,0.0,8.76,746.7,21564.5,287.24,22607.2,24774.15,0.0,0.0,0.0,0.0,0.0,0.0,388.96,2062.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,2001.9,2001.9,2665.97,2665.97,4667.87,19249.32,234.38,0.0,0.0,19483.71,0.0,0.0,940.03,1102.65,25254.23,71.97,0.0,9.07,0.0,0.0,81.04,20.4,2144.63,0.0,21.82,1052.39,21766.26,269.13,23109.6,25254.23,245.69,0.0,8.35,1.9,2043.98,0.0,162.61,2043.19,0.0,12.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,2001.9,2001.9,3095.19,3095.19,5097.09,15520.48,237.36,0.0,0.0,15757.84,0.0,0.0,916.34,1075.47,21930.4,68.89,0.0,9.59,0.0,0.0,78.47,0.0,1602.46,0.0,12.15,755.86,19369.13,190.8,20327.95,21930.4,286.67,0.0,4.25,3.71,1524.77,0.0,159.13,1523.98,0.0,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2001.9,2001.9,3988.84,3988.84,5990.74,13713.59,350.38,51.74,211.83,14327.54,0.0,31.1,6929.11,7176.89,27495.17,71.33,0.01,13.87,0.0,0.0,85.21,0.0,20010.83,410.0,12.52,2778.84,3567.13,715.85,7484.34,27495.17,348.62,8.11,1.58,2.99,814.77,410.0,216.68,813.98,19111.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2001.9,2001.9,4513.04,4513.04,6514.94,13504.4,416.41,104.15,219.23,14244.19,48.54,18.78,5894.34,6189.81,26948.94,71.06,0.0,17.65,0.0,0.0,88.71,0.0,21914.47,0.0,10.6,696.77,3620.28,706.82,5034.47,26948.94,546.42,8.92,2.28,1.86,684.77,0.0,228.15,683.98,21141.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
