Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,449.98,9.38,459.36,280.43,67.74,-52.15,15.26,16.71,80.93,50.44,0.92,51.36,20.54,30.82,0.0,30.82,9.0,21.82,0.0,21.82,39.56,2.76,2.76,3.49,44.1,4.42,100.0,55.9
2013-03-31,584.18,10.54,594.72,363.22,21.48,-13.82,18.13,21.8,112.85,71.06,2.41,73.47,26.42,47.05,0.0,47.05,8.5,38.55,0.0,38.55,44.3,4.35,4.35,3.41,43.04,4.51,100.0,56.96
2013-06-30,585.85,7.79,593.64,358.84,26.2,-2.41,16.55,20.21,118.42,55.83,2.56,58.39,26.36,32.03,0.0,32.03,9.5,22.53,0.0,22.53,44.3,2.54,2.54,3.53,39.9,5.32,100.0,50.1
2013-09-30,637.7,7.65,645.35,401.0,26.25,-22.59,18.53,21.6,116.14,84.42,3.54,87.96,27.61,60.35,0.0,60.35,18.0,42.35,0.0,42.35,44.3,4.78,4.78,3.5,39.54,5.36,100.0,60.46
2013-12-31,639.67,9.97,649.64,405.96,34.87,-32.52,18.92,22.43,114.77,85.21,0.17,85.38,31.91,53.47,0.0,53.47,16.5,36.97,0.0,36.97,44.3,4.17,4.17,3.47,39.17,5.39,100.0,60.83
2014-03-31,735.46,8.68,744.14,454.99,29.54,-4.53,21.73,23.19,136.84,82.38,4.36,86.74,31.65,55.09,0.0,55.09,8.25,46.84,0.0,46.84,44.3,5.29,5.29,3.47,39.12,5.39,100.0,60.88
2014-06-30,725.01,14.76,739.77,447.04,25.25,10.36,20.11,18.73,124.04,94.24,0.12,94.36,37.93,56.43,0.0,56.43,15.0,41.43,0.0,41.43,44.3,4.68,4.68,3.47,39.13,5.39,100.0,60.87
2014-09-30,750.25,10.91,761.16,481.01,29.55,-22.92,22.34,19.09,129.2,102.89,0.27,103.16,35.94,67.22,0.0,67.22,16.5,50.72,0.0,50.72,44.3,5.72,5.72,3.56,40.18,5.3,100.0,59.82
2014-12-31,681.33,10.91,692.24,385.56,35.99,8.65,23.42,19.97,135.63,83.02,1.23,84.25,31.61,52.64,0.0,52.64,9.75,42.89,0.0,42.89,44.3,4.84,4.84,3.56,40.19,5.3,100.0,59.81
2015-03-31,667.54,9.94,677.48,332.41,41.35,21.13,23.84,20.86,140.21,97.68,0.35,98.03,32.0,66.03,3.48,69.51,16.75,52.76,0.0,52.76,44.3,5.95,5.95,3.61,40.78,5.25,100.0,59.22
2015-06-30,665.95,17.12,683.07,356.27,38.4,1.96,24.54,21.74,130.18,109.98,0.19,110.17,30.29,79.88,0.0,79.88,15.75,64.13,-3.23,60.9,44.3,6.87,6.87,3.63,40.92,5.23,100.0,59.08
2015-09-30,646.74,9.71,656.45,347.67,27.84,-11.71,25.81,22.58,135.15,109.11,0.47,109.58,29.65,79.93,0.0,79.93,16.5,63.43,-2.22,61.21,41.66,7.35,7.35,3.77,45.21,4.57,100.0,54.79
2015-12-31,668.21,10.56,678.77,330.59,21.96,27.66,29.22,22.94,139.36,107.04,0.87,107.91,27.62,80.29,0.0,80.29,16.0,64.29,-3.57,60.72,41.66,7.29,7.29,0.0,0.0,0.0,0.0,0.0
2016-03-31,686.28,12.44,698.72,316.66,26.12,36.37,30.82,25.43,151.94,111.38,8.11,119.49,28.34,91.15,0.0,91.15,11.5,79.65,-10.05,69.6,41.66,8.35,8.35,0.0,0.0,0.0,0.0,0.0
2016-06-30,673.24,9.63,682.87,313.26,31.8,17.16,32.59,26.8,133.42,127.84,0.36,128.2,26.98,101.22,0.0,101.22,18.5,82.72,-0.21,82.51,41.66,9.9,9.9,0.0,0.0,0.0,0.0,0.0
2016-09-30,698.88,11.37,710.25,406.66,23.68,-54.43,34.31,27.64,149.09,123.3,0.18,123.48,28.98,94.5,0.0,94.5,18.5,76.0,0.0,76.0,41.66,9.12,9.12,0.0,0.0,0.0,0.0,0.0
2016-12-31,759.33,10.9,770.23,409.22,24.49,-8.03,36.19,29.48,158.13,120.75,1.01,121.76,30.92,90.84,0.0,90.84,17.0,73.84,0.0,73.84,41.06,8.99,8.99,0.0,0.0,0.0,0.0,0.0
2017-03-31,834.35,0.0,834.35,444.33,24.26,15.23,37.08,30.88,160.85,121.72,0.96,122.68,30.5,92.18,0.0,92.18,17.85,74.33,0.0,74.33,41.06,9.05,9.05,0.0,0.0,0.0,0.0,0.0
2017-06-30,791.81,0.0,791.81,443.2,25.62,-26.76,38.75,31.69,172.61,106.7,0.09,106.79,29.24,77.55,0.0,77.55,14.5,63.05,0.0,63.05,41.06,7.68,7.68,0.0,0.0,0.0,0.0,0.0
