Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Equity Share Application Money,Money Received Against Share Warrants,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-03-31,12.13,12.13,160.91,160.91,173.04,84.47,16.73,0.0,0.0,101.2,119.72,30.56,0.35,24.85,175.48,449.71,173.54,0.0,2.02,0.0,175.55,8.13,0.0,0.0,0.75,184.44,76.54,113.5,9.37,65.87,0.0,265.27,449.71,23.15,20.11,0.0,0.0,7.1,13.11,135.11,0.03,6.84,9.13,7.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,36.4,36.4,169.39,169.39,205.79,110.32,19.7,0.0,0.0,130.02,114.59,82.04,0.71,33.55,230.89,566.7,186.14,0.0,18.62,0.0,204.77,24.33,0.0,0.0,1.83,230.93,95.08,131.61,4.66,104.42,0.0,335.77,566.7,68.27,36.86,0.0,0.0,2.0,20.28,2.22,0.03,31.11,16.02,21.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,36.4,36.4,200.41,200.41,236.81,106.44,26.02,0.0,0.0,132.47,193.97,94.38,0.59,51.96,340.91,712.03,229.54,0.0,28.49,0.0,258.02,24.74,0.0,0.0,1.53,284.29,121.65,174.89,7.17,124.03,0.0,427.74,712.03,85.36,61.43,0.0,0.0,2.84,23.82,306.73,0.03,31.11,8.28,22.87,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,36.4,36.4,220.29,220.29,256.7,144.32,32.72,0.0,0.0,177.04,193.12,91.69,0.81,50.91,336.53,772.12,277.34,0.0,18.18,0.0,295.52,26.07,0.0,0.0,1.24,322.83,147.76,161.73,7.3,132.5,0.0,449.29,772.12,65.32,68.39,0.0,0.0,7.91,15.7,285.07,0.03,31.11,5.82,24.22,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,36.4,36.4,246.06,246.06,282.47,167.16,39.67,0.0,0.0,206.84,262.14,94.01,0.68,64.11,420.94,910.25,280.28,0.0,36.51,0.0,316.78,26.18,0.0,0.0,0.95,343.92,197.13,199.03,7.59,162.58,0.0,566.33,910.25,58.65,76.8,0.0,0.0,3.01,21.51,355.29,0.03,31.11,5.12,24.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,36.4,36.4,303.45,303.45,339.85,247.38,45.21,0.0,0.0,292.58,235.2,72.3,2.52,96.91,406.93,1040.88,350.96,15.8,15.76,0.0,382.52,15.28,0.0,0.0,0.18,397.99,200.94,266.57,6.02,169.36,0.0,642.9,1040.88,24.56,203.3,0.0,0.0,5.82,24.68,555.69,0.0,31.11,3.24,9.39,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,38.36,38.36,360.3,360.3,398.66,190.38,52.37,0.0,0.0,242.74,246.11,146.99,1.42,125.17,519.69,1161.1,365.86,15.8,14.49,0.0,396.15,15.25,1.26,0.0,0.2,412.87,263.54,256.46,11.41,216.83,0.0,748.23,1161.1,66.3,162.9,0.0,0.0,12.33,45.07,489.91,0.0,31.11,7.34,13.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,38.36,38.36,404.67,404.67,446.51,136.05,52.94,0.19,139.87,329.04,356.13,136.09,36.49,17.44,546.15,1321.7,385.66,6.32,18.45,0.0,410.43,18.76,0.0,190.19,0.0,619.38,294.09,332.53,7.77,54.91,13.02,702.32,1321.7,65.19,117.51,0.39,20.83,1.0,52.45,527.21,0.0,31.11,8.37,17.72,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,39.56,39.56,473.1,473.1,512.66,102.87,55.46,0.19,172.17,330.68,482.33,180.29,41.83,20.56,725.01,1568.34,430.08,3.16,54.42,0.0,487.66,21.07,0.0,240.26,0.0,748.99,325.85,406.95,8.81,59.51,18.24,819.36,1568.34,77.12,126.31,0.7,2.26,6.42,61.63,683.98,0.0,31.11,6.66,20.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,39.56,39.56,632.35,632.35,671.91,116.74,70.71,0.2,217.17,404.82,685.01,215.85,63.76,26.8,991.42,2072.88,664.1,0.13,62.01,0.0,726.23,18.6,0.0,312.62,0.0,1057.45,462.12,428.65,9.71,89.64,25.3,1015.43,2072.88,156.2,264.83,0.21,15.52,12.98,49.46,992.38,0.0,31.11,9.35,17.52,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,44.3,44.3,734.4,734.4,778.69,255.03,84.46,7.32,255.67,602.47,685.84,367.84,101.04,28.98,1183.69,2564.86,793.2,0.09,112.61,0.0,905.9,32.25,0.0,386.16,0.0,1324.31,603.33,465.77,12.35,129.59,29.5,1240.55,2564.86,125.57,376.99,0.69,24.69,6.08,33.06,1214.37,0.0,31.11,6.62,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,44.3,44.3,863.54,863.54,907.84,418.92,102.46,0.19,300.17,821.73,647.32,252.66,156.31,33.03,1089.32,2818.89,936.05,0.04,187.95,0.0,1124.04,63.24,0.0,429.96,0.0,1617.24,543.87,466.81,26.33,137.41,27.22,1201.65,2818.89,107.78,331.65,1.27,50.82,4.65,47.02,1335.9,0.0,31.11,32.54,62.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,41.66,41.66,1028.44,1028.44,1070.1,525.18,119.46,0.18,282.46,927.28,691.86,298.92,89.49,17.58,1097.85,3095.23,1169.7,0.0,306.76,0.0,1476.46,32.4,0.0,443.83,0.0,1952.69,474.24,522.81,24.16,103.29,18.04,1142.54,3095.23,152.51,266.77,0.46,27.58,34.31,50.46,1254.64,0.0,29.26,22.51,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,41.06,41.06,1269.03,1269.03,1310.09,595.6,141.96,0.0,0.0,737.56,822.34,294.87,152.25,23.78,1293.24,3340.89,1564.87,1.7,266.79,0.0,1833.36,61.7,0.0,0.0,167.26,2062.32,546.59,547.37,21.64,0.0,162.97,1278.57,3340.89,196.29,373.8,0.52,41.59,86.64,53.29,1312.61,0.0,28.83,0.0,33.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,40.65,40.65,1474.52,1474.52,1515.17,897.43,159.36,0.0,0.0,1056.79,986.83,346.6,184.62,27.49,1545.54,4117.5,1842.97,1.3,431.18,0.0,2275.45,55.9,0.0,0.0,217.01,2548.36,686.75,639.23,23.93,0.0,219.23,1569.14,4117.5,200.45,459.77,1.4,59.38,58.64,51.34,1502.85,0.0,28.54,0.0,31.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,43.33,43.33,2517.08,2517.08,2560.41,807.76,170.98,203.24,0.0,1181.98,1262.5,265.47,319.4,37.89,1885.26,5627.87,1978.56,0.9,794.57,0.0,2774.03,33.36,0.0,0.0,296.97,3104.36,700.91,806.05,797.08,0.0,219.47,2523.51,5627.87,406.72,470.02,0.78,45.41,62.91,66.87,1740.57,0.0,28.54,0.0,33.36,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,87.12,87.12,2814.69,2814.69,2901.81,577.58,188.99,550.89,0.0,1317.46,1211.42,324.19,297.59,36.75,1869.95,6089.22,2301.13,0.5,1417.65,0.0,3719.28,37.16,0.0,0.0,391.95,4148.39,781.48,782.47,233.37,0.0,143.51,1940.83,6089.22,692.12,595.93,2.83,0.0,82.78,54.66,1716.87,0.0,72.09,0.0,37.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,87.12,87.12,3324.62,3324.62,3411.74,1268.05,210.98,224.41,0.0,1703.44,1219.29,584.64,557.58,37.04,2398.55,7513.73,3510.67,0.1,1297.91,0.0,4808.68,36.26,0.0,0.0,317.14,5162.08,901.46,819.08,405.99,0.0,225.12,2351.65,7513.73,439.02,622.3,0.88,0.0,96.21,42.93,1739.04,0.0,72.09,0.0,36.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,181.25,181.25,4319.78,4319.78,4501.03,929.85,0.0,238.49,0.0,1168.34,1632.42,343.72,154.5,30.3,2160.94,7830.31,3635.01,0.0,1260.05,42.97,4938.03,3.29,28.67,0.0,154.58,5124.57,898.57,1130.88,167.38,0.0,508.91,2705.74,7830.31,1008.9,634.09,62.9,0.0,35.71,72.38,1915.47,0.0,159.21,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,181.25,181.25,4739.7,4739.7,4920.95,634.71,0.0,241.94,0.0,876.65,2239.27,416.57,109.03,27.57,2792.44,8590.04,4822.54,1.47,988.73,107.24,5919.98,12.41,52.17,0.0,130.62,6115.18,1015.07,973.83,194.34,0.0,291.62,2474.86,8590.04,652.82,1198.61,67.26,0.0,5.02,127.61,3182.57,0.0,159.21,0.0,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,181.25,181.25,5111.16,5111.16,5292.41,1523.87,0.0,224.6,0.0,1748.47,1659.09,548.84,354.43,39.62,2601.98,9642.86,5597.28,8.06,1058.54,170.51,6834.39,18.67,142.89,57.65,93.82,7147.42,1151.05,867.04,125.51,8.26,343.58,2495.44,9642.86,1056.51,1405.24,1.48,146.79,7.96,92.48,3395.23,105.75,159.21,0.0,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,181.0,181.0,5437.0,5437.0,5618.0,1867.0,0.0,159.0,16.0,2042.0,1921.0,1229.0,290.0,15.0,3455.0,11115.0,6461.0,48.0,1276.0,0.0,7785.0,90.0,217.0,4.0,123.0,8219.0,1388.0,857.0,293.0,6.0,352.0,2896.0,11115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
