Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,95.92,95.92,435.62,435.62,531.54,42.38,58.32,0.0,0.0,100.7,9.08,218.72,109.01,88.5,425.32,1057.56,314.87,25.67,9.92,350.46,242.48,0.0,602.61,0.0,211.49,137.92,24.55,0.0,454.95,1057.56,170.76,2.86,0.07,7.25,3.01,93.99,74.81,161.1,0.0,0.0,0.0,80.99,124.46,0.0,2.11,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,95.92,95.92,476.3,476.3,572.22,47.35,39.72,0.0,0.0,87.07,17.69,278.71,112.25,111.7,520.36,1179.65,284.97,26.26,12.53,323.76,258.43,0.0,591.36,0.0,330.79,148.96,21.04,2.84,588.29,1179.65,148.83,3.9,0.06,10.42,3.3,93.99,92.5,163.91,0.0,0.0,0.0,84.65,149.06,0.0,5.42,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,95.92,95.92,526.36,526.36,622.28,54.3,37.06,0.0,0.0,91.35,18.28,301.7,150.35,107.29,577.62,1291.26,272.05,28.38,5.87,306.3,274.55,24.26,613.7,0.0,348.79,185.11,28.39,0.0,677.56,1291.26,187.26,6.95,0.04,12.74,7.65,93.99,158.25,197.17,0.0,0.0,0.0,115.28,201.08,0.0,3.14,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,95.92,95.92,648.16,648.16,744.08,58.93,36.85,0.0,0.0,95.78,48.67,432.44,179.71,54.15,714.97,1554.82,304.24,30.68,16.31,351.23,334.39,0.0,700.32,0.0,434.07,235.96,42.49,5.49,854.51,1554.82,180.22,5.61,0.07,16.6,7.47,93.99,183.02,257.01,0.0,0.0,0.0,136.5,225.42,0.0,1.47,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,95.92,95.92,832.58,832.58,928.5,63.83,48.38,0.0,0.0,112.21,13.57,590.2,212.21,166.49,982.47,2023.18,395.7,33.13,136.25,565.08,422.88,0.0,1004.82,0.0,538.97,251.9,41.35,0.0,1018.36,2023.18,222.05,14.65,0.02,14.5,9.79,93.99,254.26,345.5,0.0,0.0,0.0,186.14,337.84,0.0,4.69,16.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,95.92,95.92,998.55,998.55,1094.47,65.29,67.94,0.0,0.0,133.23,0.0,534.86,246.28,185.84,966.98,2194.68,586.23,36.68,164.64,787.55,234.77,0.0,1042.35,0.0,546.71,311.02,128.26,0.0,1152.33,2194.68,356.87,17.27,0.05,14.47,14.53,93.99,178.76,157.39,0.0,0.0,0.0,166.34,384.42,0.0,33.0,20.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,95.92,95.92,1461.3,1461.3,1557.22,65.96,70.47,0.0,0.0,136.43,0.33,864.43,294.14,304.17,1463.07,3156.72,660.76,46.7,380.72,1088.18,703.69,0.0,1814.44,0.0,763.14,331.43,28.6,0.0,1342.28,3156.72,223.8,27.11,0.05,15.37,19.09,93.99,186.79,155.31,0.0,0.0,0.0,219.11,476.53,0.0,107.61,22.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,95.92,95.92,1879.4,1879.4,1975.32,57.71,75.5,4.96,66.43,204.6,3.98,931.89,464.5,274.75,1675.12,3855.04,1038.65,18.54,39.67,1096.86,206.83,0.0,1401.47,341.0,1071.76,355.56,509.01,91.45,2453.57,3855.04,618.45,16.25,0.0,24.56,19.39,93.99,218.75,145.4,0.0,0.0,97.78,84.79,742.23,5.61,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,95.92,95.92,2391.86,2391.86,2487.78,52.64,80.75,3.62,65.16,202.17,110.51,1069.06,755.44,355.07,2290.08,4980.03,987.79,21.25,602.84,1611.88,279.22,0.0,2202.44,263.0,1264.42,500.24,500.97,95.27,2777.59,4980.03,785.37,30.13,0.1,21.53,20.72,93.99,210.08,222.79,0.0,0.0,311.34,153.69,957.94,6.22,143.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,95.92,95.92,2926.34,2926.34,3022.26,46.76,143.33,0.5,76.77,267.36,0.0,1214.12,720.99,423.55,2358.66,5648.28,2074.91,26.98,52.55,2154.44,359.7,0.0,2607.02,90.0,1480.79,633.88,566.86,105.65,3041.26,5648.28,464.28,37.49,0.11,26.98,27.97,93.99,315.18,220.63,75.85,15.0,92.88,164.08,1247.89,4.58,217.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,95.92,95.92,3505.01,3505.01,3600.93,39.51,177.07,0.12,80.24,296.94,0.0,1498.84,747.52,537.48,2783.84,6681.71,1973.21,38.99,37.95,2050.15,548.19,6.32,2699.3,482.0,1665.05,712.36,745.36,176.1,3982.41,6681.71,447.75,61.52,0.12,32.7,31.77,93.99,367.74,362.12,503.17,0.0,94.64,201.54,1683.92,2.08,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,95.92,95.92,4134.34,4134.34,4230.26,32.09,167.78,0.0,85.25,285.12,0.0,1313.08,832.71,612.03,2757.82,7273.2,1886.42,79.07,139.54,2105.03,775.72,13.64,3103.93,1118.06,1802.18,728.87,61.81,252.92,4169.27,7273.2,598.28,93.79,0.14,37.16,34.6,93.99,709.41,391.66,1144.87,0.0,209.54,205.43,1660.74,3.68,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,95.92,95.92,4867.24,4867.24,4963.16,31.55,207.69,1.68,94.23,335.15,0.0,1333.2,1021.25,711.39,3065.84,8364.15,2532.97,92.17,92.79,2717.93,1006.89,30.54,3866.59,1432.79,1610.12,759.06,155.02,318.66,4497.56,8364.15,351.2,105.52,0.15,35.7,44.5,93.99,850.13,469.51,1477.0,0.0,111.23,221.91,1662.34,3.6,184.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,95.92,95.92,6998.83,6998.83,7094.75,10.38,261.17,5.96,109.84,387.35,26.84,1671.26,1141.63,36.2,2875.93,10358.03,2512.01,92.67,219.76,2824.44,1598.2,434.92,4927.83,1315.4,2194.09,994.63,205.94,706.59,5430.2,10358.03,1463.64,0.0,0.0,0.0,0.0,93.99,978.33,619.87,1315.4,0.0,70.27,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
