Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,40.31,40.31,227.7,227.7,268.02,61.94,0.0,0.0,192.88,120.53,28.21,16.8,17.03,182.57,643.46,270.08,0.0,75.44,0.0,345.52,33.69,0.0,0.0,382.11,0.0,94.33,96.09,14.38,56.55,0.0,261.35,643.46,219.9,9.03,2.88,222.64,0.0,22.2,4.81,33.14,0.0,0.0,130.94,73.14,0.0,16.61,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,40.31,40.31,255.07,255.07,295.38,64.92,0.0,0.0,418.47,101.3,33.16,42.95,19.12,196.54,910.39,365.65,1.77,218.53,0.0,585.94,30.14,0.0,0.0,619.68,0.0,104.35,107.27,20.32,58.76,0.0,290.71,910.39,63.49,16.51,3.64,245.07,0.0,22.2,10.21,30.64,0.0,0.0,353.55,77.7,0.0,50.85,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,40.31,40.31,280.22,280.22,320.53,75.52,0.0,0.0,630.18,250.32,36.89,29.09,18.27,334.57,1285.27,625.84,2.0,50.57,0.0,678.4,30.14,0.0,4.52,719.05,0.0,214.13,124.04,130.47,97.58,0.0,566.22,1285.27,79.06,17.81,4.56,275.35,3.66,22.2,8.97,30.64,0.0,0.0,554.66,146.68,0.0,7.52,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,40.31,40.31,317.87,317.87,358.18,87.0,0.0,0.0,602.91,371.91,51.19,23.41,47.3,493.81,1454.9,647.68,2.16,29.74,0.0,679.58,56.47,0.0,3.48,743.03,0.0,280.89,203.13,103.25,124.6,0.0,711.87,1454.9,74.75,14.02,4.23,459.03,6.27,22.2,5.55,56.77,0.0,0.0,515.91,172.49,0.0,6.23,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,44.32,44.32,483.44,483.44,527.76,75.96,0.0,0.0,291.5,496.23,71.39,17.5,90.78,675.9,1512.6,546.61,2.16,91.35,0.0,640.12,30.32,0.0,2.43,675.21,0.0,273.38,288.35,43.19,232.47,0.0,837.39,1512.6,88.75,21.1,8.06,700.11,3.92,22.2,4.49,30.57,0.0,0.0,215.54,218.39,0.0,6.21,2.34,17.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,42.57,42.57,533.7,533.7,576.27,78.73,0.0,0.0,404.16,556.62,59.91,29.63,88.43,734.59,1732.28,561.44,2.58,150.98,0.0,715.01,83.54,0.0,1.39,803.69,0.0,409.72,328.54,6.38,183.94,0.0,928.59,1732.28,61.2,22.05,5.65,794.14,0.25,22.2,56.99,30.32,0.0,0.0,325.42,264.04,0.0,7.54,3.75,17.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,42.61,42.61,688.29,688.29,730.89,78.1,0.0,0.0,293.24,515.66,47.98,118.31,57.48,739.43,1763.56,655.09,9.01,58.1,0.0,722.2,67.0,0.0,0.35,792.75,0.0,342.82,440.24,4.49,183.25,0.0,970.8,1763.56,71.11,21.51,10.4,763.75,0.0,22.2,0.46,70.37,0.0,0.0,215.14,217.33,0.0,3.42,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,42.85,42.85,773.47,773.47,816.31,73.61,2.14,3.0,289.39,634.91,43.89,147.48,25.52,851.8,1957.5,657.11,1.5,78.58,0.0,737.19,66.6,51.4,0.0,855.19,35.28,509.52,395.29,11.78,103.66,46.78,1102.31,1957.5,211.23,20.84,0.0,8044.58,0.0,20.7,0.0,66.6,35.3,0.0,210.64,383.64,4.32,32.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,39.96,39.96,722.27,722.27,762.23,78.66,2.06,2.24,435.7,790.69,102.67,215.76,51.42,1160.53,2358.45,744.01,1.36,128.35,0.0,873.72,68.46,81.48,1.26,1024.92,0.25,618.81,490.68,17.98,142.85,62.96,1333.53,2358.45,243.59,30.92,8.11,1068.93,0.0,20.7,0.0,68.46,0.26,0.0,352.74,506.8,11.53,26.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,39.96,39.96,823.33,823.33,863.29,81.38,2.48,2.0,445.6,855.39,133.8,275.9,43.97,1309.06,2617.96,717.04,0.9,214.54,0.0,932.47,70.23,118.09,21.39,1142.19,0.25,607.67,598.56,14.62,178.1,76.57,1475.77,2617.96,204.76,58.47,7.62,1320.78,0.0,20.7,0.0,70.23,0.31,0.0,359.74,510.27,5.69,26.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,39.96,39.96,884.11,884.11,924.07,92.03,2.17,2.05,265.21,664.41,229.85,312.94,33.44,1240.65,2429.92,940.07,0.5,118.7,0.0,1059.27,97.66,59.21,28.07,1244.21,0.25,494.0,523.88,12.02,114.16,41.39,1185.71,2429.92,232.62,56.01,12.16,1121.31,0.0,20.7,0.0,97.66,0.38,0.0,168.96,367.85,3.51,31.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,39.96,39.96,900.77,900.77,940.72,97.34,1.05,3.0,353.77,575.92,128.93,157.42,16.18,878.44,2172.94,906.4,0.14,107.75,0.0,1014.29,149.31,81.94,1.8,1247.34,0.25,401.9,405.46,4.06,93.37,20.55,925.6,2172.94,166.14,44.29,9.14,44.29,0.0,20.7,0.0,149.31,0.53,0.0,252.37,293.55,3.1,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,39.96,39.96,881.04,881.04,921.0,51.2,1.25,3.07,212.07,520.0,51.72,171.8,1.77,745.28,1878.35,932.38,0.05,26.7,2.81,961.94,149.29,4.5,27.46,1143.19,0.47,371.19,318.48,5.12,1.93,37.96,735.16,1878.35,168.06,41.19,0.0,498.5,0.0,20.7,0.0,149.29,0.47,0.0,156.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,39.96,39.96,831.84,831.84,871.79,60.89,2.32,3.43,202.28,411.84,86.49,198.64,0.7,697.67,1771.74,885.03,0.02,1.2,3.86,890.1,149.28,2.31,29.61,1071.32,0.55,257.8,360.79,8.25,1.53,71.51,700.43,1771.74,172.96,149.87,0.0,0.0,463.15,20.7,0.0,149.28,0.55,0.0,135.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,39.96,39.96,1768.66,1768.66,1808.62,119.17,2.51,3.41,125.08,297.45,246.44,157.29,0.69,701.87,2635.57,829.3,0.35,1.61,3.72,834.98,149.26,7.38,29.03,1020.65,0.0,511.44,972.69,7.62,0.91,122.26,1614.92,2635.57,133.54,278.66,0.0,0.0,1861.58,20.7,0.0,149.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
