Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,350.07,8.04,358.11,211.68,0.0,-39.29,29.5,13.26,16.18,89.52,37.26,3.76,41.02,15.47,25.55,-12.97,12.58,0.1,12.48,-0.96,11.52,39.96,2.88,2.88,1.68,42.0,2.32,100.0,58.0
2013-03-31,443.28,3.01,446.29,181.19,0.0,49.75,24.59,15.52,14.76,106.77,53.71,4.45,58.16,16.78,41.38,2.58,43.96,7.13,36.83,-1.69,35.14,39.96,8.8,8.8,1.67,41.73,2.33,100.0,58.27
2013-06-30,234.1,1.17,235.27,111.76,0.0,-16.66,16.61,12.89,16.51,73.18,20.98,3.14,24.12,16.26,7.86,-15.32,-7.46,1.86,-9.32,0.0,-9.32,39.96,-2.33,-2.33,1.67,41.68,2.33,100.0,58.32
2013-09-30,301.64,0.29,301.93,126.87,0.0,23.16,17.72,13.3,17.84,75.14,27.9,7.53,35.43,18.2,17.23,-9.2,8.03,2.8,5.23,-0.17,5.06,39.96,1.27,1.27,1.67,41.68,2.33,100.0,58.32
2013-12-31,423.69,4.49,428.18,205.19,0.0,-12.68,24.83,15.75,19.14,110.05,65.9,3.49,69.39,19.68,49.71,-2.33,47.38,3.07,44.31,0.0,44.31,39.96,11.09,11.09,1.65,41.37,2.34,100.0,58.63
2014-03-31,499.49,1.94,501.43,194.73,0.0,65.91,28.56,16.9,19.17,117.63,58.53,7.62,66.15,18.15,48.0,1.48,49.48,2.91,46.57,0.0,46.57,39.96,11.66,11.66,1.65,41.22,2.35,100.0,58.78
2014-06-30,346.12,1.18,347.3,176.46,0.0,1.13,21.13,14.14,19.35,75.28,39.81,2.7,42.51,17.8,24.71,-2.15,22.56,3.62,18.94,0.0,18.94,39.96,4.74,4.74,1.65,41.22,2.35,100.0,58.78
2014-09-30,322.69,0.72,323.41,142.07,0.0,31.74,18.92,14.56,18.73,66.53,30.86,3.86,34.72,17.48,17.24,-8.53,8.71,3.13,5.58,0.0,5.58,39.96,1.4,1.4,1.65,41.22,2.35,100.0,58.78
2014-12-31,278.51,1.23,279.74,150.6,0.0,-28.3,17.66,15.04,19.29,73.47,31.98,0.21,32.19,16.53,15.66,-9.39,6.27,-4.18,10.45,0.0,10.45,39.96,2.62,2.62,1.65,41.21,2.35,100.0,58.79
2015-03-31,287.27,2.76,290.03,124.03,0.0,19.68,15.88,17.04,17.99,77.38,18.03,4.78,22.81,13.95,8.86,-2.1,6.76,2.75,4.01,0.0,4.01,39.96,1.0,1.0,1.65,41.21,2.35,100.0,58.79
