Date,Net Sales/Income from operations,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2015-06-30,86.29,86.29,10.65,2.52,7.15,13.42,52.55,25.02,77.57,17.05,60.52,0.0,60.52,15.77,44.75,44.75,29.0,3.09,3.08,4.94,34.08,9.56,100.0,65.92
2015-09-30,86.89,86.89,11.12,2.72,7.19,14.51,51.34,23.87,75.21,15.75,59.47,0.0,59.47,14.84,44.63,44.63,30.6,2.95,2.94,5.73,37.48,9.57,100.0,62.52
2015-12-31,91.15,91.15,10.75,3.38,7.41,16.6,53.02,25.05,78.07,17.71,60.36,0.0,60.36,15.04,45.32,45.32,30.6,2.96,2.96,0.0,0.0,0.0,0.0,0.0
2016-03-31,91.47,91.47,8.9,2.67,7.57,18.72,53.62,25.08,78.7,18.28,60.42,-28.0,32.42,16.22,16.19,16.19,30.6,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2016-06-30,91.17,91.17,10.3,3.18,7.11,14.98,55.59,23.22,78.82,19.7,59.12,0.0,59.12,14.25,44.87,44.87,30.61,2.93,2.93,0.0,0.0,0.0,0.0,0.0
2016-09-30,92.87,92.87,10.2,3.14,7.2,15.48,56.84,24.36,81.2,22.7,58.5,0.0,58.5,12.28,46.22,46.22,30.61,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2016-12-31,99.96,99.96,10.4,4.5,7.59,18.27,59.2,-1.5,57.71,22.26,35.44,-35.0,0.44,-5.23,5.67,5.67,30.61,0.37,0.37,0.0,0.0,0.0,0.0,0.0
2017-03-31,91.92,91.92,10.43,3.06,8.16,18.17,52.09,8.99,61.08,16.61,44.48,0.0,44.48,7.69,36.79,36.79,30.61,2.4,2.39,0.0,0.0,0.0,0.0,0.0
2017-06-30,98.16,98.16,11.8,3.68,8.83,18.68,55.17,6.41,61.58,19.82,41.76,0.0,41.76,10.57,31.19,31.19,30.61,2.04,2.03,0.0,0.0,0.0,0.0,0.0
2017-09-30,94.47,94.47,10.64,3.74,10.01,18.21,51.87,38.27,90.13,19.59,70.54,0.0,70.54,7.47,63.07,63.07,30.62,4.12,4.11,0.0,0.0,0.0,0.0,0.0
2017-12-31,100.14,100.14,0.0,5.28,10.44,32.91,51.51,3.15,54.66,17.53,37.12,0.0,37.12,7.96,29.17,29.17,30.62,1.9,1.9,0.0,0.0,0.0,0.0,0.0
2018-03-31,104.44,104.44,0.0,4.5,11.01,35.55,53.38,4.86,58.24,17.55,40.69,0.0,40.69,9.28,31.41,31.41,30.63,2.05,2.05,0.0,0.0,0.0,0.0,0.0
2018-06-30,109.23,109.23,0.0,5.03,10.39,35.38,58.43,3.32,61.75,17.04,44.7,0.0,44.7,10.04,34.67,34.67,30.64,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2018-09-30,108.59,108.59,0.0,5.75,10.95,35.46,56.43,42.85,99.28,21.19,78.09,0.0,78.09,7.62,70.47,70.47,30.64,4.6,4.59,0.0,0.0,0.0,0.0,0.0
2018-12-31,112.14,112.14,0.0,8.22,11.45,37.64,54.83,4.83,59.65,20.47,39.18,0.0,39.18,8.41,30.77,30.77,30.65,2.01,1.99,0.0,0.0,0.0,0.0,0.0
2019-03-31,110.38,110.38,0.0,5.21,11.4,39.02,54.75,11.61,66.36,19.04,47.32,0.0,47.32,10.15,37.18,37.18,30.66,2.43,2.42,0.0,0.0,0.0,0.0,0.0
2019-06-30,113.28,113.28,0.0,4.97,10.62,38.27,59.42,4.85,64.28,18.45,45.83,0.0,45.83,10.21,35.63,35.63,30.67,2.32,2.32,0.0,0.0,0.0,0.0,0.0
2019-09-30,113.07,113.07,0.0,4.87,10.48,41.73,56.0,28.44,84.44,18.64,65.8,-1.25,64.55,5.86,58.69,58.69,30.67,3.83,3.81,0.0,0.0,0.0,0.0,0.0
2019-12-31,119.86,119.86,0.0,10.12,10.87,43.43,55.43,5.49,60.92,19.58,41.34,0.0,41.34,8.23,33.11,33.11,30.68,2.16,2.15,0.0,0.0,0.0,0.0,0.0
2020-03-31,98.22,98.22,0.0,3.41,14.34,38.46,42.0,3.7,45.71,19.11,26.59,0.0,26.59,6.46,20.14,20.14,30.69,1.31,1.31,0.0,0.0,0.0,0.0,0.0
2020-06-30,40.16,40.16,0.0,2.2,11.51,11.08,15.37,4.86,20.23,19.38,0.85,0.0,0.85,0.07,0.77,0.77,30.69,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2020-09-30,44.9,44.9,0.0,2.64,11.54,21.82,8.91,9.05,17.96,17.01,0.95,0.0,0.95,0.24,0.71,0.71,34.34,0.04,0.04,0.0,0.0,0.0,0.0,0.0
2020-12-31,80.59,80.59,0.0,4.21,10.24,30.23,35.92,270.05,305.97,13.33,292.64,0.0,292.64,9.87,282.78,282.78,34.36,17.43,17.39,0.0,0.0,0.0,0.0,0.0
2021-03-31,83.52,83.52,0.0,3.64,9.09,49.9,20.9,13.61,34.5,12.7,21.81,0.0,21.81,13.82,7.99,7.99,34.37,0.24,0.24,0.0,0.0,0.0,0.0,0.0
2021-06-30,39.29,39.29,0.0,4.0,6.83,19.22,9.24,35.44,44.67,15.67,29.01,208.87,237.88,3.17,234.71,234.71,34.38,13.65,13.63,0.0,0.0,0.0,0.0,0.0
2021-09-30,59.84,59.84,0.0,5.9,7.12,28.06,18.75,14.88,33.63,15.55,18.08,0.0,18.08,2.7,15.38,15.38,34.4,0.89,0.9,0.0,0.0,0.0,0.0,0.0
2021-12-31,85.86,85.86,0.0,5.72,7.24,22.62,50.27,13.29,63.56,14.59,48.97,24.22,73.19,10.85,62.33,62.33,34.43,3.49,3.5,0.0,0.0,0.0,0.0,0.0
2022-03-31,102.95,102.95,0.0,5.57,7.47,32.62,57.3,25.82,83.12,17.76,65.36,0.0,65.36,7.86,57.5,57.5,35.7,3.21,3.21,0.0,0.0,0.0,0.0,0.0
2022-06-30,112.22,112.22,0.0,7.9,7.1,30.68,66.53,40.15,106.69,14.6,92.08,0.0,92.08,8.86,83.22,83.22,35.71,4.66,4.66,0.0,0.0,0.0,0.0,0.0
2022-09-30,117.87,117.87,0.0,8.9,7.67,25.15,76.16,6.32,82.48,17.74,64.74,0.0,64.74,9.34,55.4,55.4,35.71,2.9,2.89,0.0,0.0,0.0,0.0,0.0
2022-12-31,123.88,123.88,0.0,10.46,8.39,26.95,78.08,7.67,85.75,17.04,68.71,0.0,68.71,14.38,54.33,54.33,35.72,3.04,3.04,0.0,0.0,0.0,0.0,0.0
2023-03-31,122.54,122.54,0.0,5.27,7.49,37.15,72.63,9.78,82.4,16.44,65.97,48.44,114.41,13.25,101.16,101.16,35.72,5.66,5.66,0.0,0.0,0.0,0.0,0.0
2023-06-30,117.87,117.87,0.0,6.63,7.88,29.05,74.31,5.92,80.23,16.46,63.77,0.0,63.77,12.59,51.18,51.18,35.73,2.87,2.86,0.0,0.0,0.0,0.0,0.0
2023-09-30,112.4,112.4,0.0,9.15,8.03,29.79,65.43,92.69,158.12,15.97,142.15,0.0,142.15,16.21,125.94,125.94,35.73,7.05,7.05,0.0,0.0,0.0,0.0,0.0
2023-12-31,119.84,119.84,0.0,12.17,8.09,30.25,69.33,4.82,74.15,16.21,57.94,0.0,57.94,7.72,50.22,50.22,35.73,2.81,2.81,0.0,0.0,0.0,0.0,0.0
2024-03-31,115.6,115.6,0.0,8.1,10.76,28.72,68.02,5.29,73.31,15.94,57.37,0.0,57.37,4.5,52.87,52.87,35.74,2.91,2.91,0.0,0.0,0.0,0.0,0.0
2024-06-30,118.23,118.23,0.0,9.11,8.13,32.1,68.9,6.04,74.94,16.77,58.17,47.38,105.54,9.54,96.0,96.0,35.75,5.36,5.36,0.0,0.0,0.0,0.0,0.0
2024-09-30,115.58,115.58,0.0,8.31,8.68,35.03,63.56,104.52,168.08,18.11,149.97,0.0,149.97,16.06,133.92,133.92,71.5,3.75,3.74,0.0,0.0,0.0,0.0,0.0
2024-12-31,127.46,127.46,0.0,12.52,11.98,33.76,69.21,14.04,83.25,18.63,64.62,0.0,64.62,8.8,55.81,55.81,71.5,1.56,1.56,0.0,0.0,0.0,0.0,0.0
2025-03-31,124.86,124.86,0.0,7.76,15.85,47.39,53.85,21.65,75.5,19.23,56.27,-6.99,49.28,-2.28,51.57,51.57,71.5,1.44,1.44,0.0,0.0,0.0,0.0,0.0
