Date,Net Sales/Income from operations,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,69.34,69.34,10.22,1.9,6.87,9.84,40.52,12.59,53.1,6.99,46.11,0.0,46.11,11.97,34.14,34.14,28.97,2.36,2.36,4.93,34.07,9.55,100.0,65.93
2013-03-31,72.21,72.21,9.65,2.04,7.07,12.63,40.83,14.05,54.87,6.58,48.3,0.0,48.3,12.18,36.12,36.12,28.97,2.49,2.49,4.93,34.07,9.55,100.0,65.93
2013-06-30,69.82,69.82,7.53,2.03,6.52,12.78,40.97,21.54,62.51,7.17,55.34,0.0,55.34,13.51,41.83,41.83,28.97,2.89,2.89,4.93,34.07,9.55,100.0,65.93
2013-09-30,70.72,70.72,9.15,2.03,6.53,11.69,41.32,17.24,58.56,9.71,48.85,0.0,48.85,12.32,36.53,36.53,28.97,2.52,2.52,4.93,34.07,9.55,100.0,65.93
2013-12-31,75.59,75.59,8.8,1.9,5.86,15.16,43.87,19.66,63.54,14.61,48.93,0.0,48.93,11.11,37.82,37.82,28.97,2.61,2.61,4.93,34.07,9.55,100.0,65.93
2014-03-31,78.68,78.68,7.88,1.82,6.53,20.97,41.48,21.56,63.04,12.93,50.11,0.0,50.11,13.74,36.37,36.37,28.97,2.51,2.51,4.93,34.05,9.55,100.0,65.95
2014-06-30,75.61,75.61,10.25,2.04,7.5,13.51,42.31,21.95,64.26,13.35,50.91,0.0,50.91,15.7,35.21,35.21,28.97,2.43,2.43,4.93,34.02,9.56,100.0,65.98
2014-09-30,77.89,77.89,9.76,2.02,7.47,15.75,42.89,23.09,65.99,17.89,48.1,0.0,48.1,11.6,36.5,36.5,28.98,2.52,2.52,4.93,34.05,9.56,100.0,65.95
2014-12-31,81.16,81.16,9.42,2.16,7.64,18.07,43.86,25.8,69.67,20.57,49.1,0.0,49.1,11.03,38.07,38.07,28.98,2.63,2.63,4.93,34.05,9.56,100.0,65.95
2015-03-31,80.79,80.79,7.95,2.75,8.44,18.67,42.99,25.89,68.87,18.85,50.02,-84.25,-34.23,13.7,-47.93,-47.93,28.99,-3.3,-3.3,4.94,34.07,9.56,100.0,65.93
