Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Raw Materials,Capital Goods,Deferred Tax Liabilities [Net],Inventories,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,2.45,2.45,14.38,26.4,28.85,0.0,46.9,0.0,0.0,47.73,0.0,2.97,30.34,3.69,36.99,113.58,50.55,0.0,15.14,0.0,65.7,6.43,0.72,0.0,0.04,72.89,0.0,7.19,1.03,31.53,0.0,40.69,113.58,6.66,0.42,0.0,0.01,1.12,0.22,6.4,0.0,0.0,12.03,0.0,0.0,0.83,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,2.45,2.45,22.3,33.55,36.0,0.0,67.47,0.0,0.0,67.97,3.79,5.49,29.05,10.39,48.72,152.68,79.52,0.0,16.18,0.0,95.7,5.51,0.0,0.0,0.04,101.24,0.0,7.42,2.58,41.24,0.0,51.43,152.68,6.13,0.27,0.0,0.01,1.12,0.29,5.48,0.0,0.0,11.25,0.0,0.0,0.49,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,12.25,12.25,26.38,37.54,49.79,0.0,90.37,0.0,0.0,90.49,1.93,5.46,53.41,17.18,77.99,218.26,131.0,0.0,26.06,0.0,157.07,6.49,0.09,0.0,0.06,163.7,0.0,6.16,0.33,47.76,0.0,54.56,218.26,4.68,0.3,0.0,0.02,10.92,0.43,6.46,0.0,0.0,11.16,0.0,0.0,0.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,12.25,12.25,186.27,197.34,209.59,0.0,334.99,0.0,0.0,334.99,15.66,6.96,34.14,41.04,97.8,642.38,125.18,0.0,96.96,0.0,222.14,181.03,0.28,0.0,0.05,403.5,0.0,4.25,9.94,224.37,0.0,238.87,642.38,62.42,1.18,0.0,0.01,10.92,0.62,181.03,0.0,0.0,11.07,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,27.14,27.14,1398.68,1409.65,1436.79,1.83,118.94,0.0,0.0,118.94,85.99,16.02,55.19,21.35,178.55,1736.11,126.51,0.0,178.17,0.0,304.67,573.2,0.97,0.0,0.0,878.84,0.0,19.89,2.01,835.11,0.0,857.27,1736.11,29.62,4.25,2.37,0.2,10.92,6.45,196.55,0.0,0.0,10.97,0.0,0.64,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.97,28.97,1459.95,1470.83,1499.8,0.0,129.24,0.0,0.0,129.24,35.92,25.64,65.35,22.38,149.28,1778.32,155.07,0.0,316.1,0.0,471.17,533.0,1.26,0.0,0.0,1005.42,0.0,33.24,154.4,321.57,263.37,772.9,1778.32,103.47,0.28,3.8,0.02,10.92,1.9,419.22,0.0,0.0,10.88,0.0,4.36,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.97,28.97,1499.51,1510.29,1539.26,0.0,114.44,0.0,0.0,114.44,27.72,26.07,83.67,23.53,161.0,1814.69,445.41,0.0,88.2,0.0,533.62,587.45,2.25,0.0,0.0,1123.32,0.0,41.08,20.39,349.09,280.51,691.37,1814.69,64.31,0.23,3.17,0.01,10.92,5.12,422.61,0.0,0.0,10.78,0.0,0.49,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,28.97,28.97,1560.86,1571.54,1600.51,0.0,0.0,64.16,0.62,64.77,40.0,54.97,31.89,33.72,160.57,1825.86,437.17,0.0,81.75,0.0,518.92,481.41,1.26,523.82,0.48,1525.89,36.26,87.5,7.35,159.34,9.51,299.96,1825.86,8.15,0.34,3.76,0.05,10.92,5.71,478.3,0.0,36.26,10.69,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,28.97,28.97,1632.53,1643.12,1672.09,0.0,261.15,66.37,0.39,327.91,0.66,41.04,99.14,36.01,176.84,2176.84,439.46,0.0,91.32,0.0,530.78,799.76,2.83,547.81,8.39,1889.58,10.0,31.36,13.77,217.63,14.5,287.26,2176.84,24.09,1.33,5.95,0.03,10.92,4.95,796.65,0.0,10.0,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,28.97,28.97,1729.13,1739.62,1768.59,0.0,206.7,77.09,0.36,284.15,12.06,44.06,112.48,46.55,215.15,2267.89,442.46,0.0,108.97,0.0,551.43,938.62,3.02,388.81,0.51,1882.39,0.0,29.42,22.32,318.88,14.88,385.5,2267.89,38.51,0.76,6.79,0.01,10.92,4.84,935.51,0.0,0.0,10.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
