Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,Trade/Other Goods
2004-03-31,4.0,4.0,279.36,279.36,283.36,0.0,0.0,27.92,0.0,155.91,76.8,232.71,543.99,94.54,0.0,0.0,0.0,0.0,94.54,19.71,0.0,0.0,0.56,114.81,0.0,1.15,123.24,139.28,156.82,8.69,429.18,543.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,4.0,4.0,306.91,306.91,310.91,0.0,0.0,0.0,0.0,236.01,99.09,335.1,646.01,87.17,0.0,0.0,0.0,0.0,87.17,9.27,2.35,0.0,0.0,98.79,0.0,2.59,112.09,208.28,213.12,11.14,547.22,646.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,4.0,4.0,383.26,383.26,387.26,0.0,0.0,0.0,0.0,361.82,111.07,472.89,860.15,79.07,0.0,0.12,0.0,0.0,79.19,6.1,14.47,0.0,0.0,99.76,0.0,52.94,133.3,266.77,292.3,15.08,760.39,860.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,4.0,4.0,455.62,455.62,459.62,0.0,0.0,0.0,0.0,445.01,131.17,576.18,1035.8,92.32,0.0,0.0,0.0,0.0,92.32,6.08,20.33,0.0,0.0,118.73,0.0,11.98,154.56,424.79,306.4,19.34,917.07,1035.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,40.0,40.0,498.87,498.87,538.87,0.0,0.0,0.0,0.0,578.41,134.66,713.07,1251.94,115.55,0.0,2.11,0.0,0.0,117.66,68.73,32.62,0.0,0.75,219.76,0.0,22.7,135.28,532.85,314.49,26.86,1032.18,1251.94,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,40.0,40.0,569.75,569.75,609.75,0.0,0.0,0.0,0.0,845.04,165.7,1010.74,1620.49,118.87,0.0,11.73,0.0,0.0,130.6,54.11,43.23,0.0,0.0,227.94,0.0,36.8,168.96,812.2,342.03,32.56,1392.55,1620.49,718.59,19.17,56.6,80.33,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,40.0,40.0,654.84,654.84,694.84,0.0,0.0,0.0,0.0,1086.62,174.5,1261.12,1955.95,127.79,0.0,35.9,0.0,0.0,163.69,62.07,58.47,0.0,0.0,284.23,0.0,50.82,219.15,1116.16,245.86,39.73,1671.73,1955.95,773.72,25.48,46.94,47.3,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,40.0,40.0,841.76,841.76,881.76,123.95,92.01,215.96,118.55,1382.29,76.64,1577.48,2675.2,144.09,0.43,35.78,0.0,0.0,180.3,113.22,45.04,88.52,344.59,771.67,0.0,93.42,338.7,1347.07,75.14,49.2,1903.53,2675.2,82.89,28.57,144.58,49.87,0.0,0.0,113.22,0.0,0.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,40.0,40.0,967.9,967.9,1007.9,80.42,120.98,201.4,113.77,1766.79,44.85,1925.41,3134.71,159.26,2.55,19.63,0.0,0.0,181.44,138.19,41.49,142.09,266.38,769.59,5.02,87.09,226.13,1885.51,92.94,68.43,2365.12,3134.71,1127.88,28.57,283.3,26.85,36.0,0.0,11.58,0.0,0.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,100.0,100.0,1128.21,1128.21,1228.21,75.5,144.83,220.33,142.51,1655.85,31.22,1829.58,3278.12,172.94,3.55,6.87,0.23,1.59,185.18,193.58,47.43,118.12,292.67,836.98,122.47,25.96,294.08,1776.89,3.37,218.36,2441.14,3278.12,1377.77,24.67,303.96,38.18,60.0,0.0,18.58,122.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,100.0,100.0,1319.44,1319.44,1419.44,85.46,112.8,198.27,106.61,1786.96,108.32,2001.89,3619.59,191.96,4.8,12.95,0.49,1.55,211.74,229.69,59.7,135.69,345.69,982.51,0.0,17.49,324.95,2104.67,4.09,185.88,2637.09,3619.59,1347.51,40.03,404.14,39.69,60.0,0.0,29.68,0.0,54.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
