Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-03-31,418.69,0.0,418.69,0.0,158.43,8.07,209.63,42.56,18.19,60.75,0.0,60.75,60.75,13.37,47.38,47.38,200.0,2.37,2.37
2017-06-30,330.64,0.0,330.64,0.0,114.81,7.79,135.89,72.15,39.51,111.66,0.0,111.66,111.66,42.43,69.23,69.23,200.0,3.46,3.46
2017-09-30,199.96,0.0,199.96,0.0,111.12,7.68,42.26,38.9,50.11,89.01,0.0,89.01,89.01,10.78,78.23,78.23,200.0,0.0,0.0
2017-12-31,359.64,0.0,359.64,0.0,95.37,7.57,128.68,128.02,34.77,162.79,0.0,162.79,162.79,56.17,106.62,106.62,200.0,5.33,5.33
2018-03-31,549.0,0.0,549.0,0.0,135.87,7.14,314.91,91.08,38.95,130.03,0.0,130.03,130.03,47.3,82.73,82.73,200.0,4.14,4.14
2018-06-30,310.04,0.0,310.04,0.0,117.65,7.52,122.18,62.69,59.86,122.55,0.0,122.55,122.55,40.5,82.05,82.05,200.0,4.1,4.1
2018-09-30,433.26,0.0,433.26,0.0,108.21,7.94,182.31,134.8,39.97,174.77,0.56,174.21,174.21,57.46,116.75,116.75,200.0,5.84,5.84
2018-12-31,511.35,0.0,511.35,-4.97,132.83,8.27,250.42,124.8,51.08,175.88,0.38,175.5,175.5,58.03,117.47,117.47,200.0,5.87,5.87
2019-03-31,714.32,0.0,714.32,-66.62,125.85,8.45,487.95,158.69,47.52,206.21,1.76,204.45,204.45,72.63,131.82,131.82,200.0,6.59,6.59
2019-06-30,519.22,0.0,519.22,50.82,131.5,9.52,220.19,107.19,34.3,141.49,0.45,141.04,141.04,48.42,92.62,92.62,200.0,4.63,4.63
2019-09-30,726.21,0.0,726.21,73.67,120.68,9.65,351.64,170.57,147.5,318.07,0.73,317.34,317.34,84.7,232.64,232.64,250.0,9.31,9.31
2019-12-31,602.57,0.0,602.57,37.86,133.4,10.2,276.57,144.54,43.01,187.55,0.74,186.81,186.81,47.07,139.74,139.74,250.0,5.59,5.59
2020-03-31,552.57,0.0,552.57,34.06,131.09,11.56,240.67,135.19,43.35,178.54,1.12,177.42,177.42,46.03,131.39,131.39,250.0,5.26,5.26
2020-06-30,322.48,0.0,322.48,-0.06,118.73,10.96,152.77,40.08,43.31,83.39,0.72,82.67,82.67,22.54,60.13,60.13,250.0,2.41,2.41
2020-09-30,422.37,0.0,422.37,-10.5,113.08,10.98,203.07,105.74,66.01,171.75,0.46,171.29,171.29,40.55,130.74,130.74,250.0,5.23,5.23
2020-12-31,433.68,0.0,433.68,-64.0,116.81,11.16,264.2,105.51,30.58,136.09,1.31,134.78,134.78,35.86,98.92,98.92,240.3,4.02,4.02
2021-03-31,618.86,0.0,618.86,-204.47,132.23,11.71,518.99,160.4,13.56,173.96,0.35,173.61,173.61,39.05,134.56,134.56,240.3,5.6,5.6
2021-06-30,332.13,0.0,332.13,-106.33,119.77,11.3,240.86,66.53,26.85,93.38,0.26,93.12,93.12,22.64,70.48,70.48,240.3,2.93,2.93
2021-09-30,733.59,0.0,733.59,87.86,129.91,11.73,318.03,186.06,33.35,219.41,1.09,218.32,218.32,55.19,163.13,163.13,240.3,6.79,6.79
2021-12-31,745.97,8.56,754.53,121.25,132.52,12.79,321.93,166.04,16.02,182.06,2.3,179.76,179.76,46.14,133.62,133.62,240.3,5.56,5.56
2022-03-31,744.16,0.0,744.16,140.07,134.22,22.65,283.07,164.15,20.53,184.68,1.31,183.37,183.37,53.49,129.88,129.88,240.3,5.4,5.4
2022-06-30,578.33,0.0,578.33,30.37,128.27,12.83,263.5,143.36,31.4,174.76,1.18,173.58,173.58,44.32,129.26,129.26,240.3,5.38,5.38
2022-09-30,631.67,0.0,631.67,19.61,119.31,15.06,334.88,142.81,31.23,174.04,1.11,172.93,172.93,41.54,131.39,131.39,240.3,5.47,5.47
2022-12-31,650.63,0.0,650.63,13.7,124.51,16.69,341.55,154.18,25.36,179.54,2.0,177.54,177.54,46.02,131.52,131.52,240.3,5.47,5.47
2023-03-31,658.99,0.0,658.99,3.87,135.51,14.8,349.16,155.65,31.17,186.82,2.33,184.49,184.49,46.12,138.37,138.37,240.3,5.76,5.76
2023-06-30,503.67,0.0,503.67,20.79,123.48,13.95,233.14,112.31,17.69,130.0,0.92,129.08,129.08,33.2,95.88,95.88,240.3,3.99,3.99
2023-09-30,549.27,0.0,549.27,-20.43,118.8,11.7,340.17,99.03,51.4,150.43,1.43,149.0,149.0,32.41,116.59,116.59,240.3,4.85,4.85
2023-12-31,652.88,0.0,652.88,24.16,125.01,12.59,359.38,131.74,24.85,156.59,1.88,154.71,154.71,36.14,118.57,118.57,240.3,4.93,4.93
2024-03-31,606.18,0.0,606.18,0.26,123.93,13.19,337.23,131.57,32.98,164.55,0.47,164.08,164.08,41.01,123.07,123.07,240.3,5.12,5.12
2024-06-30,453.78,0.0,453.78,-0.63,130.1,12.12,246.05,66.14,21.36,87.5,1.05,86.45,86.45,21.59,64.86,64.86,240.3,2.7,2.7
2024-09-30,510.39,0.0,510.39,-0.75,120.72,12.63,310.5,67.29,43.21,110.5,2.42,108.08,108.08,22.12,85.96,85.96,480.6,1.79,1.79
2024-12-31,544.53,0.0,544.53,-16.9,124.88,13.66,346.38,76.51,47.24,123.75,0.88,122.87,122.87,27.88,94.99,94.99,480.6,1.98,1.98
