Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,45.12,45.12,844.79,844.79,889.91,1257.53,82.67,0.0,0.0,1340.2,115.02,73.35,116.71,90.97,396.05,2626.16,579.37,18.84,214.92,0.0,813.13,600.83,0.0,2.18,1427.9,0.0,20.32,67.69,611.43,498.82,0.0,1198.26,2626.16,389.0,15.65,1.11,297.65,29.79,89.45,523.7,0.0,1.42,0.0,10.89,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,46.41,46.41,1081.8,1081.8,1128.21,982.09,87.84,0.0,0.0,1069.93,26.24,118.65,107.88,154.63,407.4,2609.38,817.03,30.41,37.76,0.0,885.2,607.01,0.0,1.66,1499.35,0.0,23.83,70.99,54.8,960.41,0.0,1110.03,2609.38,225.63,20.74,0.77,394.18,29.79,240.84,533.08,0.0,4.14,0.0,11.28,0.0,3.84,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,56.67,56.67,1657.83,1657.83,1714.5,534.34,92.43,0.0,0.0,626.77,10.0,131.96,109.36,150.42,401.74,2744.75,810.53,32.47,48.97,0.0,891.97,656.57,0.0,1.15,1562.07,0.0,25.85,79.64,90.13,986.86,0.2,1182.68,2744.75,230.81,15.69,0.89,561.36,29.79,625.85,582.64,0.0,5.05,0.0,12.35,0.0,1.74,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,58.67,58.67,1738.39,1738.39,1797.06,852.91,150.48,0.0,0.0,1003.39,91.03,189.24,116.84,153.11,550.22,3352.29,1324.86,35.19,111.52,0.0,1471.57,962.81,0.0,1.38,2450.84,0.0,29.02,127.2,67.01,677.02,1.2,901.45,3352.29,344.89,27.47,0.88,732.0,29.79,513.77,875.13,0.0,7.59,0.0,17.3,0.0,1.62,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,60.29,60.29,1956.29,1956.29,2016.58,906.62,154.73,0.0,0.0,1061.35,227.56,148.58,276.19,46.73,699.06,3796.96,1347.76,23.84,265.45,0.0,1637.05,977.58,0.0,1.45,2632.95,0.0,32.85,138.41,74.43,868.52,49.8,1164.01,3796.96,680.17,35.85,1.22,810.54,29.79,335.02,889.65,0.0,17.31,0.0,28.59,0.0,19.97,16.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,72.34,72.34,2975.29,2975.29,3047.63,1736.62,167.0,0.0,0.0,1903.62,29.85,177.78,166.11,153.4,527.14,5478.39,1559.66,25.74,215.1,0.0,1800.5,2026.88,0.0,0.73,3848.17,0.0,38.91,101.7,23.44,1454.34,11.83,1630.22,5478.39,1034.2,43.37,1.44,627.16,29.79,184.92,1938.95,0.0,11.64,0.0,45.6,0.0,0.0,20.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,72.35,72.35,2620.97,2620.97,2693.32,2635.55,171.45,0.0,0.0,2807.0,15.0,245.3,169.92,700.1,1130.32,6630.64,1533.52,27.74,370.12,0.0,1931.38,2445.63,0.0,0.47,4579.72,0.0,31.25,121.62,447.12,1450.93,0.0,2050.92,6630.64,798.92,53.63,0.91,574.22,29.79,417.55,2357.77,0.0,11.18,0.0,45.47,0.0,0.0,202.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,75.95,75.95,3028.59,3028.59,3228.91,1259.09,27.78,22.76,566.69,1876.32,13.76,133.46,1325.8,141.99,1615.01,6720.24,1710.23,15.51,333.29,2.77,2061.8,2409.31,1254.9,10.46,5736.47,617.47,31.83,103.96,90.41,112.5,27.6,983.77,6720.24,784.2,80.34,0.52,689.66,29.79,346.44,2337.68,617.47,7.74,7.78,48.33,124.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,75.95,75.95,3167.49,3167.49,3367.81,2039.94,95.93,83.43,584.64,2803.94,122.57,148.86,789.58,131.22,1192.23,7363.98,1826.55,12.2,225.43,4.18,2068.36,3622.19,1346.93,27.58,7065.06,0.0,39.79,124.83,22.93,71.87,39.5,298.92,7363.98,1374.34,98.92,0.54,714.29,29.79,265.48,3550.56,0.0,8.84,10.49,27.93,124.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,80.75,80.75,3226.9,3226.9,3307.65,2268.13,95.5,74.75,674.42,3112.8,193.54,152.47,343.01,116.75,805.77,7226.22,1745.3,11.16,307.5,1.73,2065.69,3369.14,1441.02,12.36,6888.21,0.0,38.37,125.22,48.96,92.69,32.77,338.01,7226.22,1326.02,118.48,0.57,727.93,29.79,220.35,3670.51,0.0,8.84,5.32,18.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
