Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2017-06-30,88.04,4.73,92.77,18.47,0.85,0.0,11.18,62.27,0.0,62.27,42.69,19.58,19.58,5.19,14.38,14.38,58.16,0.0,0.0,0.0
2017-09-30,122.8,5.23,128.04,22.04,1.14,0.0,9.41,95.45,0.01,95.46,47.46,48.0,48.0,15.13,32.87,32.87,58.16,0.0,5.64,5.64
2017-12-31,125.67,0.0,125.67,21.75,1.51,1.36,11.41,89.64,0.23,89.87,52.98,36.89,36.89,11.02,25.88,25.88,78.11,0.0,4.43,4.3
2018-03-31,119.82,-9.96,109.86,11.1,2.12,0.54,13.56,82.55,0.66,83.21,45.92,37.29,37.29,17.48,19.81,19.81,69.17,1029.06,0.0,0.0
2018-06-30,146.01,0.83,146.83,28.41,1.68,0.0,16.16,100.58,0.27,100.85,58.14,42.71,42.71,12.65,30.07,30.07,78.11,0.0,4.32,4.2
2018-09-30,158.17,5.45,163.62,25.94,2.44,0.0,16.58,118.67,0.33,118.99,62.18,56.82,56.82,21.53,35.28,35.28,78.11,1300.47,4.91,4.81
2018-12-31,194.85,0.0,194.85,29.51,2.78,2.11,14.96,145.48,-0.1,145.38,64.0,81.38,81.38,25.11,56.27,56.27,78.11,0.0,7.22,7.15
2019-03-31,204.22,0.0,204.22,33.39,2.82,3.4,16.47,148.14,0.95,149.09,72.31,76.78,76.78,22.49,54.29,54.29,78.11,1758.85,6.95,6.88
2019-06-30,197.44,0.0,197.44,31.89,1.97,3.25,15.68,144.65,0.08,144.73,80.39,64.34,64.34,19.03,45.31,45.31,78.11,0.0,5.8,5.73
2019-09-30,231.2,0.0,231.2,33.81,6.68,4.48,11.94,174.28,0.04,174.32,83.35,90.97,90.97,14.96,76.01,76.01,78.17,0.0,9.73,9.62
2019-12-31,239.3,0.0,239.3,38.87,5.36,1.34,18.46,175.27,0.03,175.3,94.93,80.37,80.37,12.5,67.87,67.87,78.3,0.0,8.68,8.59
2020-03-31,234.36,0.0,234.36,42.5,5.55,6.27,16.92,163.12,0.65,163.77,97.4,66.37,66.37,6.44,59.93,59.93,78.32,0.0,7.65,7.58
2020-06-30,233.45,0.0,233.45,36.04,4.76,5.96,11.79,174.9,0.14,175.05,111.82,63.23,63.23,13.15,50.08,50.08,78.32,0.0,6.39,6.33
2020-09-30,270.37,0.0,270.37,42.96,5.12,8.06,15.3,198.94,0.03,198.97,114.36,84.61,84.61,18.42,66.19,66.19,78.38,0.0,8.45,8.37
2020-12-31,309.94,0.0,309.94,43.11,5.31,16.16,18.06,227.3,0.1,227.4,116.89,110.51,110.51,24.89,85.62,85.62,78.39,0.0,10.92,10.83
2021-03-31,289.41,0.0,289.41,50.02,5.42,6.96,18.74,208.27,1.88,210.15,115.17,94.98,94.98,7.37,87.61,87.61,78.5,0.0,11.17,11.08
2021-06-30,271.9,0.0,271.9,45.5,5.01,17.01,16.76,187.62,0.09,187.72,112.79,74.92,74.92,15.03,59.89,59.89,78.5,0.0,7.53,7.56
2021-09-30,324.86,0.0,324.86,57.67,5.76,4.75,22.96,233.72,0.6,234.32,115.99,118.33,118.33,26.2,92.12,92.12,78.91,0.0,11.71,11.62
2021-12-31,342.58,0.0,342.58,60.09,5.74,11.29,25.18,240.28,0.29,240.57,125.05,115.52,115.52,26.41,89.11,89.11,78.93,0.0,11.29,11.24
2022-03-31,365.03,0.0,365.03,68.97,7.25,-10.43,29.7,269.53,0.22,269.75,123.67,146.09,146.09,30.41,115.67,115.67,78.94,0.0,14.65,14.59
2022-06-30,352.79,0.0,352.79,67.56,6.23,0.92,28.83,249.25,0.09,249.35,134.68,114.67,114.67,25.45,89.22,89.22,78.96,0.0,11.3,11.26
2022-09-30,394.75,0.0,394.75,77.22,6.92,1.61,30.52,278.48,0.33,278.81,141.02,137.8,137.8,30.97,106.82,106.82,79.03,0.0,13.52,13.49
2022-12-31,411.26,0.0,411.26,80.27,6.9,3.51,32.97,287.61,0.71,288.32,150.35,137.97,137.97,30.69,107.27,107.27,79.04,0.0,13.57,13.54
2023-03-31,449.5,0.0,449.5,75.54,8.68,6.38,36.05,322.85,0.71,323.56,165.0,158.56,158.56,31.81,126.75,126.75,79.06,0.0,16.04,16.0
2023-06-30,466.81,0.0,466.81,94.91,7.28,5.68,31.68,327.27,0.04,327.31,186.63,140.68,140.68,30.97,109.71,109.71,79.06,0.0,13.88,13.86
2023-09-30,496.66,0.0,496.66,82.02,7.63,6.52,41.13,359.36,0.78,360.14,203.6,156.54,156.54,34.82,121.72,121.72,79.12,0.0,15.39,15.38
