Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,403.23,0.29,403.52,71.5,131.76,16.34,61.83,31.87,9.08,37.09,44.05,0.25,44.3,8.43,35.87,0.0,35.87,11.3,24.57,24.57,14.72,3.34,3.34,3.42,46.49,3.94,100.0,53.51
2013-03-31,447.02,0.3,447.32,70.48,166.51,18.7,59.67,30.31,8.98,43.17,49.5,2.29,51.79,7.7,44.09,-3.03,41.06,14.1,26.96,26.96,14.72,3.66,3.66,3.42,46.49,3.94,100.0,53.51
2013-06-30,432.63,0.21,432.84,63.05,198.5,-9.78,53.57,38.45,8.98,35.8,44.27,0.49,44.76,8.41,36.35,0.0,36.35,12.36,23.99,23.99,14.72,3.26,3.26,3.42,46.49,3.94,100.0,53.51
2013-09-30,473.93,0.25,474.18,70.73,211.55,-1.52,67.68,36.95,9.1,36.64,43.05,2.14,45.19,7.8,37.39,0.0,37.39,12.81,24.58,24.58,14.72,3.34,3.34,3.42,46.49,3.94,100.0,53.51
2013-12-31,435.67,0.44,436.11,70.25,167.23,5.35,58.04,37.22,9.18,40.23,48.61,1.63,50.24,7.12,43.12,0.0,43.12,14.56,28.56,28.56,15.12,3.82,3.82,3.62,47.91,3.94,100.0,52.09
2014-03-31,534.38,0.37,534.75,70.84,217.5,31.35,64.51,37.21,9.22,43.47,60.65,2.23,62.88,2.94,59.94,0.0,59.94,20.33,39.61,39.61,15.12,5.24,5.21,3.62,47.91,3.94,100.0,52.09
2014-06-30,511.56,0.38,511.94,81.81,226.14,-17.53,72.52,41.4,9.86,42.33,55.41,1.22,56.63,2.39,54.24,0.0,54.24,17.9,36.34,36.34,15.12,4.81,4.75,3.62,47.91,3.94,100.0,52.09
2014-09-30,544.8,2.17,546.97,84.64,231.09,-3.11,74.46,41.54,10.27,51.24,56.84,2.42,59.26,2.42,56.84,0.0,56.84,17.62,39.22,39.22,15.12,5.19,5.12,3.62,47.91,3.94,100.0,52.09
2014-12-31,565.43,1.36,566.79,89.05,251.86,-27.46,72.2,43.05,9.67,66.86,61.56,2.75,64.31,0.2,64.11,0.0,64.11,18.82,45.29,45.29,15.89,5.78,5.78,4.01,50.46,3.94,100.0,49.54
2015-03-31,603.48,1.81,605.29,79.62,266.16,2.54,69.11,45.06,9.58,62.51,70.71,4.25,74.96,0.96,74.0,-5.75,68.25,20.74,47.51,47.51,15.89,5.98,5.98,4.01,50.46,3.94,100.0,49.54
2015-06-30,563.06,2.12,565.18,76.96,251.44,-0.23,61.19,46.17,11.11,53.39,65.15,4.32,69.47,2.27,67.2,0.0,67.2,20.83,46.37,46.37,15.89,5.83,5.83,4.01,50.46,3.94,100.0,49.54
2015-09-30,611.84,2.43,614.27,80.3,273.32,-3.32,64.53,45.82,11.34,55.63,86.65,5.09,91.74,1.74,90.0,0.0,90.0,30.17,59.83,59.83,15.89,7.53,7.53,4.2,52.82,3.75,100.0,47.18
2015-12-31,600.16,4.16,604.32,87.7,248.73,-4.14,64.4,47.33,11.59,62.69,86.02,3.96,89.98,1.52,88.46,0.0,88.46,30.0,58.46,58.46,15.89,7.36,7.34,0.0,0.0,0.0,0.0,0.0
2016-03-31,662.63,1.64,664.27,100.08,262.28,-1.3,64.51,50.72,13.16,67.99,106.83,4.24,111.07,3.79,107.28,-1.51,105.77,35.54,70.23,70.23,15.89,8.84,8.81,0.0,0.0,0.0,0.0,0.0
2016-06-30,594.53,0.72,595.25,102.84,224.23,-21.56,59.14,54.16,12.93,68.48,95.03,5.18,100.21,1.4,98.81,0.0,98.81,33.37,65.44,65.44,15.89,8.23,8.21,0.0,0.0,0.0,0.0,0.0
2016-09-30,626.97,0.52,627.49,105.0,230.66,-7.58,65.12,57.37,13.24,58.34,105.34,6.91,112.25,1.06,111.19,0.0,111.19,37.37,73.82,73.82,15.89,4.64,4.63,0.0,0.0,0.0,0.0,0.0
2016-12-31,600.53,0.53,601.06,90.94,222.16,4.81,63.04,55.92,13.42,66.08,84.69,5.86,90.55,0.72,89.83,0.0,89.83,29.33,60.5,60.5,15.89,3.81,3.8,0.0,0.0,0.0,0.0,0.0
2017-03-31,703.72,0.47,704.19,105.17,255.81,11.46,0.0,53.07,13.62,164.37,100.69,7.36,108.05,0.63,107.42,0.0,107.42,37.03,70.39,70.39,15.89,4.39,4.37,0.0,0.0,0.0,0.0,0.0
2017-06-30,620.96,0.47,621.43,115.4,223.79,-25.49,0.0,58.41,14.73,155.27,79.32,5.32,84.64,0.98,83.66,-3.61,80.05,27.91,52.14,52.14,15.89,3.25,3.24,0.0,0.0,0.0,0.0,0.0
2017-09-30,633.84,0.0,633.84,128.2,188.27,10.88,79.76,64.23,15.12,37.2,110.18,4.12,114.3,1.54,112.76,0.0,112.76,37.84,74.92,74.92,15.89,4.71,4.7,0.0,0.0,0.0,0.0,0.0
2017-12-31,624.05,0.0,624.05,115.96,186.19,0.37,81.88,62.34,15.76,75.14,86.41,5.16,91.57,1.12,90.45,0.0,90.45,30.87,59.58,59.58,15.89,3.75,3.74,0.0,0.0,0.0,0.0,0.0
