Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Preference Share Capital,Revaluation Reserves,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net]
2004-03-31,14.72,14.72,84.16,84.16,0.0,98.88,95.8,41.3,0.0,0.0,137.1,50.79,9.52,17.33,6.32,83.96,319.94,186.2,0.0,4.79,190.99,3.93,0.0,0.0,194.93,0.0,45.76,50.22,3.04,25.99,0.0,125.01,319.94,13.51,2.61,1.36,14.94,0.0,3.48,0.0,0.0,19.39,0.0,0.0,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,14.72,14.72,103.77,103.77,0.0,118.49,92.0,44.98,0.0,0.0,136.98,53.18,10.71,44.55,8.37,116.81,372.29,240.29,0.0,6.18,246.47,4.46,0.0,0.0,250.93,0.0,49.96,41.64,2.88,26.89,0.0,121.36,372.29,12.6,3.02,0.0,18.29,0.0,4.01,0.0,0.0,23.48,0.0,0.0,35.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,14.72,14.72,120.9,120.9,0.0,135.62,126.93,48.48,0.0,0.0,175.41,75.65,25.04,11.73,9.99,122.41,433.44,250.09,0.0,31.68,281.76,4.46,0.0,0.0,286.22,0.0,65.95,50.92,5.04,25.31,0.0,147.22,433.44,32.76,2.39,0.0,26.34,0.0,4.01,0.0,0.0,51.44,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,14.72,14.72,126.89,126.89,0.0,141.6,225.77,49.76,0.0,0.0,275.52,106.6,37.87,25.87,3.29,173.63,590.75,354.31,0.74,2.98,358.03,6.46,0.0,0.0,364.49,0.0,118.98,62.51,3.99,40.79,0.0,226.27,590.75,34.78,3.01,0.0,52.19,0.0,6.01,0.0,0.0,83.54,0.0,0.0,61.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,14.72,14.72,140.17,140.17,0.0,154.89,195.3,52.2,0.0,0.0,247.5,141.96,60.47,14.29,4.58,221.29,623.69,337.46,0.74,2.63,340.83,3.39,0.0,0.0,344.22,0.0,153.94,71.25,8.28,46.0,0.0,279.46,623.69,18.31,2.54,0.0,21.25,0.0,2.94,0.0,0.0,117.09,0.0,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,14.72,14.72,147.35,147.35,0.0,162.07,191.29,53.46,0.0,0.0,244.75,133.87,73.04,9.94,4.2,221.06,627.88,327.65,0.0,0.0,327.65,3.39,0.0,0.0,331.05,0.0,138.46,67.8,7.89,82.68,0.0,296.83,627.88,17.36,1.41,0.01,20.75,0.0,2.94,0.0,0.0,219.11,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,14.72,14.72,174.62,174.62,0.0,189.34,168.09,54.85,0.0,0.0,222.95,94.73,102.47,17.3,21.58,236.08,648.37,344.79,0.0,2.54,347.33,3.39,0.0,0.0,350.73,0.0,140.26,77.32,4.49,75.58,0.0,297.64,648.37,29.92,3.74,636.6,36.74,0.0,2.94,0.0,0.0,130.04,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,14.72,14.72,207.84,207.84,0.0,222.56,95.99,60.19,0.0,4.22,160.4,104.04,167.2,117.23,24.42,412.89,795.85,478.27,0.77,0.06,479.1,9.01,29.13,0.13,517.38,0.0,151.51,90.9,2.99,0.0,33.06,278.47,795.85,178.53,4.02,3183.0,13.76,0.27,8.56,0.0,0.0,10.59,9.52,217.62,57.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,14.72,14.72,267.18,267.18,0.0,281.9,71.0,63.63,0.0,6.22,140.85,103.8,167.81,136.39,28.82,436.82,859.57,467.49,1.58,1.76,470.83,12.35,15.79,0.07,499.03,0.0,175.78,141.01,5.9,1.52,36.32,360.53,859.57,150.61,2.6,0.01,12.94,0.0,12.35,0.0,0.0,17.79,17.55,211.96,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,14.72,14.72,342.07,342.07,0.0,356.79,27.87,63.86,0.0,8.73,100.46,142.58,155.9,96.59,33.64,428.71,885.95,463.0,1.71,6.85,471.55,37.16,36.22,0.0,544.93,0.0,176.53,136.58,2.79,24.63,0.5,341.03,885.95,116.8,4.02,0.01,13.21,0.0,37.61,0.0,0.0,6.42,16.79,175.35,13.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
