Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Current Investments,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Money Received Against Share Warrants,Revaluation Reserves,Deferred Tax Assets [Net],Preference Share Capital,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,35.09,35.09,299.34,589.47,624.56,256.1,42.09,0.0,0.0,298.19,214.31,392.98,157.1,25.04,789.43,1712.18,498.2,0.0,10.66,0.0,508.86,190.84,0.0,0.0,727.79,172.3,247.14,38.89,0.0,984.38,1712.18,181.77,6.69,0.24,205.64,0.72,5.39,48.92,124.96,0.0,0.0,0.0,526.05,229.18,0.0,0.0,3.96,0.0,290.13,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,35.1,35.1,261.81,595.04,630.14,226.85,41.93,0.0,0.0,268.77,223.79,425.21,131.01,46.57,826.57,1725.48,529.44,0.0,15.03,0.0,544.48,190.79,0.0,0.0,764.21,168.2,236.6,31.24,0.0,961.28,1725.48,137.46,5.28,0.24,258.6,0.9,5.39,103.69,124.15,0.0,0.0,0.0,525.24,336.26,0.0,0.0,1.88,0.0,333.23,28.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,45.68,45.68,303.32,303.32,349.0,215.13,39.27,0.0,0.0,254.39,202.52,415.87,158.08,38.54,815.01,1418.41,721.71,0.0,4.27,0.0,725.98,127.81,0.0,0.0,879.07,183.45,253.23,39.61,0.0,539.34,1418.41,144.95,11.17,0.0,393.5,1.87,5.39,377.1,17.11,0.0,0.0,0.0,63.05,356.95,0.0,0.0,2.69,0.0,0.0,25.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,45.68,45.68,332.96,332.96,378.64,243.44,33.32,0.0,0.0,276.76,133.56,435.53,169.37,35.13,773.59,1428.99,700.01,0.0,10.13,0.0,710.14,127.81,0.0,0.0,847.99,221.22,263.17,40.55,0.0,581.0,1428.99,171.6,8.56,0.0,429.46,1.15,5.39,396.21,17.11,0.0,0.0,0.0,56.06,503.41,0.0,0.0,3.17,0.0,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,34.24,34.24,465.56,479.01,513.26,199.53,30.35,0.0,0.0,229.89,130.49,477.07,198.79,25.25,831.59,1574.73,781.4,5.22,3.48,0.0,790.1,9.6,0.0,0.0,802.75,341.06,307.91,41.59,0.0,771.98,1574.73,164.33,11.19,0.43,481.97,1.56,4.04,0.0,9.6,0.0,0.0,0.0,81.42,591.43,0.0,0.0,12.92,0.0,13.45,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,34.24,34.24,449.45,454.14,488.38,303.07,28.72,0.0,0.0,331.79,158.07,437.57,235.48,17.8,848.93,1669.1,770.17,5.22,19.56,0.0,794.95,42.67,0.0,0.0,850.03,219.42,318.71,201.52,0.0,819.07,1669.1,159.99,13.53,0.71,490.17,2.91,4.04,0.0,42.67,0.0,0.0,0.0,79.43,674.72,0.0,0.0,8.86,0.0,4.68,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,34.24,34.24,594.47,594.47,628.71,332.29,27.4,0.0,0.0,359.69,97.09,647.27,331.87,36.36,1112.58,2100.99,763.29,5.63,233.84,0.0,1002.77,58.51,0.0,0.0,1068.51,406.08,376.32,139.99,0.0,1032.48,2100.99,440.08,28.64,0.0,481.88,3.05,4.04,0.0,58.51,0.0,0.0,0.0,110.1,655.33,0.0,0.0,6.03,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,34.24,34.24,608.85,608.85,649.15,599.2,24.11,1.12,8.28,632.7,304.64,746.4,446.97,18.84,1516.85,2798.7,1298.64,62.45,106.18,1.17,1468.45,43.99,21.96,0.0,1534.4,567.46,480.72,47.88,2.24,1264.3,2798.7,665.71,10.84,0.0,614.71,9.92,4.04,0.0,43.99,0.0,42.54,42.54,123.46,934.21,1.83,48.79,228.91,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,34.24,34.24,618.46,618.46,656.34,568.0,22.44,1.42,8.04,599.9,502.82,656.94,557.15,15.4,1732.3,2988.55,1459.54,64.53,13.42,0.02,1537.5,44.16,8.03,0.0,1589.7,579.61,612.6,33.43,5.8,1398.85,2988.55,495.25,33.04,0.0,992.76,10.54,4.04,0.0,44.16,0.0,30.32,30.32,137.1,1387.42,2.79,13.75,77.05,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,34.24,34.24,708.77,708.77,746.65,421.67,74.52,1.42,12.01,509.62,382.16,776.06,576.23,65.44,1799.88,3056.15,1441.92,61.01,9.94,0.0,1512.87,44.71,118.29,10.57,1686.44,531.44,635.75,81.35,16.32,1369.71,3056.15,364.74,28.33,0.18,1089.96,9.38,4.04,0.0,44.71,0.0,0.0,0.0,104.86,1348.9,6.82,26.41,15.61,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,35.96,35.96,931.14,931.14,967.1,422.49,109.1,1.42,20.21,553.22,574.78,669.26,546.91,66.4,1857.35,3377.67,1412.96,61.25,30.23,0.0,1504.44,124.34,75.29,10.05,1714.11,718.28,715.84,102.96,33.27,1663.56,3377.67,503.51,23.86,0.71,1074.94,16.04,4.04,0.0,124.34,0.0,0.0,0.0,93.21,1590.55,4.22,33.39,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,40.45,40.45,1558.09,1558.09,1598.54,354.32,117.15,1.42,27.06,499.95,256.84,633.11,543.51,104.27,1537.73,3636.22,1424.95,56.34,164.07,0.0,1645.36,124.39,61.22,8.77,1839.73,642.11,666.93,64.5,15.32,1796.49,3636.22,561.02,17.76,1.78,978.01,14.63,4.04,0.0,124.39,312.43,0.0,312.43,95.2,1366.32,5.1,35.46,57.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
