Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Money Received Against Share Warrants,Long Term Provisions,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Intangible Assets Under Development,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,6.65,6.65,5.63,5.63,0.0,12.28,9.76,1.63,0.0,11.39,7.28,6.41,0.03,0.19,13.92,37.59,15.99,0.0,2.51,18.5,0.0,0.0,0.35,18.85,0.0,8.52,6.59,1.34,2.29,0.0,18.74,37.59,4.69,0.04,0.0,1.54,0.13,1.31,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,12.77,12.77,14.55,14.55,0.0,27.33,13.92,3.21,0.0,17.13,20.31,15.48,0.13,2.29,38.21,82.67,31.77,0.0,4.66,36.43,0.0,0.0,0.0,36.78,0.0,18.01,20.92,1.76,5.2,0.0,45.89,82.67,2.63,0.11,0.0,4.51,0.26,1.31,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.34,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,15.2,15.2,44.71,44.71,0.0,59.91,20.45,4.43,0.0,24.88,25.48,17.79,0.11,1.14,44.52,129.47,42.23,0.0,8.52,50.76,13.02,0.0,0.01,64.04,0.0,28.68,20.35,10.39,6.01,0.0,65.43,129.47,49.27,0.15,0.0,7.91,0.13,1.31,13.02,0.0,0.0,0.0,0.0,3.8,0.15,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,15.2,15.2,56.81,56.81,0.0,72.01,37.35,7.74,0.0,45.09,38.5,33.21,0.03,2.25,73.99,191.24,76.81,0.0,11.05,87.85,0.08,0.0,0.0,88.1,0.0,45.68,29.06,4.34,24.06,0.0,103.15,191.24,55.09,0.4,0.0,11.83,0.47,1.31,0.07,0.0,0.0,0.0,0.0,3.43,0.15,0.0,0.17,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,15.33,15.33,69.35,69.35,0.0,84.68,82.56,17.69,0.0,100.24,69.23,56.38,0.18,2.14,127.93,318.41,158.88,0.0,8.47,167.35,1.59,0.0,0.0,172.15,0.0,85.48,35.25,1.25,24.28,0.0,146.26,318.41,5.86,0.31,0.0,17.93,0.22,1.31,1.35,0.0,0.0,0.0,0.0,55.09,5.55,0.0,3.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,15.33,15.33,73.89,73.89,0.0,89.22,91.12,20.94,0.0,112.05,102.38,42.13,0.79,0.46,145.76,352.59,172.44,0.0,21.65,194.08,2.55,0.0,0.0,200.41,0.0,83.03,42.16,9.82,17.17,0.0,152.17,352.59,4.14,0.48,0.0,19.34,1.33,1.31,1.26,0.0,0.0,0.0,0.0,11.35,5.55,0.0,3.78,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,16.43,16.43,99.14,99.14,0.0,115.57,103.53,22.55,0.0,126.08,84.81,40.5,0.11,2.09,127.5,380.2,181.87,0.0,26.0,207.87,0.01,0.0,0.0,207.93,0.0,99.55,45.26,0.64,26.82,0.0,172.26,380.2,6.4,0.81,0.0,16.06,0.04,1.31,0.0,0.01,0.0,0.0,0.0,0.78,11.05,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,16.43,16.43,118.9,118.9,0.0,153.47,69.67,24.43,0.0,94.7,99.61,41.34,39.3,4.16,184.4,432.58,201.65,2.11,22.51,226.28,1.42,11.37,0.87,239.94,0.0,114.94,57.59,2.26,7.49,10.35,192.64,432.58,31.25,0.79,0.0,48.71,0.12,1.31,0.0,1.42,18.14,0.6,2.44,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,18.15,18.15,170.28,170.28,0.0,188.43,82.06,25.29,0.0,107.77,70.99,78.89,41.87,4.67,196.42,492.61,244.47,1.89,3.61,250.51,0.01,15.64,0.99,267.13,0.0,131.01,70.68,0.3,10.16,13.34,225.48,492.61,27.26,2.67,0.0,45.35,0.49,1.31,0.0,0.01,0.0,0.42,1.57,12.4,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,21.1,21.1,220.23,220.23,0.0,254.09,127.53,31.83,0.0,159.57,101.5,53.49,54.23,3.49,212.72,626.38,239.68,2.56,39.62,281.86,5.86,67.66,0.67,356.06,0.0,149.19,80.27,2.99,23.52,14.34,270.32,626.38,289.34,3.73,0.0,51.98,0.25,1.31,0.0,5.86,12.77,0.21,1.05,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,26.1,26.1,290.54,290.54,0.0,323.18,357.22,30.9,0.0,388.35,114.85,102.22,80.43,3.51,301.01,1012.54,231.1,2.59,347.04,580.74,6.7,94.5,0.0,681.94,0.0,157.13,114.97,14.28,17.87,26.34,330.6,1012.54,243.05,6.7,0.59,99.25,14.11,1.31,0.0,6.7,6.54,0.23,1.31,172.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,27.47,27.47,377.84,377.84,0.0,411.11,443.03,34.44,5.08,483.53,245.97,133.42,124.55,7.44,511.38,1406.02,520.67,3.2,315.68,839.55,6.7,57.18,0.0,903.44,0.0,175.61,261.87,0.48,47.63,17.0,502.59,1406.02,169.03,24.63,0.59,339.98,25.11,1.31,0.0,6.7,5.8,0.98,3.55,124.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,28.67,28.67,442.83,442.83,0.0,471.5,507.2,54.27,10.54,573.42,301.63,144.77,135.19,7.58,589.17,1634.1,936.75,2.53,35.06,974.34,6.7,76.53,0.0,1057.57,0.0,220.05,285.36,1.43,55.06,14.62,576.52,1634.1,131.33,37.79,0.0,388.85,4.22,1.31,0.0,6.7,0.0,1.41,2.67,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,28.67,28.67,440.88,440.88,0.0,469.55,423.31,22.89,30.82,477.02,430.62,275.76,156.25,2.36,864.99,1811.56,1013.07,3.38,50.42,1066.87,19.3,12.58,19.0,1117.74,0.0,228.56,393.74,1.08,0.96,69.48,693.81,1811.56,129.19,72.53,0.0,0.0,258.81,1.31,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,32.59,32.59,726.59,726.59,0.0,759.18,386.08,34.44,38.26,458.78,345.16,288.86,157.47,2.91,794.4,2012.36,1065.48,2.42,43.56,1111.46,19.3,12.22,20.72,1163.71,0.0,299.39,472.2,0.38,0.86,75.83,848.65,2012.36,182.54,89.47,0.0,0.0,415.14,1.31,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,32.61,32.61,840.29,840.29,0.0,872.9,458.16,57.18,17.73,533.07,332.07,257.79,147.35,5.58,742.78,2148.75,1104.86,1.45,129.59,1235.9,19.3,12.5,36.78,1304.48,0.0,331.26,466.04,2.48,0.64,43.85,844.27,2148.75,253.0,82.02,0.0,0.0,530.4,1.31,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,32.61,32.61,843.82,843.82,0.0,876.43,479.03,59.45,20.3,558.78,364.25,206.93,165.9,5.34,742.42,2177.63,1157.32,9.22,216.44,1382.98,19.3,13.5,29.24,1445.02,0.0,357.19,302.6,2.33,7.32,63.17,732.61,2177.63,390.29,140.7,0.0,0.0,438.82,1.31,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,31.93,31.93,858.04,858.04,0.0,889.97,663.6,65.88,20.77,750.26,449.02,429.16,155.64,5.2,1039.01,2679.23,1231.92,0.79,272.02,1504.73,19.38,13.87,17.86,1555.85,0.0,424.0,559.93,66.8,1.63,71.02,1123.39,2679.23,252.85,26.33,0.0,0.0,517.92,1.31,0.0,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,31.98,31.98,1062.1,1062.1,0.0,1094.08,859.45,79.27,38.48,977.2,717.94,574.57,66.38,5.95,1364.84,3436.12,1464.51,1.13,125.09,1590.73,19.38,2.22,68.9,1681.23,55.0,682.67,877.81,32.37,1.12,105.92,1754.89,3436.12,255.2,70.49,0.0,0.0,990.38,1.31,0.0,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,31.98,31.98,1292.27,1292.27,0.68,1324.92,750.92,117.16,64.16,932.23,490.08,766.14,108.46,8.76,1373.43,3630.59,1684.08,0.81,85.08,1769.96,19.39,1.41,94.03,1884.79,0.0,868.52,725.36,42.47,1.02,108.43,1745.81,3630.59,573.76,311.01,0.0,1233.51,11.62,1.31,0.0,19.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,36.16,36.16,2636.41,2636.41,0.0,2672.56,545.08,121.47,114.07,780.62,258.88,941.09,122.26,16.69,1338.93,4792.11,1916.79,1.65,175.16,2093.6,324.26,72.02,188.58,2678.47,50.04,1003.51,759.69,160.4,0.83,139.18,2113.64,4792.11,793.9,870.25,0.0,1471.4,11.49,1.31,0.0,324.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
