Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-06-30,88.51,6.49,95.0,58.78,-12.91,12.12,6.43,4.62,15.07,10.89,0.17,11.06,5.22,5.84,0.0,5.84,1.88,3.96,3.96,18.15,2.18,2.18,0.86,47.35,0.64,66.51,35.02
2012-09-30,110.47,6.96,117.44,63.45,1.09,11.31,6.39,6.45,16.48,12.27,0.2,12.48,5.94,6.54,0.0,6.54,2.09,4.45,4.45,18.15,2.46,2.46,0.86,47.57,0.63,66.37,34.8
2012-12-31,86.89,8.25,95.14,55.53,-8.88,11.31,8.09,5.52,15.65,7.92,0.16,8.08,4.76,3.32,0.0,3.32,1.09,2.23,2.23,18.15,1.23,1.23,0.86,47.57,0.71,74.78,39.21
2013-03-31,90.89,5.43,96.32,48.79,2.7,9.71,7.16,6.04,15.26,6.67,0.74,7.41,4.5,2.9,0.0,2.9,2.52,0.38,0.38,21.1,0.19,0.19,1.06,50.05,0.81,77.23,38.57
2013-06-30,99.75,8.69,108.45,61.17,0.4,11.64,7.11,5.81,16.19,6.12,0.3,6.42,4.1,2.31,0.0,2.31,0.79,1.52,1.52,25.11,0.61,0.61,1.43,56.88,0.89,82.45,35.55
2013-09-30,90.24,6.68,96.92,49.05,-0.75,10.3,7.49,6.01,18.2,6.62,0.58,7.21,4.9,2.31,0.0,2.31,0.84,1.47,1.47,25.11,0.59,0.59,1.43,56.88,0.89,82.45,35.55
2013-12-31,83.51,5.33,88.84,42.56,3.48,8.72,7.09,5.46,15.69,5.83,0.94,6.77,5.61,1.15,0.0,1.15,0.39,0.76,0.76,25.44,0.3,0.3,1.43,56.14,1.12,100.0,43.86
2014-03-31,114.41,20.92,135.32,64.32,7.49,12.44,7.49,7.63,22.96,12.99,0.57,13.56,6.56,7.01,0.0,7.01,2.31,4.7,4.7,26.1,1.82,1.82,1.43,54.72,1.18,100.0,45.28
2014-06-30,112.87,10.32,123.19,72.28,-9.44,13.39,8.91,6.8,20.18,11.07,3.91,14.98,6.42,8.55,-2.65,5.9,0.0,5.9,5.9,26.1,2.26,2.26,1.43,54.72,1.18,100.0,45.28
2014-09-30,140.92,21.69,162.62,76.39,4.98,13.66,10.22,7.52,30.55,19.29,0.77,20.06,7.15,12.91,7.46,20.37,3.86,16.51,16.51,27.47,6.07,6.02,1.43,51.99,1.32,100.0,48.01
2014-12-31,189.37,24.01,213.38,101.99,4.07,14.78,11.27,7.66,43.3,30.31,0.48,30.79,8.94,21.84,0.0,21.84,4.12,17.72,17.72,27.47,6.45,6.34,1.43,51.98,1.32,100.0,48.02
2015-03-31,224.57,17.01,241.57,104.4,15.2,13.93,14.28,9.24,49.67,34.85,0.58,35.43,7.78,27.65,0.0,27.65,-6.95,34.6,34.6,27.47,12.6,12.29,1.43,51.98,1.32,100.0,48.02
2015-06-30,229.53,5.99,235.51,106.76,-5.31,16.0,18.16,12.06,50.94,36.91,0.42,37.33,12.24,25.09,0.0,25.09,7.39,17.7,17.7,27.47,6.44,6.26,1.43,51.91,1.32,100.0,48.09
2015-09-30,228.83,7.49,236.32,108.77,-12.13,18.59,18.21,12.72,54.56,35.6,1.14,36.74,12.68,24.06,0.0,24.06,7.17,16.89,16.89,27.47,6.15,5.95,1.42,51.8,1.32,100.0,48.2
2015-12-31,195.65,3.68,199.33,95.18,-13.99,17.1,17.02,13.3,47.53,23.19,1.32,24.51,12.09,12.42,0.0,12.42,3.23,9.19,9.19,28.67,3.32,3.32,0.0,0.0,0.0,0.0,0.0
2016-03-31,215.36,10.63,225.99,96.57,0.52,19.0,20.48,14.95,46.47,27.99,0.54,28.54,15.37,13.16,0.0,13.16,2.05,11.11,11.11,28.67,3.98,3.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,211.39,6.37,217.75,105.7,-18.12,21.02,20.36,16.6,47.02,25.19,0.69,25.87,17.63,8.24,0.0,8.24,2.01,6.23,6.23,28.67,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2016-09-30,152.14,4.32,156.45,92.39,-51.48,20.83,22.45,17.13,45.47,9.66,1.01,10.67,17.03,-6.36,0.0,-6.36,-2.23,-4.13,-4.13,28.67,-1.44,-1.44,0.0,0.0,0.0,0.0,0.0
2016-12-31,201.47,11.16,212.63,91.91,-3.91,20.76,20.01,17.54,44.25,22.07,0.24,22.31,20.15,2.15,0.0,2.15,-0.7,2.85,2.85,28.67,0.99,0.99,0.0,0.0,0.0,0.0,0.0
2017-03-31,288.67,0.0,288.67,131.93,-2.73,25.05,17.98,17.78,60.09,38.58,0.59,39.17,18.34,20.83,0.0,20.83,6.75,14.09,14.09,28.67,4.91,4.91,0.0,0.0,0.0,0.0,0.0
2017-06-30,257.61,0.0,257.61,126.55,-17.81,26.24,21.23,19.46,50.62,31.32,1.12,32.44,18.54,13.9,0.0,13.9,4.82,9.08,9.08,28.67,3.17,3.17,0.0,0.0,0.0,0.0,0.0
2017-09-30,332.99,0.0,332.99,176.48,-14.45,29.69,25.48,19.83,50.96,45.28,1.15,46.44,18.99,27.44,0.0,27.44,3.91,23.53,23.53,32.59,7.41,7.41,0.0,0.0,0.0,0.0,0.0
2017-12-31,400.07,0.0,400.07,199.28,10.88,32.89,21.7,20.5,58.21,56.62,0.64,57.27,14.59,42.68,0.0,42.68,14.96,27.72,27.72,32.59,8.51,8.51,0.0,0.0,0.0,0.0,0.0
2018-03-31,440.11,0.0,440.11,229.43,3.43,32.86,18.98,24.61,63.75,67.04,0.84,67.88,17.7,50.18,0.0,50.18,15.86,34.32,34.32,32.59,10.53,10.48,0.0,0.0,0.0,0.0,0.0
2018-06-30,410.48,0.0,410.48,234.85,-34.63,34.31,20.75,26.74,68.71,59.74,0.58,60.32,17.5,42.82,0.0,42.82,15.1,27.72,27.72,32.59,8.5,8.46,0.0,0.0,0.0,0.0,0.0
2018-09-30,461.47,0.0,461.47,235.96,-0.33,36.72,26.63,28.0,64.62,69.88,0.61,70.48,20.59,49.9,0.0,49.9,17.12,32.78,32.78,32.59,10.06,10.01,0.0,0.0,0.0,0.0,0.0
2018-12-31,491.47,0.0,491.47,260.34,-0.71,39.44,24.59,32.89,61.98,72.93,0.96,73.89,20.72,53.17,0.0,53.17,19.28,33.88,33.88,32.6,10.4,10.34,0.0,0.0,0.0,0.0,0.0
2019-03-31,443.27,0.0,443.27,212.05,18.97,32.0,24.84,33.2,66.09,56.12,0.84,56.96,20.41,36.55,0.0,36.55,11.62,24.93,24.93,32.61,7.65,7.63,0.0,0.0,0.0,0.0,0.0
2019-06-30,379.25,0.0,379.25,199.87,-11.12,32.33,24.09,32.57,61.91,39.59,0.35,39.94,19.81,20.13,0.0,20.13,6.66,13.47,13.47,32.61,4.13,4.12,0.0,0.0,0.0,0.0,0.0
2019-09-30,260.66,0.0,260.66,129.39,-11.67,23.05,25.48,28.41,47.13,18.88,0.4,19.28,18.06,1.22,0.0,1.22,0.51,0.71,0.71,32.61,0.22,0.22,0.0,0.0,0.0,0.0,0.0
2019-12-31,252.25,0.0,252.25,115.81,-5.15,21.02,23.82,29.09,49.24,18.42,1.31,19.74,17.98,1.76,0.0,1.76,0.06,1.7,1.7,32.61,0.52,0.52,0.0,0.0,0.0,0.0,0.0
2020-03-31,222.51,0.0,222.51,111.04,-21.44,20.79,20.85,30.1,54.52,6.66,3.96,10.61,19.3,-8.69,0.0,-8.69,-2.42,-6.27,-6.27,32.61,-1.92,-1.92,0.0,0.0,0.0,0.0,0.0
2020-06-30,115.85,0.0,115.85,42.99,12.15,0.0,21.18,22.33,41.03,-23.82,0.62,-23.21,18.14,-41.35,0.0,-41.35,-14.88,-26.47,-26.47,32.18,-8.18,-8.18,0.0,0.0,0.0,0.0,0.0
2020-09-30,252.47,0.0,252.47,115.14,7.77,20.33,21.74,24.68,41.91,20.9,0.82,21.72,19.04,2.68,0.0,2.68,0.6,2.07,2.07,31.93,0.65,0.65,0.0,0.0,0.0,0.0,0.0
2020-12-31,402.17,0.0,402.17,206.84,-3.16,28.23,23.66,32.63,68.43,45.54,0.97,46.51,21.29,25.23,0.0,25.23,8.55,16.68,16.68,31.93,5.22,5.22,0.0,0.0,0.0,0.0,0.0
2021-03-31,517.88,0.0,517.88,272.98,-9.25,0.0,23.79,36.65,122.69,71.02,2.21,73.23,18.3,54.93,0.0,54.93,19.25,35.68,35.68,31.93,11.17,11.16,0.0,0.0,0.0,0.0,0.0
2021-06-30,412.86,0.0,412.86,261.86,-99.77,33.65,31.51,38.84,90.29,56.48,0.8,57.28,20.25,37.02,0.0,37.02,12.41,24.61,24.61,31.94,7.71,7.7,0.0,0.0,0.0,0.0,0.0
2021-12-31,606.05,0.0,606.05,305.5,-25.25,40.5,28.95,45.09,116.14,95.12,1.68,96.8,26.27,70.52,0.0,70.52,25.4,45.12,45.12,31.98,14.11,14.11,0.0,0.0,0.0,0.0,0.0
2022-03-31,683.24,0.0,683.24,320.28,10.15,40.46,32.23,45.61,129.11,105.41,0.0,105.41,26.21,79.2,0.0,79.2,-7.45,86.65,86.65,31.98,5.43,5.43,0.0,0.0,0.0,0.0,0.0
2022-06-30,650.75,0.0,650.75,363.45,-70.43,0.0,35.61,47.08,178.42,96.62,0.66,97.28,25.69,71.59,0.0,71.59,24.33,47.26,47.26,31.98,2.96,2.96,0.0,0.0,0.0,0.0,0.0
2022-09-30,762.55,0.0,762.55,390.82,-22.86,0.0,37.28,49.63,187.24,120.43,0.59,121.03,27.83,93.2,0.0,93.2,29.26,63.94,63.94,31.98,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,752.31,0.0,752.31,396.98,-33.29,46.14,32.41,48.94,143.79,117.33,0.81,118.14,29.6,88.54,0.0,88.54,30.97,57.57,57.57,31.98,3.6,3.59,0.0,0.0,0.0,0.0,0.0
2023-03-31,835.4,0.0,835.4,452.43,-33.35,52.63,39.01,55.71,136.52,132.45,1.7,134.16,31.84,102.31,0.0,102.31,35.5,66.82,66.82,31.98,4.18,4.15,0.0,0.0,0.0,0.0,0.0
2023-06-30,835.95,0.0,835.95,426.56,1.53,50.82,43.81,57.07,125.69,130.47,4.74,135.21,34.21,101.0,0.0,101.0,24.04,76.97,76.97,31.98,4.81,4.75,0.0,0.0,0.0,0.0,0.0
2023-09-30,864.62,0.0,864.62,441.32,-10.62,0.0,40.29,59.23,195.68,138.72,3.35,142.07,36.58,105.49,0.0,105.49,25.94,79.55,79.55,32.9,4.98,4.88,0.0,0.0,0.0,0.0,0.0
2023-12-31,902.88,0.0,902.88,478.02,-24.7,0.0,41.3,62.79,200.76,144.71,1.61,146.32,36.16,110.16,0.0,110.16,27.9,82.26,82.26,36.16,4.75,4.75,0.0,0.0,0.0,0.0,0.0
2024-03-31,886.16,0.0,886.16,441.48,-36.88,54.53,48.97,65.29,177.18,135.58,13.63,149.21,29.33,119.88,0.0,119.88,32.58,87.3,87.3,36.16,4.83,4.82,0.0,0.0,0.0,0.0,0.0
2024-06-30,868.46,0.0,868.46,468.27,-88.67,52.95,51.9,55.8,200.78,127.42,7.21,134.63,30.12,104.51,0.0,104.51,31.43,73.08,73.08,36.16,4.04,4.04,0.0,0.0,0.0,0.0,0.0
2024-09-30,952.32,0.0,952.32,478.73,-58.88,0.0,54.71,53.48,265.99,158.29,0.1,158.4,32.13,126.26,102.87,229.14,46.34,182.8,182.8,36.16,10.11,10.09,0.0,0.0,0.0,0.0,0.0
2024-12-31,952.72,0.0,952.72,494.28,-90.55,55.4,54.7,55.6,223.44,159.85,3.75,163.6,35.44,128.16,0.0,128.16,28.61,99.55,99.55,36.17,5.51,5.51,0.0,0.0,0.0,0.0,0.0
