Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,46.55,46.55,3461.04,3461.04,0.0,3507.59,6.11,0.0,0.0,0.0,6.11,94.58,252.57,603.75,824.57,1775.47,5289.17,641.29,13.72,139.71,794.73,2456.03,31.55,0.0,3282.32,0.0,102.08,1062.34,290.09,552.34,0.0,2006.85,5289.17,387.99,2122.32,0.27,4.09,3831.66,45.38,1803.84,654.63,0.0,0.0,0.0,270.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,140.71,140.71,4751.73,4751.73,0.0,4892.44,5.7,2.7,0.0,0.0,8.4,56.4,323.98,884.45,523.7,1788.53,6690.57,892.24,15.72,250.24,1158.2,2859.51,34.56,0.0,4052.27,0.0,127.37,1406.51,536.9,556.14,11.38,2638.3,6690.57,676.65,3654.94,9.82,10.25,5363.44,138.51,2088.71,782.71,0.0,0.0,0.0,249.7,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,285.15,285.15,6135.3,6135.3,0.0,6420.45,5.27,0.0,0.0,0.0,5.27,44.89,362.88,1413.95,1011.56,2833.28,9266.49,1102.38,15.87,612.36,1730.61,3459.2,38.14,0.0,5227.95,0.0,148.65,1968.07,823.0,1098.82,0.0,4038.54,9266.49,509.18,3081.66,5.15,15.45,7067.84,279.69,2956.87,514.23,0.0,0.0,0.0,386.38,0.0,0.0,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,291.8,291.8,9025.1,9025.1,0.0,9316.9,238.0,0.0,0.0,0.0,238.0,0.0,0.0,2998.9,765.2,3764.1,13322.5,1645.9,0.0,989.5,2635.4,4348.7,46.6,0.0,7030.7,0.0,240.4,2582.3,1849.2,1619.9,0.0,6291.8,13322.5,661.6,0.0,0.0,0.0,10954.6,279.69,0.0,1234.1,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,292.3,292.3,11260.4,11260.4,0.0,11552.7,3822.4,0.0,0.0,0.0,3822.4,0.0,0.0,3361.6,1380.7,4742.3,20175.4,2239.5,42.7,1335.0,3617.2,4500.1,51.7,0.0,8169.0,0.0,448.1,3646.6,3732.1,4179.6,0.0,12006.4,20175.4,749.9,0.0,0.0,0.0,12885.2,279.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,293.0,293.0,12220.5,12220.5,0.0,12513.5,110.4,0.0,0.0,0.0,110.4,4903.5,1525.2,4039.1,1810.7,12278.5,24903.9,3017.8,161.8,1311.8,4491.4,6895.3,57.8,0.0,11444.5,0.0,459.6,4446.4,4409.2,4002.1,142.1,13459.4,24903.9,1045.4,7034.9,9.3,595.8,16027.1,279.87,0.0,6884.5,0.0,0.0,0.0,915.0,0.0,24.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,293.6,293.6,17396.8,17396.8,0.0,17690.4,90.3,0.0,0.0,0.0,90.3,5439.9,1495.7,3378.5,2230.8,12544.9,30327.4,3494.5,161.8,991.1,4647.4,8966.5,34.8,0.0,13648.7,0.0,606.9,5016.4,5664.3,5000.8,390.3,16678.7,30327.4,778.0,7164.41,0.01,418.6,16374.3,279.87,1855.8,7111.7,0.0,0.0,0.0,1752.7,0.0,71.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,490.8,490.8,20829.4,20829.4,0.0,21320.2,1935.4,0.0,265.9,273.7,2475.0,2775.4,3609.9,1245.4,2693.9,10324.6,34119.8,4104.5,132.5,396.4,4633.4,6018.4,10.8,782.3,12407.6,4795.0,724.9,5781.3,5203.3,2483.5,2724.2,21712.2,34119.8,1677.9,8854.31,0.01,18348.3,28.8,475.82,0.0,6018.4,2464.5,2335.1,962.7,2735.8,4.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,491.7,491.7,23860.8,23860.8,0.0,24352.5,2202.2,5.8,35.5,259.3,2502.8,3041.0,3892.2,2050.7,2756.7,11740.6,38595.9,4196.1,453.7,301.2,4951.0,6294.3,32.6,919.4,13137.7,4040.9,785.1,7967.0,6232.8,3321.1,3111.3,25458.2,38595.9,2820.5,9978.22,0.02,23419.4,21.9,475.82,0.0,6294.3,1999.6,2043.8,940.4,2298.2,21.2,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,492.6,492.6,23736.9,23736.9,0.0,24229.5,59.0,52.8,11.8,228.9,352.5,3987.0,4922.8,3805.4,3409.4,16124.6,40706.6,3556.0,353.4,378.9,4288.3,4854.7,115.1,546.9,12321.8,6049.5,320.5,8499.4,7800.4,2124.4,3590.6,28384.8,40706.6,2657.8,12068.52,0.02,28076.1,26.4,475.82,0.0,4854.7,706.8,5346.9,2516.8,2101.7,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,493.2,493.2,28862.7,28862.7,0.0,29355.9,1006.1,137.9,62.9,258.5,1465.4,3504.2,5390.5,2401.3,3619.6,14915.6,45736.9,3621.5,353.5,275.1,4250.1,5196.8,148.7,539.0,13132.7,5839.2,228.3,8550.9,10554.9,2929.3,4501.6,32604.2,45736.9,2793.4,14789.73,0.03,34440.8,28.0,475.82,0.0,5196.8,1825.7,4037.8,2998.1,1524.2,14.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,493.7,493.7,34127.9,34127.9,0.0,34621.6,1063.2,56.7,28.1,273.6,1421.6,4970.4,5728.8,2551.1,4115.0,17365.3,53408.5,3570.0,468.4,361.2,4399.6,5579.7,165.9,336.8,13553.0,5188.8,479.4,8144.2,15667.5,5256.1,5119.5,39855.5,53408.5,3022.2,19430.8,0.03,36675.9,90.6,475.82,0.0,5579.7,1102.4,4093.8,3071.0,851.3,16.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,494.1,494.1,40731.6,40731.6,0.0,41225.7,1146.5,72.2,869.5,399.1,2487.3,5549.5,4362.3,4657.5,642.6,15211.9,58924.9,3641.8,425.7,325.1,4392.6,5781.1,425.4,2869.7,13664.6,20419.5,526.2,8398.0,8408.8,0.0,7507.8,45260.3,58924.9,4385.1,20818.1,0.03,40412.4,73.8,475.82,0.0,5781.1,1167.2,19252.3,195.8,627.2,5.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,486.1,486.1,46219.5,46219.5,0.0,46705.6,1146.3,139.1,952.7,373.3,2611.4,5018.6,3818.6,4375.8,626.9,13839.9,63156.9,3755.5,606.7,694.1,5056.3,5999.4,235.2,3138.9,14429.8,29146.7,355.9,8129.9,3516.6,191.7,7386.3,48727.1,63156.9,15729.0,21291.0,0.0,40400.0,0.0,475.82,0.0,5999.4,10467.5,18679.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
