Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,9271.7,90.9,9362.6,373.0,793.5,82.2,4072.4,186.9,0.0,2082.1,1772.5,218.1,1990.6,80.0,1910.6,1910.6,427.6,1483.0,1483.0,492.5,0.0,6.04,6.04,49.2,19.98,192.79,100.0,78.29
2013-03-31,8548.6,17.7,8566.3,108.5,561.3,13.5,4083.8,172.3,0.0,2069.0,1557.9,322.4,1880.3,89.5,1790.8,1790.8,308.4,1482.4,1482.4,492.6,0.0,6.04,6.03,49.23,19.99,192.79,100.0,78.28
2013-06-30,8732.3,9.1,8741.4,35.1,533.7,-31.9,4301.5,175.4,0.0,2029.7,1697.9,121.2,1819.1,87.0,1732.1,1732.1,426.1,1306.0,1306.0,492.8,0.0,5.32,5.31,60.46,25.02,181.2,100.0,74.98
2013-09-30,9589.5,217.0,9806.5,-19.7,574.4,23.0,4653.5,177.1,0.0,2240.4,2157.8,119.9,2277.7,101.0,2176.7,2176.7,560.3,1616.4,1616.4,493.0,0.0,6.58,6.57,60.54,25.04,181.2,100.0,74.96
2013-12-31,9989.9,79.2,10069.1,187.5,453.3,-41.0,4648.2,187.3,0.0,2326.2,2307.6,441.1,2748.7,92.4,2656.3,2656.3,608.4,2047.9,2047.9,493.1,0.0,8.34,8.32,60.57,25.05,181.2,100.0,74.95
2014-03-31,10338.3,63.5,10401.8,2.4,724.4,51.0,4653.8,194.0,0.0,2237.9,2538.3,520.2,3058.5,94.3,2964.2,2964.2,611.1,2353.1,2353.1,493.2,0.0,9.58,9.56,60.65,25.08,181.2,100.0,74.92
2014-06-30,9963.4,140.7,10104.1,1.9,550.4,-6.4,4776.5,187.0,0.0,2339.8,2254.9,470.4,2725.3,81.9,2643.4,2643.4,576.2,2067.2,2067.2,493.4,0.0,8.42,8.4,60.74,25.11,181.2,100.0,74.89
2014-09-30,10228.3,129.9,10358.2,0.9,547.6,-36.1,4997.4,190.1,0.0,2485.5,2172.8,467.0,2639.8,49.4,2590.4,2590.4,598.4,1992.0,1992.0,493.5,0.0,8.11,8.08,60.78,25.12,181.2,100.0,74.88
2014-12-31,10400.6,120.6,10521.2,0.6,636.3,-166.2,4974.6,200.4,0.0,2699.5,2176.0,557.6,2733.6,145.0,2588.6,2588.6,596.3,1992.3,1992.3,493.7,28862.7,8.11,8.07,60.84,25.14,181.2,100.0,74.86
2015-03-31,10617.5,34.0,10651.5,0.0,722.1,-45.6,4977.7,200.9,0.0,2554.0,2242.4,578.8,2821.2,86.6,2734.6,2734.6,593.0,2141.6,2141.6,493.7,0.0,8.72,8.69,60.86,25.14,181.2,100.0,74.86
2015-06-30,10775.4,0.0,10775.4,0.1,709.6,10.8,5182.9,200.4,0.0,2547.3,2124.3,648.1,2772.4,130.6,2641.8,2641.8,578.8,2063.0,2063.0,493.8,0.0,8.4,8.38,60.89,25.15,181.2,100.0,74.85
2015-09-30,11036.9,0.0,11036.9,0.0,586.1,-84.1,5327.2,207.0,0.0,2734.2,2266.5,688.0,2954.5,188.2,2766.3,2766.3,613.2,2153.1,2153.1,494.0,0.0,8.77,8.75,0.0,0.0,0.0,0.0,0.0
