Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Loans And Advances,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,11.85,21.85,213.21,213.21,0.0,235.06,50.04,0.0,79.36,64.45,46.46,15.63,12.8,139.34,453.77,102.66,35.01,24.5,0.0,162.16,29.96,2.36,0.0,0.64,195.13,82.16,130.48,6.77,0.03,258.64,453.77,5.11,15.57,37.73,48.64,0.32,3.98,0.06,29.92,29.32,39.2,21.99,7.68,10.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,23.72,43.72,242.98,242.98,0.0,286.7,407.43,0.0,446.05,29.3,55.62,13.43,9.71,108.07,840.82,171.85,37.45,12.91,0.0,222.21,26.46,2.53,0.0,0.0,251.19,111.06,182.1,109.28,1.2,589.63,840.82,0.46,29.52,0.04,129.16,0.98,15.84,0.1,26.41,38.61,185.99,34.74,8.96,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,23.74,43.74,275.01,275.01,0.0,318.76,519.22,0.0,569.21,208.82,73.33,36.99,0.81,319.95,1207.93,214.38,38.18,57.56,0.0,310.12,43.56,3.14,0.0,0.0,356.83,138.89,282.79,89.16,0.0,851.1,1207.93,4.82,34.74,0.04,140.81,11.53,15.84,0.13,43.52,49.99,340.26,36.39,11.53,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,24.01,24.01,426.15,426.15,0.0,450.16,453.96,0.0,533.87,453.52,124.14,62.83,0.67,641.16,1625.19,233.67,43.24,156.3,0.0,433.21,139.1,3.68,0.0,0.0,575.99,218.2,420.99,11.39,0.0,1049.21,1625.19,131.23,38.2,0.07,303.76,15.39,15.84,0.16,139.05,79.91,398.63,76.65,9.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,24.87,24.87,1003.38,1003.38,0.0,1028.25,240.38,0.0,344.59,284.16,176.37,96.38,5.61,562.53,1935.36,287.07,80.46,225.57,0.0,593.1,196.7,8.65,0.0,0.0,798.45,273.63,595.16,11.18,0.0,1136.92,1935.36,587.54,34.57,0.02,677.41,6.8,15.84,0.24,196.66,104.2,256.95,124.29,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,25.05,25.05,1204.92,1204.92,0.0,1229.97,234.51,0.0,275.63,826.85,149.05,78.76,15.94,1070.6,2576.2,123.59,49.22,32.45,0.0,205.26,237.63,8.81,0.0,0.0,451.69,130.31,409.82,11.69,1.03,2124.5,2576.2,965.0,52.82,0.0,206.85,16.52,15.84,0.2,237.59,41.12,1571.65,11.43,18.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,26.98,26.98,1746.43,1746.43,0.0,1773.42,617.45,0.0,650.22,136.96,128.65,66.98,17.39,349.98,2773.62,138.92,51.49,46.88,0.0,237.29,992.92,9.67,0.0,0.0,1239.88,150.4,330.09,5.08,0.0,1533.74,2773.62,966.61,59.68,0.01,264.91,30.43,15.84,0.04,992.88,32.77,1048.17,15.04,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,27.03,27.03,1952.71,1952.71,0.0,1979.74,274.57,3.12,300.62,797.38,175.86,100.8,19.8,1093.84,3374.21,216.02,7.76,31.25,2.34,257.37,1041.25,0.0,1540.15,53.06,2891.83,157.01,189.34,30.95,81.39,482.38,3374.21,762.73,155.89,0.01,302.0,31.93,15.84,0.45,1041.2,22.93,23.69,15.88,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,27.05,27.05,2158.66,2158.66,0.0,2185.71,254.35,77.84,355.99,222.09,270.5,64.41,70.36,627.36,3169.06,216.27,7.49,65.57,3.37,292.7,1083.27,0.0,955.2,101.83,2433.0,175.93,358.74,47.51,86.83,736.06,3169.06,1819.93,201.65,0.01,540.58,25.6,15.84,0.25,1083.23,23.8,67.05,24.47,10.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,27.09,27.09,2496.09,2496.09,0.0,2523.18,0.0,84.95,113.53,308.85,426.2,442.71,71.08,1248.83,3885.54,267.12,8.54,168.9,3.52,448.08,1294.33,0.0,922.8,180.92,2846.13,190.15,485.1,167.79,129.44,1039.41,3885.54,2530.05,327.65,0.04,670.86,29.82,15.84,0.28,1294.29,28.58,66.94,29.01,56.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,27.12,27.12,2878.9,2878.9,0.0,2906.02,0.0,51.88,88.3,353.32,562.68,223.63,95.64,1235.27,4229.59,439.17,9.35,79.78,3.52,531.82,1409.24,0.0,670.52,8.39,2619.98,210.43,1136.04,108.46,3.26,1609.61,4229.59,3364.16,306.15,0.04,703.87,148.97,15.84,0.21,1409.2,36.42,151.43,40.06,17.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,27.13,27.13,4924.92,4924.92,0.0,4952.05,0.0,121.92,254.32,347.6,1566.79,378.7,151.38,2444.47,7650.84,1152.48,78.19,286.48,7.71,1524.87,1659.52,0.0,854.63,13.86,4052.88,736.63,2440.83,48.55,15.62,3597.96,7650.84,5878.77,617.59,0.02,2972.05,157.87,15.84,0.19,1659.47,132.4,356.32,396.93,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,28.22,28.22,7337.75,7337.75,0.0,7365.96,0.0,4.7,4.7,787.42,1625.95,299.78,29.21,2742.35,10113.01,1321.92,116.08,260.93,15.13,1714.07,1858.43,401.16,1447.32,64.11,5485.08,968.0,3057.66,74.24,528.03,4627.93,10113.01,4939.63,553.94,0.01,3304.35,390.12,15.84,0.1,1858.33,0.0,0.0,495.35,71.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,28.22,28.22,9408.4,9408.4,0.0,9436.62,2589.35,2.41,2591.75,187.19,1467.09,276.52,41.37,1972.18,14000.55,1470.5,125.87,235.14,35.52,1867.03,1866.7,594.06,3642.68,79.24,8049.72,1145.06,3879.4,252.18,674.19,5950.83,14000.55,4317.09,808.41,0.0,5615.16,0.0,15.84,0.14,1866.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
