Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,525.98,3.07,529.06,108.04,34.49,-3.92,88.69,6.24,202.76,92.77,64.06,156.83,15.35,141.48,0.0,141.48,4.15,137.33,0.0,137.33,27.07,5.07,5.07,13.99,51.67,13.08,100.0,48.33
2012-12-31,534.89,7.65,542.55,106.7,46.77,0.79,79.31,6.31,199.31,103.35,13.4,116.75,11.31,105.44,0.0,105.44,-3.6,109.04,0.0,109.04,27.07,4.03,4.02,13.99,51.68,13.08,100.0,48.32
2013-03-31,484.14,1.08,485.21,103.37,34.6,2.04,74.21,6.43,212.86,51.71,26.58,78.29,6.33,71.96,0.0,71.96,-12.96,84.92,0.0,84.92,27.09,3.14,3.13,14.0,51.69,13.08,100.0,48.31
2013-06-30,507.98,1.46,509.43,121.95,38.31,-20.11,73.12,6.67,164.75,124.75,22.16,146.9,9.33,137.58,0.0,137.58,19.78,117.8,0.0,117.8,27.09,4.35,4.34,14.01,51.7,13.09,100.0,48.3
2013-09-30,583.03,2.35,585.37,102.58,33.84,10.91,114.26,7.05,211.44,105.3,20.65,125.95,6.05,119.9,0.0,119.9,13.95,105.95,0.0,105.95,27.1,3.91,3.91,14.01,51.69,13.09,100.0,48.31
2013-12-31,530.32,1.61,531.93,104.73,39.87,2.36,105.3,8.05,203.4,68.22,11.23,79.46,8.36,71.1,0.0,71.1,12.69,58.41,0.0,58.41,27.11,2.15,2.15,14.02,51.7,13.1,100.0,48.3
2014-03-31,652.24,21.93,674.17,138.63,47.95,1.62,102.67,8.43,207.36,167.5,13.09,180.59,7.24,173.35,0.0,173.35,21.69,151.67,0.0,151.67,27.12,5.59,5.59,14.03,51.72,13.1,100.0,48.28
2014-06-30,593.22,23.24,616.46,134.17,37.12,-7.69,104.79,8.6,225.91,113.57,15.24,128.81,7.05,121.76,0.0,121.76,17.82,103.93,0.0,103.93,27.12,3.83,3.83,14.03,51.71,13.1,100.0,48.29
2014-09-30,681.31,11.84,693.16,155.15,38.94,-11.09,144.55,7.59,238.66,119.36,18.6,137.96,8.89,129.07,0.0,129.07,12.64,116.43,0.0,116.43,27.13,4.29,4.29,14.02,51.69,13.1,100.0,48.31
2014-12-31,646.8,10.47,657.26,147.02,43.8,-3.81,119.81,8.12,219.17,123.16,12.04,135.19,7.4,127.79,0.0,127.79,11.06,116.73,0.0,116.73,27.13,4.3,4.3,14.02,51.69,13.1,100.0,48.31
2015-03-31,3077.88,40.84,3118.72,1127.67,54.13,-47.06,293.09,95.15,606.3,989.44,39.07,1028.51,6.85,1021.66,-168.74,852.92,182.49,670.43,0.0,670.43,27.13,24.71,24.7,14.02,51.7,13.1,100.0,48.3
