Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,223.29,18.12,241.41,0.0,-121.55,16.45,8.26,274.01,64.24,19.49,83.73,19.07,64.66,0.0,64.66,18.97,45.69,45.69,328.07,1.39,1.39,6.56,20.0,26.25,100.0,80.0
2012-12-31,487.67,4.4,492.07,0.0,29.05,14.95,8.26,305.67,134.14,19.5,153.64,20.88,132.76,0.0,132.76,40.71,92.05,92.05,328.07,2.81,2.81,6.56,20.0,26.25,100.0,80.0
2013-03-31,550.18,9.54,559.72,0.0,-30.41,33.74,8.74,424.33,123.32,27.76,151.08,25.78,125.3,0.0,125.3,36.27,89.03,89.03,350.0,2.59,2.59,8.75,25.0,26.25,100.0,75.0
2013-06-30,495.71,2.57,498.28,0.0,19.6,23.38,7.98,326.39,120.93,31.03,151.96,25.68,126.28,0.0,126.28,39.62,86.66,86.66,350.0,2.48,2.48,8.75,25.0,26.25,100.0,75.0
2013-09-30,472.25,3.05,475.3,1.33,-28.99,25.7,8.31,358.59,110.36,28.81,139.17,26.54,112.63,0.0,112.63,35.01,77.62,77.62,350.0,2.22,2.22,8.75,25.0,26.25,100.0,75.0
2013-12-31,429.54,0.92,430.46,0.0,-203.98,25.79,8.5,476.8,123.35,29.5,152.85,34.83,118.02,0.0,118.02,37.47,80.55,80.55,350.0,2.3,2.3,8.75,25.0,26.25,100.0,75.0
2014-03-31,532.31,68.85,601.16,50.03,-125.55,12.89,10.75,540.7,112.34,57.92,170.26,39.03,131.23,0.0,131.23,36.09,95.14,95.14,350.0,2.72,2.72,8.75,25.0,26.25,100.0,75.0
2014-06-30,562.02,1.07,563.09,6.0,-91.36,33.27,9.18,478.2,127.8,52.47,180.27,38.01,142.26,0.0,142.26,38.22,104.04,104.04,350.0,2.97,2.97,8.75,25.0,26.25,100.0,75.0
2014-09-30,505.88,34.45,540.33,34.97,-217.83,33.37,9.47,537.64,142.71,43.99,186.7,46.83,139.87,0.0,139.87,42.98,96.89,96.89,375.0,2.66,2.66,11.25,30.0,26.25,100.0,70.0
2014-12-31,592.88,16.48,609.36,12.0,-256.84,30.85,11.37,635.13,176.85,35.86,212.71,51.0,161.71,0.0,161.71,62.19,99.52,99.52,375.0,2.65,2.65,11.25,30.0,26.25,100.0,70.0
2015-03-31,638.84,37.37,676.21,3.92,-165.43,33.35,12.23,659.43,132.71,66.37,199.08,52.44,146.64,0.0,146.64,32.86,113.78,113.78,375.0,3.03,3.03,11.25,30.0,26.25,100.0,70.0
2015-06-30,695.17,0.72,695.89,0.0,60.5,33.47,12.0,512.44,77.48,122.31,199.79,53.85,145.94,0.0,145.94,17.77,128.17,128.17,375.0,3.42,3.42,11.25,30.0,26.25,100.0,70.0
2015-09-30,550.12,94.35,644.47,0.0,-163.59,36.79,12.67,621.36,137.24,34.37,171.61,54.81,116.8,0.0,116.8,7.9,108.9,108.9,375.0,2.9,2.9,11.25,30.0,26.25,100.0,70.0
