Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2006-03-31,12.5,12.5,79.69,79.69,92.19,249.27,0.0,0.0,249.98,0.0,0.0,813.93,65.5,879.43,1221.6,164.05,0.0,35.7,0.0,199.75,99.39,0.0,0.0,0.0,299.14,0.0,482.98,93.95,29.44,316.09,0.0,922.46,1221.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,97.7,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,12.5,12.5,121.25,121.25,133.75,541.07,0.0,0.0,541.2,0.0,0.0,1310.57,66.38,1376.95,2051.9,164.6,0.0,50.12,0.0,214.72,252.35,0.0,0.0,0.0,467.07,0.0,868.78,173.14,18.32,524.58,0.0,1584.82,2051.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88,248.7,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,12.5,12.5,370.47,370.47,382.97,731.5,0.0,0.0,731.5,0.0,0.0,1173.34,98.67,1272.01,2386.48,202.88,0.0,240.87,0.0,443.75,496.64,0.87,0.0,0.0,941.26,0.0,556.6,127.55,56.42,704.64,0.0,1445.22,2386.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,495.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,12.5,12.5,475.5,475.5,488.0,884.41,0.0,0.0,887.72,0.0,0.0,1099.37,100.94,1200.31,2576.03,409.46,0.0,49.11,0.0,458.57,458.09,0.0,0.0,0.0,916.66,0.0,713.71,253.78,112.07,579.65,0.16,1659.37,2576.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,457.26,0.0,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,262.5,262.5,365.12,365.12,627.62,1239.24,0.0,0.0,1240.34,26.66,157.11,737.64,59.7,981.11,2849.07,445.8,0.0,57.16,0.0,502.96,517.7,0.66,0.0,0.0,1021.32,0.0,789.14,394.75,136.11,507.75,0.0,1827.75,2849.07,546.51,0.0,0.0,2.1,0.0,2.99,250.0,0.11,517.66,0.0,0.0,1.1,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,328.07,328.07,1715.66,1715.66,2043.73,255.42,86.9,1.31,351.78,683.71,182.57,529.79,360.08,1756.15,4151.66,422.92,0.0,101.17,0.0,524.09,684.6,0.0,252.27,23.85,1484.81,25.69,864.43,1011.34,287.36,472.82,5.21,2666.85,4151.66,536.43,0.0,0.0,4.12,0.0,2.77,250.0,0.0,684.6,25.82,0.0,8.15,14.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,328.07,328.07,1798.95,1798.95,2127.02,151.83,82.33,1.25,247.94,965.01,202.51,961.01,198.55,2327.08,4702.04,428.77,0.11,126.35,0.0,555.23,641.72,0.0,518.69,25.61,1741.25,87.04,1200.41,831.32,117.36,720.85,3.81,2960.79,4702.04,1257.69,0.0,0.0,5.37,0.0,2.38,250.0,0.0,641.72,91.92,0.0,12.53,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,350.0,350.0,2358.4,2358.4,2708.4,169.45,30.8,4.13,216.3,1355.9,331.94,1368.72,109.81,3166.37,6091.07,423.06,0.41,160.09,0.0,583.56,989.14,0.0,850.3,26.14,2449.14,85.4,1490.46,765.29,378.31,876.72,45.75,3641.93,6091.07,2083.17,0.0,1.33,3.24,0.0,5.09,250.0,0.0,989.14,0.23,85.36,11.92,19.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,350.0,350.0,2621.07,2621.07,2971.07,235.95,34.94,4.38,281.43,1547.45,398.12,1438.96,152.38,3536.91,6789.41,429.32,1.89,224.1,0.0,655.31,1014.26,0.0,1238.59,38.58,2946.74,188.01,1829.38,652.79,220.65,922.53,29.31,3842.67,6789.41,2292.87,0.0,11.49,5.62,0.0,5.04,250.0,0.0,1014.26,0.31,187.97,6.16,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,375.0,375.0,3519.51,3519.51,3894.51,336.28,88.24,5.9,431.67,1993.15,471.88,1659.81,148.22,4273.06,8599.24,526.55,2.5,281.26,0.0,810.31,1064.44,0.0,1522.87,69.57,3467.19,169.98,2560.84,741.35,331.51,1293.27,35.1,5132.05,8599.24,2451.32,0.0,1.44,4.58,0.0,2.56,250.0,0.0,1064.44,0.37,169.94,1.25,53.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
