Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1131.05,7.0,1138.05,879.26,6.73,2.83,12.6,5.39,0.0,138.33,92.91,0.75,93.66,46.86,46.8,0.0,46.8,14.08,32.72,32.72,38.47,8.5,8.5,1.59,41.3,2.26,100.0,58.7
2013-03-31,1154.77,9.74,1164.51,877.06,4.67,9.7,12.66,7.52,0.0,180.35,72.55,6.07,78.62,35.82,42.8,-4.49,38.31,8.69,29.62,29.62,38.47,7.7,7.7,1.58,41.07,2.27,100.0,58.93
2013-06-30,937.84,7.56,945.4,719.15,9.89,1.21,13.67,6.0,0.0,125.93,69.55,1.88,71.43,55.12,16.31,-0.15,16.16,5.77,10.39,10.39,38.47,2.7,2.7,1.58,41.07,2.27,100.0,58.93
2013-09-30,1129.79,10.37,1140.16,877.52,20.06,-24.71,16.04,6.62,0.0,151.67,92.96,2.27,95.23,48.94,46.29,-0.71,45.58,13.7,31.88,31.88,38.47,8.29,8.29,1.56,40.49,2.29,100.0,59.51
2013-12-31,1071.72,8.2,1079.92,927.39,32.87,-95.5,14.83,6.81,0.0,145.12,48.4,0.0,48.4,25.49,22.91,0.0,22.91,8.3,14.61,14.61,38.47,3.8,3.8,1.44,37.5,2.4,100.0,62.5
2014-03-31,1294.85,22.87,1317.72,973.02,14.53,111.28,14.63,7.45,0.0,162.69,34.12,0.32,34.44,16.26,18.18,0.0,18.18,6.27,11.91,11.91,38.47,3.1,3.1,1.44,37.5,2.4,100.0,62.5
2014-06-30,1121.41,9.16,1130.57,901.8,16.06,-35.49,16.69,6.96,0.0,168.16,56.39,6.92,63.31,36.59,26.72,0.0,26.72,6.58,20.14,20.14,38.47,5.24,5.24,1.44,37.5,2.4,100.0,62.5
2014-09-30,1233.11,10.53,1243.64,998.57,13.11,-49.84,17.46,7.62,0.0,187.04,69.68,1.19,70.87,47.25,23.62,0.0,23.62,7.67,15.95,15.95,38.49,4.15,4.15,1.45,37.54,2.4,100.0,62.46
2014-12-31,1290.36,8.43,1298.79,1084.34,13.05,-52.17,18.33,8.23,0.0,179.07,47.94,0.15,48.09,44.35,3.74,0.0,3.74,1.17,2.57,2.57,38.5,0.67,0.67,1.45,37.54,2.4,100.0,62.48
2015-03-31,1323.79,14.18,1337.97,1027.64,21.15,47.72,17.5,8.23,0.0,179.55,36.18,0.12,36.3,21.9,14.4,-0.25,14.15,4.95,9.2,9.2,38.5,2.39,2.39,1.45,37.54,2.4,100.0,62.46
