Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Share Capital Suspense,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,20.8,26.28,44.8,44.8,71.08,71.35,15.92,0.0,0.0,87.27,81.21,226.64,36.13,3.99,347.97,506.33,87.13,0.0,1.77,0.0,88.9,0.57,1.34,0.0,1.5,92.31,0.0,110.6,189.07,82.26,32.02,0.07,414.02,506.33,27.56,372.95,0.0,0.0,0.04,4.26,0.0,144.92,51.18,0.0,0.0,0.57,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,20.8,23.93,67.54,67.54,91.48,71.95,14.69,0.0,0.0,86.65,73.42,235.43,41.3,4.12,354.26,532.39,85.8,0.0,10.3,0.0,96.1,1.54,1.31,0.0,3.29,102.23,0.0,114.41,195.66,70.09,49.92,0.07,430.15,532.39,42.33,360.2,0.0,0.0,0.49,8.96,0.0,128.21,5.46,0.0,0.0,1.54,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.81,84.56,95.99,95.99,180.55,51.94,14.79,0.0,0.0,66.73,53.7,433.85,73.75,7.92,569.23,816.51,102.6,0.0,12.3,0.0,114.89,0.63,1.26,0.0,5.15,121.93,0.0,233.31,260.64,146.57,53.98,0.07,694.57,816.51,78.71,591.82,0.0,0.0,0.25,14.99,0.26,174.25,7.42,0.0,0.0,0.63,0.0,0.0,63.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,32.34,32.34,178.95,178.95,211.28,53.08,16.0,0.0,0.0,69.08,79.69,478.51,87.99,9.16,655.35,935.72,132.58,0.0,27.71,0.0,160.29,1.88,2.07,0.0,4.25,168.5,0.0,249.66,381.22,76.99,59.35,0.0,767.22,935.72,94.07,745.36,0.0,0.0,4.93,23.27,4.91,272.07,92.22,8.08,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,32.34,32.34,243.61,243.61,275.95,17.46,9.26,0.0,0.0,26.72,71.54,0.0,1031.95,18.01,1121.49,1424.15,103.96,2.65,3.35,0.0,109.96,41.3,3.67,0.0,2.9,157.84,0.0,267.49,387.91,485.38,125.54,0.0,1266.32,1424.15,190.97,1129.94,0.0,0.0,2.88,32.68,1.61,618.58,25.35,8.08,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,32.34,32.34,248.92,248.92,281.25,48.05,11.09,0.0,0.0,59.14,28.87,1195.05,188.45,1.7,1414.06,1754.46,115.92,2.65,4.6,0.0,123.17,88.41,2.52,0.0,1.16,215.26,0.0,297.49,475.19,599.7,166.76,0.07,1539.21,1754.46,341.39,1511.0,0.0,0.0,2.32,50.58,1.84,655.42,26.62,8.08,14.47,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,32.34,32.34,260.65,260.65,292.98,38.39,11.0,0.0,0.0,49.39,49.31,943.79,229.79,20.95,1243.84,1586.21,117.12,2.76,0.92,0.0,120.8,31.75,2.97,0.0,0.0,155.52,0.0,378.29,378.43,469.11,204.79,0.07,1430.69,1586.21,349.25,969.77,0.0,0.0,2.01,34.39,0.0,502.25,111.82,8.08,27.88,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,32.34,32.34,342.39,342.39,374.73,14.74,9.35,24.41,1.81,50.3,543.03,681.66,229.73,35.12,1489.54,1914.57,120.36,1.33,2.17,0.0,123.85,31.55,0.0,22.08,0.0,177.49,0.0,427.34,629.78,383.27,283.97,12.73,1737.08,1914.57,439.66,1236.3,0.21,0.0,1.11,27.92,2.73,545.18,99.52,8.08,26.49,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,35.97,35.97,432.49,432.49,468.46,34.65,13.47,41.05,2.42,91.59,932.31,855.68,401.59,18.84,2208.41,2770.96,180.17,1.51,21.29,0.35,203.31,5.99,0.0,46.33,0.0,255.64,0.0,666.25,832.05,824.58,137.98,54.46,2515.33,2770.96,272.94,1769.15,0.24,0.0,3.27,39.92,1.27,884.46,101.4,8.08,0.0,5.99,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,38.47,38.47,521.73,521.73,560.2,32.94,10.95,13.79,2.58,60.26,940.32,1327.7,293.31,24.22,2585.55,3206.01,239.62,2.69,45.1,0.28,287.69,28.49,0.0,45.72,0.0,361.9,79.62,740.85,793.56,1032.09,131.46,66.53,2844.11,3206.01,325.37,2240.69,0.36,0.0,13.76,64.81,1.46,1282.54,93.27,8.08,0.0,28.49,80.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,38.47,38.47,568.3,568.3,606.77,70.13,22.53,6.65,2.85,102.16,707.99,1386.4,97.26,24.29,2215.94,2924.87,334.66,3.08,18.08,0.0,355.82,28.49,0.0,44.64,0.0,428.95,1.5,1010.44,1044.21,227.23,164.19,48.35,2495.92,2924.87,316.91,2978.18,1.72,0.0,1.72,57.88,1.91,1367.14,56.52,8.08,0.0,28.49,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,38.5,38.5,598.42,598.42,636.92,94.79,27.55,2.19,3.7,128.23,386.67,1561.15,120.39,15.69,2083.9,2849.05,369.29,3.34,9.47,0.0,382.1,29.93,0.0,43.34,0.0,455.37,0.72,929.39,1239.17,37.76,148.02,38.62,2393.68,2849.05,117.99,3043.23,2.63,0.0,18.05,68.95,1.91,1512.15,222.68,8.08,0.0,29.93,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,38.5,38.5,722.04,722.04,760.54,60.28,29.54,2.95,3.54,96.31,263.8,1389.63,266.23,0.85,1920.51,2777.36,384.84,12.77,20.81,0.0,418.42,0.26,0.0,0.0,180.21,598.89,109.24,765.95,1069.56,89.45,14.14,130.13,2178.47,2777.36,319.77,2228.44,3.33,0.0,12.73,69.57,3.63,1541.7,171.4,8.08,0.0,0.26,109.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,38.27,38.27,909.78,909.78,948.05,34.77,0.0,46.86,4.33,85.96,186.47,1704.05,304.96,0.92,2196.4,3230.41,458.05,9.54,26.73,1.02,495.34,0.27,0.0,0.0,47.67,543.28,118.57,935.36,1234.09,96.66,14.7,287.75,2687.13,3230.41,477.56,2340.84,2.28,0.0,20.2,62.8,0.0,1252.97,163.7,8.08,0.0,0.27,118.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,38.27,38.27,981.29,981.29,1019.56,105.8,32.96,2.52,4.64,145.92,169.75,2425.67,237.0,1.03,2833.45,3998.93,537.61,6.57,18.21,0.86,563.25,0.28,0.0,0.0,33.26,596.79,0.0,1141.38,1683.63,235.36,15.04,326.73,3402.14,3998.93,415.28,2765.59,2.45,0.0,17.63,64.99,0.0,1542.76,118.26,8.08,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,38.27,38.27,1086.93,1086.93,1125.2,84.48,39.16,3.3,5.49,132.43,87.82,3132.39,268.02,1.58,3489.81,4747.44,598.47,5.14,103.49,0.0,707.1,0.27,0.0,0.0,42.21,749.58,186.92,1223.34,2077.12,195.47,21.84,293.17,3997.86,4747.44,468.77,3621.91,2.74,0.0,52.26,72.28,0.0,1894.54,131.89,8.08,0.0,0.27,186.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,38.27,38.27,1050.69,1050.69,1088.96,156.61,0.0,24.02,7.42,188.05,63.75,2706.74,264.76,1.43,3036.68,4313.69,740.01,2.43,54.67,0.04,797.15,0.28,2.18,0.0,45.58,845.19,0.0,1268.0,1803.58,154.24,30.04,212.64,3468.5,4313.69,575.91,2923.2,5.09,0.0,16.59,102.74,0.0,1936.88,126.5,8.08,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,38.27,38.27,1267.49,1267.49,1305.76,184.63,20.31,12.53,8.13,225.6,21.49,2878.31,232.22,2.0,3134.02,4665.38,731.31,1.81,28.71,0.0,761.83,1.67,0.0,0.0,55.57,819.07,60.0,1479.01,1792.21,198.15,17.12,299.82,3846.31,4665.38,334.26,2703.38,6.34,0.0,0.44,83.26,0.0,1793.72,156.55,8.08,0.0,1.67,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,38.27,38.27,1546.83,1546.83,1585.1,195.37,52.51,14.11,12.19,274.18,44.43,3893.95,353.83,4.88,4297.09,6156.37,730.76,1.48,37.0,0.16,769.4,1.67,0.0,0.83,116.51,888.41,30.0,1991.55,2423.31,256.09,0.81,566.2,5267.96,6156.37,575.17,3554.65,8.24,0.0,6.97,127.99,0.0,2547.39,198.92,8.08,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,38.27,38.27,2021.23,2021.23,2059.5,151.37,21.95,19.29,12.04,204.65,155.07,4837.5,346.1,2.03,5340.7,7604.85,792.06,1.11,99.07,0.24,892.48,5.47,0.0,2.51,142.34,1042.8,50.1,2460.75,2987.44,438.96,1.09,623.71,6562.05,7604.85,1015.11,5313.06,6.73,0.0,54.7,604.35,0.0,604.35,593.07,8.08,0.0,5.47,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,40.17,40.17,3655.55,3655.55,3695.72,334.31,1.14,28.3,13.78,377.53,66.9,4406.34,440.21,3.53,4916.98,8990.23,1042.34,1.09,120.66,1.72,1165.81,9.68,0.0,2.29,115.33,1293.11,0.27,2642.66,3726.05,620.66,1.14,706.34,7697.12,8990.23,888.92,6017.53,11.63,550.27,32.0,0.0,0.0,7293.26,442.94,8.08,0.0,9.68,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
