Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2684.59,845.18,16.69,0.0,240.23,2403.02,444.6,190.94,748.12,411.65,336.47,5.89,330.58,330.58,429.77,8817.49,80.0,11.61,13.07,7.42,7.42,3180.12,2141.86,3.18,2.17,0.85,8.6,20.0,34.38,100.0,80.0
2013-03-31,2700.19,846.97,14.84,0.0,460.46,2454.62,780.84,222.43,564.57,475.6,88.97,-203.16,292.13,292.13,429.77,10009.07,80.0,11.59,13.08,6.53,6.53,3565.47,2384.3,3.33,2.26,0.7,8.6,20.0,34.38,100.0,80.0
2013-06-30,2785.65,871.21,8.94,0.0,529.67,2569.01,576.07,191.11,859.29,368.13,491.17,173.78,317.39,317.39,429.77,10009.07,80.0,0.0,13.06,7.14,7.14,3722.84,2485.73,3.41,2.31,0.76,8.6,20.0,34.38,100.0,80.0
2013-09-30,2818.44,953.94,28.94,0.0,276.92,2707.67,423.13,241.81,705.63,224.97,480.66,174.9,305.76,305.76,429.77,10009.07,80.0,0.0,13.27,6.87,6.87,4179.32,2803.93,3.76,2.56,0.71,8.6,20.0,34.38,100.0,80.0
2013-12-31,2875.01,958.15,36.6,0.0,242.57,2779.11,486.34,214.62,632.26,237.92,394.34,129.84,264.5,264.5,429.77,10009.07,80.0,0.0,12.96,5.92,5.92,3834.79,2483.6,3.42,2.25,0.3,8.6,20.0,34.38,100.0,80.0
2014-03-31,2936.41,944.83,29.46,0.0,324.14,2833.0,441.25,257.17,703.42,593.92,109.5,-161.79,271.29,271.29,464.85,11070.73,81.51,0.0,13.1,6.01,6.01,4562.2,2763.64,3.67,2.26,0.6,8.6,18.49,37.89,100.0,81.51
2014-06-30,2969.04,925.4,34.33,0.0,215.24,2856.81,422.97,227.23,637.0,325.62,311.38,104.22,207.16,207.16,464.85,11070.73,81.51,0.0,13.71,4.46,4.46,4722.87,2856.81,4.01,2.48,0.45,8.6,18.49,37.89,100.0,81.51
2014-09-30,3066.76,896.81,40.5,0.0,336.25,2827.71,466.48,281.21,764.93,286.63,478.3,163.97,314.33,314.33,464.85,11070.73,81.51,0.0,13.44,6.76,6.76,5003.41,2975.86,4.21,2.55,0.69,8.6,18.49,37.89,100.0,81.51
2014-12-31,3027.25,887.7,48.77,0.0,357.75,2858.7,417.29,250.94,794.54,370.28,424.26,146.74,277.52,277.52,464.85,11070.73,81.51,0.0,13.43,5.97,5.97,5461.05,3235.14,4.52,2.74,0.6,8.6,18.49,37.89,100.0,81.51
2015-03-31,3011.42,912.98,31.96,0.0,454.12,2848.44,435.85,308.95,817.25,562.57,254.68,48.52,206.16,206.16,480.29,12077.45,82.1,0.0,13.24,4.43,4.43,5670.44,3146.96,4.4,2.5,0.44,8.6,17.9,39.43,100.0,82.1
2015-06-30,3065.09,1024.97,28.91,0.0,375.57,2998.64,530.11,257.15,708.64,408.07,300.57,85.29,215.28,215.28,480.29,12077.45,82.1,0.0,0.0,4.48,4.48,5815.15,3193.29,4.65,2.62,0.43,8.6,17.9,39.43,100.0,82.1
2015-09-30,3033.47,1045.83,57.56,4.33,410.09,3060.77,490.45,291.92,708.13,137.08,571.05,229.12,341.93,341.93,480.29,12339.66,82.1,0.0,0.0,7.69,7.69,5772.78,3187.54,4.61,2.6,0.74,0.0,0.0,0.0,0.0,0.0
2015-12-31,2932.76,1022.78,38.66,5.19,445.19,2888.58,498.59,290.7,766.71,718.05,48.65,0.18,48.48,48.48,480.29,12077.45,82.1,0.0,0.0,0.88,0.88,7071.35,3881.0,5.61,3.17,0.08,0.0,0.0,0.0,0.0,0.0
2016-03-31,2892.91,1062.6,20.85,7.88,538.49,2849.62,487.24,349.33,836.54,813.58,22.96,-70.66,93.62,93.62,480.29,12998.06,82.1,0.0,0.0,1.76,1.76,8827.04,5419.4,6.66,4.2,0.17,0.0,0.0,0.0,0.0,0.0
2016-06-30,2928.31,1113.92,21.31,7.75,441.67,2834.98,485.59,289.21,903.18,416.99,486.19,178.83,307.36,307.36,480.29,12998.06,82.1,0.0,0.0,6.4,6.4,8894.24,5552.05,6.97,4.48,0.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,2919.51,1039.22,28.53,7.13,584.62,2716.14,494.18,362.5,1006.2,478.27,527.93,122.79,405.14,405.14,480.29,12998.06,82.1,0.0,0.0,8.44,8.44,9192.07,5656.96,7.28,4.62,0.79,0.0,0.0,0.0,0.0,0.0
2016-12-31,2854.94,1055.12,40.02,7.48,599.7,2710.98,497.45,327.65,1021.17,540.29,480.88,107.4,373.48,373.48,480.29,12998.06,82.1,0.0,0.0,7.78,7.78,9675.1,5798.34,7.69,4.76,0.71,0.0,0.0,0.0,0.0,0.0
2017-03-31,2758.57,1215.69,35.73,6.52,585.39,2631.6,514.27,385.88,1070.15,806.91,263.24,-56.47,319.7,319.7,480.29,13981.3,82.1,0.0,0.0,6.66,6.66,9865.14,5606.57,7.47,4.39,0.59,0.0,0.0,0.0,0.0,0.0
2017-06-30,2827.87,1263.37,38.6,6.12,652.07,2676.49,510.99,348.18,1252.39,715.56,536.84,164.43,372.41,372.41,480.29,13981.3,82.1,0.0,0.0,7.75,7.75,9653.02,5238.61,7.21,4.05,0.66,0.0,0.0,0.0,0.0,0.0
2017-09-30,2902.34,1210.45,40.67,6.12,714.59,2615.91,509.7,372.95,1375.61,744.55,631.05,179.51,451.54,451.54,480.29,13981.3,82.1,0.0,0.0,9.4,9.4,9623.94,4748.21,6.67,3.41,0.79,0.0,0.0,0.0,0.0,0.0
2017-12-31,3029.46,1296.47,23.35,4.94,548.85,2731.53,531.2,431.13,1209.22,918.12,291.1,-11.96,303.06,303.06,480.29,13981.3,81.87,0.0,0.0,6.31,6.31,9595.15,4898.6,6.27,3.3,0.5,0.0,0.0,0.0,0.0,0.0
2018-03-31,3097.48,1342.86,19.03,4.53,490.32,2826.17,548.37,415.9,1163.77,1546.34,-382.57,-514.55,131.98,131.98,480.29,15346.69,81.87,0.0,0.0,10.99,10.99,11990.14,5959.57,7.37,3.81,0.21,0.0,0.0,0.0,0.0,0.0
