Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Deferred Tax Assets [Net],Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2006-03-31,8.22,8.22,59.84,59.84,68.06,0.0,0.0,0.0,50.91,20.69,51.15,5.91,10.06,87.82,316.05,31.61,86.93,43.24,161.78,2.76,0.0,164.53,0.0,36.19,17.7,87.17,10.46,0.0,151.52,316.05,15.28,0.42,4.44,2.76,0.0,0.0,50.91,0.0,0.0,0.18,0.0,20.32,0.0,109.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,28.02,28.02,90.33,90.33,118.35,4.86,0.0,0.0,86.87,18.07,21.49,11.02,2.33,52.92,258.14,52.74,89.89,41.27,183.89,5.58,0.0,192.75,0.0,23.7,27.97,4.07,9.65,0.0,65.39,258.14,36.87,1.92,6.88,5.7,0.0,0.0,82.01,3.28,0.0,1.04,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,68.57,68.57,695.44,695.44,764.01,6.67,0.0,0.0,196.58,19.94,41.4,10.91,2.53,74.77,1035.59,70.3,91.93,127.88,290.11,668.24,0.0,970.16,0.0,24.98,26.06,2.78,11.61,0.0,65.43,1035.59,44.5,0.97,6.07,1.69,666.56,0.0,189.91,11.81,0.0,3.08,0.0,31.34,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,68.57,68.57,602.47,602.47,671.04,0.0,0.0,0.0,172.56,70.42,41.08,14.83,3.0,129.33,972.93,190.33,2.58,46.15,239.05,668.56,0.0,907.61,0.0,24.62,29.53,4.68,6.5,0.0,65.32,972.93,5.34,1.25,8.42,0.0,668.56,0.0,172.56,0.0,0.0,6.41,0.0,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,87.86,87.86,695.98,695.98,783.84,0.0,0.0,0.0,143.01,5.66,70.39,22.46,3.42,101.94,1047.53,188.58,2.77,35.28,226.63,697.21,0.0,923.84,0.0,45.11,28.28,7.84,42.46,0.0,123.69,1047.53,2.5,1.58,6.59,27.11,670.13,0.0,143.01,0.0,0.0,3.79,0.0,6.65,0.0,18.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,87.87,87.87,699.99,699.99,802.58,0.0,0.0,2.2,54.9,44.42,73.99,49.77,0.36,168.54,1026.02,179.09,0.54,42.84,222.47,672.56,0.0,901.75,0.0,53.08,56.04,1.86,11.45,1.84,124.27,1026.02,132.43,0.35,9.25,0.0,761.71,0.0,52.7,0.0,6.71,0.0,3.69,3.52,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,92.17,92.17,767.27,767.27,859.44,0.0,0.0,0.6,19.22,17.69,76.08,42.13,0.16,136.06,1014.72,201.48,0.95,15.98,218.4,683.41,0.0,909.86,0.0,48.36,43.81,6.62,5.54,0.54,104.87,1014.72,121.37,0.08,13.67,0.0,767.99,0.0,18.62,0.0,8.05,0.0,4.4,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,92.17,92.17,809.68,809.68,901.85,0.0,0.0,0.75,17.76,14.03,90.12,10.19,0.71,115.06,1034.67,192.31,0.7,11.04,204.06,684.44,0.0,898.05,39.08,46.73,42.04,2.37,6.11,0.28,136.62,1034.67,67.6,0.33,18.16,0.0,684.44,39.08,17.02,3.33,6.22,0.0,2.45,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,92.34,92.34,839.17,839.17,931.51,5.46,0.0,0.9,20.97,59.21,81.69,14.66,1.65,157.21,1109.69,173.15,0.39,11.8,185.33,755.28,0.0,949.95,55.65,44.35,49.32,6.05,4.27,0.09,159.73,1109.69,78.92,0.47,24.54,0.0,755.28,55.65,14.61,0.0,9.34,0.0,2.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,322.98,322.98,1985.55,1985.55,2308.53,17.49,0.0,28.77,68.57,12.18,215.35,103.08,27.52,358.13,2735.23,519.29,2.1,89.72,611.11,1528.05,0.0,2242.21,49.31,152.48,230.68,17.77,38.12,4.66,493.02,2735.23,160.76,4.03,176.06,0.0,1528.05,49.37,22.31,0.0,103.05,76.61,2.12,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,323.33,323.33,2022.9,2022.9,2346.23,26.33,0.0,45.06,82.1,0.22,206.1,127.28,6.96,340.56,2768.89,561.44,5.08,22.1,588.62,1559.75,0.0,2251.49,66.28,151.3,220.18,25.66,51.31,2.67,517.4,2768.89,131.29,3.52,109.99,0.0,1641.58,66.28,10.71,0.0,103.12,59.24,2.46,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
