Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Trade/Other Goods,Deferred Tax Assets [Net],Raw Materials,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,16.22,16.22,46.72,46.72,62.94,25.15,5.93,0.0,0.0,31.08,0.62,6.72,8.24,3.77,19.35,113.37,52.76,0.13,2.97,55.86,6.34,0.0,0.0,62.51,0.0,4.07,12.16,3.61,31.03,0.0,50.86,113.37,13.08,0.19,0.37,0.53,0.0,0.82,0.24,15.12,0.0,0.0,0.0,0.0,0.32,22.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,16.29,16.29,57.77,57.77,74.05,30.64,7.16,0.0,0.0,37.8,0.0,8.48,6.87,8.36,23.7,135.55,65.7,0.15,0.0,65.85,11.4,0.0,0.0,77.51,0.0,4.37,11.65,13.48,28.54,0.0,58.04,135.55,3.7,0.53,0.59,0.0,0.0,0.82,0.22,20.19,0.0,0.0,0.0,0.0,0.26,23.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,16.31,16.31,83.4,83.4,99.7,26.43,7.52,0.0,0.0,33.94,0.02,11.25,7.11,10.11,28.48,162.13,65.5,0.22,0.88,66.6,16.97,0.0,0.0,83.84,0.0,7.7,15.13,14.92,40.54,0.0,78.29,162.13,0.49,0.85,0.88,0.0,1.79,0.82,0.23,16.89,0.0,0.0,0.0,0.0,0.26,32.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,16.31,16.31,102.23,102.23,118.53,34.7,7.78,0.0,0.0,42.47,0.0,17.18,13.17,5.3,35.66,196.67,65.56,0.26,0.13,65.95,16.5,0.0,0.0,82.67,0.0,6.46,24.8,22.0,60.74,0.0,114.0,196.67,1.7,1.2,1.83,0.0,0.5,0.82,0.0,15.54,0.0,0.0,0.0,0.0,0.21,145.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,19.91,19.91,137.64,137.64,157.55,39.36,23.92,0.0,0.0,63.28,0.0,26.67,18.25,5.96,50.88,271.72,125.12,0.28,0.99,126.39,21.23,0.0,0.0,147.9,0.0,11.63,38.76,22.41,51.02,0.0,123.82,271.72,1.06,1.08,0.0,0.0,1.13,0.82,0.0,21.23,0.0,0.0,0.0,0.0,0.28,266.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,16.44,16.44,154.91,154.91,171.35,29.95,22.84,0.0,0.0,52.79,0.0,28.73,17.0,11.67,57.4,284.89,119.74,0.46,6.57,126.77,53.59,0.0,0.0,182.18,0.0,4.95,21.63,31.77,44.35,0.0,102.71,284.89,6.08,0.75,2.49,0.0,1.05,0.82,0.03,53.59,0.0,0.0,0.0,0.0,1.82,162.36,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,18.77,18.77,167.47,167.47,186.24,61.35,21.77,0.0,0.0,83.12,15.03,13.48,18.95,8.3,55.77,325.13,121.84,0.48,12.84,135.16,42.42,0.0,0.0,179.23,0.0,9.34,20.51,27.92,88.13,0.0,145.9,325.13,1.64,0.34,8.61,0.0,0.9,0.82,0.08,41.42,0.0,0.0,0.0,0.0,1.65,141.87,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,33.4,33.4,230.93,230.93,264.34,41.37,19.65,5.96,1.84,68.82,13.49,20.3,15.19,8.35,57.33,390.48,129.58,2.63,1.15,133.35,69.12,3.92,8.16,214.55,25.41,8.79,20.76,69.58,47.62,3.77,175.93,390.48,4.52,2.35,7.92,0.0,1.57,13.33,1.03,67.09,0.85,24.56,1.07,91.63,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,33.4,33.4,264.23,264.23,297.63,39.61,19.2,6.72,3.13,68.66,39.72,21.87,18.87,9.86,90.32,456.62,124.97,2.7,15.69,143.36,106.96,4.82,11.53,266.66,13.31,8.23,31.41,73.75,58.08,5.17,189.95,456.62,23.23,1.05,4.59,0.0,1.33,13.33,8.27,97.95,0.0,13.31,0.12,121.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,33.4,33.4,289.65,289.65,323.05,82.14,18.01,6.31,4.14,110.6,50.03,28.5,22.24,9.71,110.48,544.13,148.05,2.28,57.1,207.43,116.94,83.87,0.57,408.81,5.18,12.5,29.25,68.16,13.94,6.28,135.32,544.13,137.73,1.42,8.61,0.0,3.69,13.33,8.56,107.93,0.0,5.18,0.06,196.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
