Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,79.17,0.35,79.52,55.22,-11.83,6.78,2.99,17.98,8.38,3.77,12.15,2.03,10.12,0.0,10.12,3.62,6.5,0.0,6.5,33.4,0.0,1.95,1.95,1.25,38.0,2.09,100.0,62.0
2012-12-31,114.7,0.24,114.94,80.74,1.2,7.05,2.98,13.64,9.33,3.18,12.51,2.2,10.31,0.0,10.31,3.96,6.35,0.0,6.35,33.4,0.0,1.9,1.9,1.25,38.0,2.09,100.0,62.0
2013-03-31,98.58,0.13,98.71,57.41,9.82,7.69,3.01,14.52,6.26,7.76,14.02,3.04,10.98,0.0,10.98,1.59,9.39,0.0,9.39,33.4,0.0,2.81,2.81,1.26,38.0,2.09,100.0,62.0
2013-06-30,93.6,0.21,93.81,61.35,-2.85,7.29,3.11,14.98,9.93,2.13,12.06,2.7,9.36,0.0,9.36,3.6,5.76,0.0,5.76,33.4,0.0,1.72,1.72,1.25,38.0,2.09,100.0,62.0
2013-09-30,92.46,0.21,92.67,54.57,3.14,7.0,3.38,15.52,9.06,2.38,11.44,2.68,8.76,0.0,8.76,2.56,6.2,0.0,6.2,33.4,0.0,1.86,1.86,1.25,38.0,2.09,100.0,62.0
2013-12-31,92.57,0.21,92.78,54.11,3.17,7.53,3.2,15.37,9.4,2.02,11.42,3.22,8.2,0.0,8.2,2.64,5.56,-0.24,5.32,33.4,0.0,0.0,0.0,1.25,38.0,2.09,100.0,62.0
2014-03-31,91.38,0.21,91.59,65.48,-8.28,7.47,3.76,17.44,5.72,2.5,8.22,3.69,4.53,0.0,4.53,1.35,3.18,-1.05,2.13,33.4,0.0,0.64,0.64,1.25,38.0,2.09,100.0,62.0
2014-06-30,80.97,0.21,81.18,49.41,-3.07,8.29,3.01,16.45,7.09,3.78,10.87,3.96,6.91,0.0,6.91,1.9,5.01,0.0,5.01,33.4,0.0,1.5,1.5,1.25,37.0,2.09,100.0,63.0
2014-09-30,89.82,0.23,90.05,42.46,8.18,7.49,3.1,18.18,10.64,50.81,61.45,3.47,57.98,0.0,57.98,2.66,55.32,0.0,55.32,33.4,97.79,16.56,16.56,1.25,37.0,2.09,100.0,63.0
2014-12-31,86.35,0.22,86.57,41.13,0.43,9.27,3.11,19.0,13.63,1.8,15.43,3.38,12.05,35.75,47.8,12.24,35.56,0.0,35.56,33.4,0.0,10.65,10.65,1.25,37.0,2.09,100.0,63.0
2015-03-31,87.19,0.23,87.42,38.79,-2.83,9.57,3.02,18.64,20.23,2.09,22.32,2.47,19.85,0.0,19.85,7.91,11.94,0.0,11.94,33.4,0.0,3.57,3.57,1.24,37.0,2.1,100.0,63.0
