Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2015-12-31,288.85,9.05,297.89,104.2,46.13,-8.75,59.81,70.08,89.47,-63.05,20.19,-42.85,41.35,-84.2,0.0,-84.2,-30.42,-53.78,-53.78,133.77,-4.02,-3.99
2016-03-31,680.97,9.62,690.59,422.25,30.69,-109.24,66.12,59.11,163.9,57.77,6.46,64.23,100.37,-36.13,0.0,-36.13,-8.02,-28.12,-28.12,135.67,-2.1,-2.09
2016-06-30,1405.16,15.55,1420.7,601.32,35.4,42.87,78.06,92.37,226.55,344.15,6.65,350.81,-7.08,357.88,0.0,357.88,102.12,255.76,255.76,182.31,0.0,0.0
2016-09-30,603.41,9.87,613.28,170.36,10.32,64.67,73.03,70.5,144.84,79.56,4.42,83.99,43.86,40.13,0.0,40.13,12.19,27.93,27.93,135.67,2.06,2.05
2016-12-31,241.44,6.24,247.68,108.45,3.95,-15.14,68.04,77.63,95.31,-90.56,29.59,-60.97,37.95,-98.91,0.0,-98.91,-30.07,-68.84,-68.84,182.31,-3.93,-3.9
2017-03-31,688.7,9.14,697.84,393.51,6.45,-83.07,75.06,61.72,174.18,69.99,9.41,79.41,46.35,33.05,0.0,33.05,6.23,26.82,26.82,182.41,1.47,1.47
2017-06-30,1348.77,17.26,1366.03,610.19,7.3,52.06,83.25,72.97,180.58,359.68,6.35,366.03,45.23,320.8,0.0,320.8,93.09,227.71,227.71,182.51,12.48,12.47
2017-09-30,656.66,12.0,668.66,274.91,0.86,20.98,82.7,69.19,138.56,81.46,31.5,112.96,47.0,65.96,0.0,65.96,15.81,50.14,50.14,182.58,2.75,2.75
2017-12-31,329.92,0.0,329.92,176.01,1.28,-56.17,78.12,69.76,123.67,-62.75,0.27,-62.48,53.14,-115.62,0.0,-115.62,-46.54,-69.08,-69.08,182.59,-3.78,-3.78
2018-03-31,897.52,0.0,897.52,487.98,36.14,-119.13,102.51,72.86,225.87,91.29,8.8,100.09,54.98,45.11,0.0,45.11,11.61,33.5,33.5,182.62,1.83,1.83
2018-06-30,1738.61,0.0,1738.61,690.38,56.67,93.67,110.65,77.95,275.96,433.33,17.03,450.37,46.43,403.94,0.0,403.94,114.86,289.08,289.08,182.62,15.84,15.83
2018-09-30,809.28,0.0,809.28,309.1,58.02,-2.86,101.98,75.06,170.93,97.06,27.77,124.83,41.99,82.84,0.0,82.84,19.24,63.6,63.6,182.63,3.48,3.48
2018-12-31,416.87,0.0,416.87,172.84,32.08,-40.48,96.33,69.68,146.95,-60.54,42.61,-17.93,51.0,-68.93,0.0,-68.93,-15.1,-53.82,-53.82,182.64,-2.95,-2.95
2019-03-31,985.57,0.0,985.57,446.43,82.6,-62.1,112.36,74.16,215.79,116.34,14.6,130.94,53.9,77.04,0.0,77.04,21.58,55.46,55.46,182.65,3.04,3.04
2019-06-30,2455.75,0.0,2455.75,966.58,233.57,2.85,156.96,99.85,394.79,601.16,12.79,613.94,76.65,537.29,0.0,537.29,155.19,382.1,382.1,182.66,13.95,13.95
2019-09-30,1338.73,0.0,1338.73,539.74,52.03,-1.52,182.94,103.88,292.16,169.51,11.52,181.03,82.27,98.76,0.0,98.76,33.53,65.23,65.23,288.69,2.35,2.35
2019-12-31,835.61,0.0,835.61,395.28,28.14,-71.65,178.55,109.32,266.45,-70.48,59.11,-11.37,67.43,-78.8,0.0,-78.8,-24.56,-54.24,-54.24,288.69,-1.88,-1.88
2020-03-31,1313.66,0.0,1313.66,640.61,43.31,-97.33,183.34,106.89,323.02,113.83,30.53,144.36,72.77,71.6,-66.53,5.07,-71.81,76.87,76.87,288.69,2.66,2.66
2020-06-30,1410.59,0.0,1410.59,535.9,11.88,128.85,163.88,98.43,253.97,217.68,10.72,228.4,68.96,159.44,0.0,159.44,37.49,121.95,121.95,288.69,4.23,4.23
2020-09-30,1314.56,0.0,1314.56,598.17,12.34,4.35,177.33,104.48,262.86,155.04,0.78,155.83,51.53,104.3,0.0,104.3,24.81,79.49,79.49,288.69,2.75,2.75
2020-12-31,837.64,0.0,837.64,356.65,19.97,-39.0,170.52,103.02,266.81,-40.32,29.96,-10.36,55.76,-66.13,0.0,-66.13,-14.24,-51.88,-51.88,288.69,-1.8,-1.8
2021-03-31,1799.15,0.0,1799.15,923.4,45.14,-145.05,181.27,105.08,475.24,214.08,6.05,220.13,44.85,175.28,0.0,175.28,50.04,125.24,125.24,288.69,4.34,4.34
2021-06-30,1985.32,0.0,1985.32,791.8,22.31,144.64,181.52,97.03,379.19,368.84,9.13,377.97,43.98,333.99,0.0,333.99,95.91,238.08,238.08,433.03,5.5,5.5
2021-09-30,1710.56,0.0,1710.56,812.3,19.37,1.34,194.09,99.78,354.3,229.39,8.35,237.74,32.53,205.21,0.0,205.21,59.29,145.92,145.92,433.03,3.37,3.37
2021-12-31,1100.71,0.0,1100.71,558.32,32.61,-76.99,184.24,97.94,337.52,-32.94,33.77,0.83,33.79,-32.96,0.0,-32.96,-13.21,-19.75,-19.75,433.03,-0.46,-0.46
2022-03-31,2184.37,0.0,2184.37,1181.58,42.08,-122.61,202.99,100.69,481.29,298.36,20.06,318.42,43.16,275.26,0.0,275.26,79.9,195.36,195.36,433.03,4.51,4.51
2022-06-30,4365.83,0.0,4365.83,2125.8,37.05,90.05,246.25,124.95,763.87,977.86,24.25,1002.11,35.37,966.75,0.0,966.75,238.41,728.33,728.33,649.55,11.21,11.21
2022-09-30,2501.65,0.0,2501.65,1259.49,21.38,-47.14,235.75,110.99,531.56,389.63,25.83,415.46,32.34,383.12,0.0,383.12,95.46,287.66,287.66,649.55,4.43,4.43
2022-12-31,1543.98,0.0,1543.98,892.45,19.67,-222.65,235.48,146.51,443.37,29.15,73.62,102.77,43.4,59.38,0.0,59.38,0.53,58.85,58.85,649.55,0.91,0.91
2023-03-31,3221.85,0.0,3221.85,1702.75,54.57,-167.86,252.72,135.62,707.55,536.51,18.51,555.01,56.55,498.46,0.0,498.46,125.54,372.92,372.92,649.56,5.74,5.74
2023-06-30,4672.29,0.0,4672.29,1942.37,50.9,274.97,269.05,129.49,827.14,1178.37,45.52,1223.89,62.3,1161.58,0.0,1161.58,293.61,867.97,867.97,649.57,6.68,6.68
2023-09-30,2892.38,0.0,2892.38,1298.34,22.15,-33.4,261.28,127.98,636.8,579.25,31.04,610.29,55.69,554.61,0.0,554.61,139.0,415.61,415.61,649.57,3.2,3.2
2023-12-31,1846.3,0.0,1846.3,959.34,21.82,-135.53,253.75,125.24,452.7,168.99,51.08,220.07,66.55,153.51,0.0,153.51,34.88,118.63,118.63,649.61,0.91,0.91
2024-03-31,3446.15,0.0,3446.15,1673.83,76.86,-165.78,274.68,139.46,765.66,681.44,32.61,714.05,83.96,630.09,0.0,630.09,160.82,469.27,469.27,649.7,3.61,3.61
2024-06-30,5801.59,0.0,5801.59,2405.13,35.59,274.57,320.93,166.81,1026.78,1571.78,67.25,1639.03,103.17,1535.86,0.0,1535.86,385.73,1150.14,1150.14,649.72,8.85,8.85
2024-09-30,3086.84,0.0,3086.84,1259.34,19.72,132.15,304.84,157.31,569.84,643.65,100.18,743.82,98.64,645.19,0.0,645.19,152.85,492.34,492.34,649.74,1.52,1.51
2024-12-31,2014.03,0.0,2014.03,1023.93,70.74,-202.1,277.11,154.33,521.22,168.79,153.9,322.69,63.89,258.8,0.0,258.8,50.18,208.62,208.62,676.3,0.63,0.63
2025-03-31,4052.53,0.0,4052.53,2067.23,55.37,-212.58,307.44,165.01,824.76,845.31,59.8,905.11,7.8,897.31,0.0,897.31,219.25,678.06,678.06,676.37,2.01,2.0
