Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,344.29,0.62,344.91,71.35,15.21,0.29,116.6,23.45,30.67,63.15,24.2,0.31,24.51,15.6,8.91,0.0,8.91,2.99,5.93,0.0,5.93,85.29,0.7,0.7,0.9,10.52,7.63,100.0,89.48
2012-12-31,326.02,2.17,328.19,38.61,18.35,4.2,119.33,18.89,39.71,84.35,4.76,1.98,6.74,17.26,-10.52,71.86,61.34,15.83,45.51,-0.13,45.38,85.29,5.32,5.32,0.9,10.52,7.63,100.0,89.48
2013-03-31,320.31,10.71,331.02,42.85,8.39,0.95,118.77,20.15,31.79,77.44,30.67,4.58,35.25,15.74,19.51,0.0,19.51,13.65,5.86,0.0,5.86,85.29,0.69,0.69,0.9,10.52,7.63,100.0,89.48
2013-06-30,324.81,6.32,331.13,27.55,9.88,1.12,120.17,21.83,32.39,92.29,25.9,0.42,26.32,16.98,9.35,0.0,9.35,3.41,5.94,0.0,5.94,85.29,0.7,0.7,2.13,25.0,6.4,100.0,75.0
2013-09-30,320.77,5.24,326.01,36.08,10.87,-4.74,119.11,21.92,32.13,78.56,32.06,0.35,32.41,16.93,15.47,0.0,15.47,5.48,9.99,0.0,9.99,85.29,1.17,1.17,2.13,25.0,6.4,100.0,75.0
2013-12-31,436.28,4.02,440.3,117.15,10.31,-0.71,124.7,17.62,32.73,94.68,43.83,2.99,46.81,24.8,22.01,50.27,72.28,16.74,55.54,0.0,55.54,85.29,6.52,6.52,0.21,25.0,6.4,100.0,75.0
2014-03-31,344.7,2.2,346.9,31.42,20.23,-6.33,140.03,20.55,39.36,84.62,17.02,0.42,17.44,25.28,-7.84,0.0,-7.84,-7.34,-0.5,0.0,-0.5,85.29,-0.06,-0.06,2.13,25.0,6.4,100.0,75.0
2014-06-30,351.55,5.38,356.92,10.83,17.83,7.99,147.62,23.14,44.72,82.05,22.74,1.05,23.79,25.57,-1.78,0.0,-1.78,-0.09,-1.69,0.0,-1.69,85.29,-0.2,-0.2,2.13,25.0,6.4,100.0,75.0
2014-09-30,373.04,1.63,374.67,29.69,18.29,0.7,156.15,22.42,42.07,80.84,24.54,1.17,25.71,25.48,0.23,0.0,0.23,-0.83,1.06,0.0,1.06,85.29,0.12,0.12,2.13,25.0,6.4,100.0,75.0
2014-12-31,401.45,11.4,412.85,21.22,18.91,-1.58,171.6,24.8,55.21,91.38,31.33,8.17,39.5,26.53,12.97,0.0,12.97,6.45,6.53,0.0,6.53,85.29,0.78,0.78,2.13,25.0,6.4,100.0,75.0
2015-03-31,360.23,11.86,372.1,20.14,17.31,-0.7,173.65,24.92,39.18,82.38,15.23,5.48,20.71,23.64,-2.93,-9.5,-12.43,-26.81,14.39,0.0,14.39,85.29,1.69,1.69,2.13,25.0,6.4,100.0,75.0
2015-06-30,373.11,2.1,375.21,22.76,12.6,2.4,184.5,24.7,39.63,79.88,8.75,19.6,28.35,22.13,6.22,0.0,6.22,2.28,3.94,0.0,3.94,85.29,0.46,0.46,2.13,25.0,6.4,100.0,75.0
2015-09-30,401.85,2.95,404.8,33.77,13.17,-2.85,199.39,24.78,40.0,76.14,20.39,2.44,22.84,21.8,1.04,0.0,1.04,0.7,0.34,0.0,0.34,85.29,0.04,0.04,2.13,25.0,6.4,100.0,75.0
2015-12-31,418.89,0.92,419.81,35.24,12.83,2.79,189.33,18.03,42.72,95.11,23.76,4.28,28.04,22.32,5.72,0.0,5.72,1.77,3.95,0.84,4.79,85.29,0.56,0.56,0.0,0.0,0.0,0.0,0.0
2016-03-31,405.78,10.71,416.5,24.68,17.01,-1.92,191.89,24.76,44.38,86.7,29.01,0.66,29.66,22.1,7.57,0.0,7.57,-0.63,8.2,0.0,8.2,85.29,0.96,0.96,0.0,0.0,0.0,0.0,0.0
2016-06-30,428.53,1.81,430.34,29.05,17.17,2.14,204.9,22.68,49.64,78.01,26.76,0.68,27.44,30.78,-3.34,0.0,-3.34,-0.87,-2.47,0.0,-2.47,85.29,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0
2016-09-30,465.01,1.82,466.84,50.16,18.23,-4.45,210.95,24.81,52.91,92.36,21.87,1.0,22.88,30.78,-7.91,0.0,-7.91,-2.42,-5.48,0.0,-5.48,85.29,-0.64,-0.64,0.0,0.0,0.0,0.0,0.0
2016-12-31,514.87,8.51,523.38,79.9,17.01,-2.43,210.37,29.73,51.95,116.69,20.16,19.61,39.77,30.98,8.79,0.0,8.79,-0.3,9.09,0.0,9.09,85.29,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2017-03-31,518.05,0.0,518.05,65.26,21.08,6.27,216.24,25.4,51.18,100.88,31.76,0.79,32.55,30.37,2.18,0.0,2.18,0.81,1.37,0.0,1.37,85.28,0.16,0.16,0.0,0.0,0.0,0.0,0.0
2017-06-30,493.35,0.0,493.35,37.54,19.88,-2.53,229.96,30.58,49.44,97.99,30.5,0.62,31.11,30.13,0.99,-5.5,-4.52,-2.33,-2.18,0.0,-2.18,85.28,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2017-09-30,506.95,0.0,506.95,46.51,17.96,-1.68,240.99,27.36,49.02,92.24,34.55,1.73,36.28,28.6,7.68,0.0,7.68,-2.56,10.23,0.0,10.23,85.28,1.2,1.2,0.0,0.0,0.0,0.0,0.0
2017-12-31,518.13,0.0,518.13,41.81,18.47,2.64,235.31,33.11,56.61,104.01,26.17,12.4,38.58,27.76,10.82,0.0,10.82,1.3,9.52,0.0,9.52,85.28,1.12,1.12,0.0,0.0,0.0,0.0,0.0
2018-03-31,527.64,0.0,527.64,71.73,20.58,5.18,219.59,26.99,51.5,111.4,20.68,7.65,28.33,26.5,1.84,0.0,1.84,-0.54,2.38,0.0,2.38,85.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0
2018-06-30,549.6,0.0,549.6,67.31,33.37,-5.19,236.35,32.2,51.16,100.18,34.23,1.15,35.38,26.07,9.31,0.0,9.31,4.07,5.25,0.0,5.25,85.28,0.62,0.62,0.0,0.0,0.0,0.0,0.0
2018-09-30,551.62,0.0,551.62,67.17,28.37,12.06,214.26,37.16,50.12,109.0,33.5,6.83,40.33,25.59,14.74,0.0,14.74,4.31,10.44,0.0,10.44,85.28,1.22,1.22,0.0,0.0,0.0,0.0,0.0
