Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,653.8,11.56,665.36,38.17,4.98,30.91,95.32,495.98,0.46,496.44,374.02,122.42,122.42,40.98,81.44,81.44,132.63,6.14,6.13,5.0,37.71,8.26,100.0,62.29
2013-03-31,711.3,14.28,725.58,45.9,7.03,54.71,115.61,502.33,0.05,502.38,379.91,122.47,122.47,36.71,85.76,85.76,143.17,6.21,6.2,6.05,42.29,8.26,100.0,57.71
2013-06-30,747.88,13.16,761.04,45.76,4.87,58.31,117.49,534.61,0.78,535.39,397.26,138.13,138.13,46.95,91.18,91.18,143.21,6.37,6.35,6.05,42.28,8.26,100.0,57.72
2013-09-30,781.72,22.85,804.57,46.62,5.22,70.9,101.52,580.31,4.12,584.43,449.5,134.93,134.93,44.99,89.94,89.94,143.22,6.28,6.27,6.04,42.21,8.27,100.0,57.79
2013-12-31,827.15,15.99,843.14,51.38,5.41,69.91,108.07,608.37,1.24,609.61,470.05,139.56,139.56,47.4,92.16,92.16,143.22,6.44,6.43,6.04,42.16,8.28,100.0,57.84
2014-03-31,838.96,8.14,847.1,43.74,8.13,84.21,120.01,591.01,0.85,591.86,454.28,137.58,137.58,46.85,90.73,90.73,143.26,6.34,6.33,6.04,42.17,8.28,100.0,57.83
2014-06-30,859.97,9.18,869.15,47.98,6.47,80.56,593.23,140.91,0.12,141.03,0.0,141.03,141.03,47.93,93.1,93.1,143.44,6.5,6.49,6.06,42.25,8.28,100.0,57.75
2014-09-30,910.27,8.67,918.94,55.1,6.88,86.33,127.84,642.79,0.28,643.07,498.95,144.12,144.12,48.99,95.13,95.13,143.62,6.63,6.62,6.07,42.32,8.28,100.0,57.75
2014-12-31,958.19,6.41,964.6,60.52,7.7,99.72,628.08,168.58,0.11,168.69,0.0,168.69,168.69,57.4,111.29,111.29,143.68,7.65,7.57,6.08,42.34,8.28,100.0,57.66
2015-03-31,935.86,1.91,937.77,58.14,8.13,58.11,124.13,689.26,0.22,689.48,486.1,203.38,203.38,67.74,135.64,135.64,143.73,9.34,9.26,6.07,42.25,8.3,100.0,57.75
2015-06-30,982.11,3.73,985.84,57.19,5.17,106.91,150.44,666.13,0.17,666.3,495.78,170.52,170.52,60.27,110.25,110.25,143.82,7.57,7.51,6.08,42.29,8.3,100.0,57.71
2015-09-30,1013.82,3.55,1017.37,69.08,4.98,114.74,134.47,694.1,0.11,694.21,511.06,183.15,183.15,62.68,120.47,120.47,156.17,8.09,8.08,7.31,46.85,8.3,100.0,53.15
2015-12-31,1049.12,4.71,1053.83,59.52,4.94,106.96,150.62,731.79,0.07,731.86,510.92,220.94,220.94,75.24,145.7,145.7,156.17,9.33,9.32,0.0,0.0,0.0,0.0,0.0
2016-03-31,1132.38,3.05,1135.43,68.16,6.24,98.63,134.23,828.17,1.0,829.17,533.01,296.16,296.16,104.13,192.03,192.03,156.21,12.3,12.29,0.0,0.0,0.0,0.0,0.0
2016-06-30,1101.69,6.78,1108.47,71.8,7.34,80.37,147.21,801.75,0.05,801.8,548.1,253.7,253.7,87.97,165.73,165.73,156.26,10.61,10.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,1155.76,6.38,1162.14,109.42,9.0,77.15,703.71,262.86,0.5,263.36,0.0,263.36,263.36,92.42,170.94,170.94,156.32,10.94,10.94,0.0,0.0,0.0,0.0,0.0
2016-12-31,1169.75,5.92,1175.67,99.95,10.43,100.26,148.44,816.59,0.09,816.68,565.76,250.92,250.92,88.4,162.52,162.52,156.33,10.4,10.4,0.0,0.0,0.0,0.0,0.0
2017-03-31,1206.91,6.37,1213.28,121.48,11.34,52.85,690.16,337.45,0.15,337.6,118.05,219.55,219.55,0.0,219.55,219.55,156.34,14.05,14.04,0.0,0.0,0.0,0.0,0.0
2017-06-30,1234.8,0.0,1234.8,114.89,9.67,98.05,153.17,859.02,0.07,859.09,540.96,318.13,318.13,111.55,206.58,206.58,156.36,13.22,13.21,0.0,0.0,0.0,0.0,0.0
2017-09-30,1295.91,0.0,1295.91,129.72,11.63,83.16,167.52,903.88,0.06,903.94,556.75,347.19,347.19,119.94,227.25,227.25,156.37,14.54,14.53,0.0,0.0,0.0,0.0,0.0
2017-12-31,1383.25,0.0,1383.25,128.1,13.46,90.21,182.1,969.38,0.08,969.46,590.26,379.2,379.2,130.0,249.2,249.2,156.37,15.94,15.94,0.0,0.0,0.0,0.0,0.0
2018-03-31,1511.37,0.0,1511.37,154.95,14.92,73.67,209.39,1058.44,0.23,1058.67,619.88,438.79,438.79,147.7,291.09,291.09,156.4,18.62,18.6,0.0,0.0,0.0,0.0,0.0
2018-06-30,1597.03,0.0,1597.03,141.27,12.66,98.25,104.44,1240.41,0.2,1240.61,801.83,438.78,438.78,153.53,285.25,285.25,156.4,18.25,18.22,0.0,0.0,0.0,0.0,0.0
2018-09-30,1629.41,46.32,1675.73,134.25,12.76,61.16,144.27,1323.29,0.1,1323.39,863.87,459.52,459.52,154.85,304.67,304.67,156.42,19.49,19.46,0.0,0.0,0.0,0.0,0.0
2018-12-31,1830.69,0.0,1830.69,141.66,15.07,95.34,159.09,1419.53,0.11,1419.64,956.14,463.5,463.5,159.13,304.37,304.37,156.42,19.47,19.45,0.0,0.0,0.0,0.0,0.0
