Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Preference Share Capital,Deferred Tax Liabilities [Net],Inventories,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,25.36,48.36,197.2,197.2,245.56,0.0,838.18,0.0,0.0,841.95,449.54,24.71,53.39,618.91,1706.42,24.82,0.89,0.0,0.0,0.0,25.71,3.87,7.83,114.85,0.0,49.25,31.14,358.45,1.98,1591.58,1706.42,0.99,0.29,0.0,0.8,30.42,53.42,0.0,0.0,91.27,77.43,0.0,23.0,3.78,1150.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,38.01,48.01,264.74,264.74,312.75,0.0,924.29,0.0,0.0,925.78,406.64,7.06,43.35,566.43,1804.95,14.66,1.38,0.0,0.0,0.0,16.04,3.35,3.7,151.84,0.0,0.0,41.71,409.96,0.73,1653.11,1804.95,7.03,0.8,0.0,0.8,31.42,107.16,0.0,0.0,109.38,128.76,0.0,10.0,1.49,1200.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,38.01,38.01,277.71,277.71,315.73,0.0,1095.34,0.0,0.0,1095.34,604.51,3.47,48.7,783.59,2194.66,19.57,1.4,1.17,0.0,0.0,22.14,2.86,4.17,97.78,0.0,0.0,63.82,541.15,11.69,2096.87,2194.66,8.85,0.27,0.0,0.8,15.62,51.78,0.0,0.0,126.92,68.61,0.0,0.0,0.0,1480.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,38.01,38.01,288.34,288.34,326.35,0.0,2639.79,0.0,0.0,2644.07,579.05,21.6,136.16,882.79,3853.21,29.44,3.5,0.7,0.0,0.0,33.64,7.78,3.91,124.09,0.0,0.0,271.62,3394.79,62.71,3729.12,3853.21,6.47,0.0,0.0,0.8,15.1,62.34,0.0,0.0,145.99,78.76,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,52.24,52.24,506.39,506.39,558.63,0.0,3727.56,0.0,0.0,3735.22,1670.01,39.61,278.04,2230.58,6524.42,41.55,6.04,1.38,0.0,0.0,48.97,29.03,7.68,259.62,0.0,0.0,533.67,5650.31,80.81,6264.8,6524.42,9.91,1.49,0.0,0.8,10.49,162.88,0.0,0.0,242.92,173.94,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,66.47,366.47,414.54,414.54,781.01,0.0,3114.54,0.0,0.0,3120.84,2276.46,27.38,301.23,3257.44,7159.29,22.13,11.71,0.0,0.0,0.0,33.84,156.44,14.51,633.52,0.0,0.0,1557.82,4941.35,26.6,6525.76,7159.29,16.19,0.81,0.0,0.8,9.27,419.38,0.0,0.0,652.37,428.73,0.0,300.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,66.47,366.47,418.53,418.53,785.01,0.0,3635.23,0.0,0.0,3645.32,1759.26,52.09,255.59,2490.53,6920.86,-1.2,14.95,0.03,0.0,0.0,13.78,165.01,0.0,398.12,0.0,0.0,745.13,5769.96,7.64,6522.74,6920.86,19.99,7.31,0.0,0.8,4.1,215.17,0.0,0.0,423.6,219.33,0.0,300.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,119.35,119.35,952.64,952.64,1071.99,0.03,5615.52,29.58,50.18,5695.27,1066.66,55.67,1474.35,2910.97,9678.26,31.19,1.99,0.0,0.0,0.0,33.17,130.6,382.02,6091.76,0.0,0.0,168.78,3240.15,177.56,3586.5,9678.26,97.49,4.63,0.0,0.8,4.0,85.15,0.0,0.0,314.29,68.28,5477.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,132.62,132.62,1284.67,1284.67,1417.28,0.0,7154.55,19.37,52.95,7226.87,1548.06,89.52,3025.07,4778.45,13422.6,49.45,3.71,0.0,0.0,0.0,53.16,51.13,364.7,8914.45,4.01,0.0,258.4,4009.51,236.23,4508.15,13422.6,57.06,2.79,0.0,0.8,0.0,145.15,3.99,0.0,115.8,57.69,8387.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,143.17,143.17,1821.59,1821.59,1964.77,0.0,8298.71,48.46,88.2,8435.36,6990.3,143.88,497.21,7784.66,18184.8,65.18,5.47,0.0,0.0,0.0,70.65,68.86,457.32,12207.51,141.73,0.0,388.97,5164.73,281.87,5977.29,18184.8,57.3,0.28,0.0,0.8,0.0,169.17,0.0,135.0,153.28,82.78,11527.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
