Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2022-06-30,69.31,69.31,47.38,0.0,2.61,5.05,0.67,4.89,8.72,0.1,8.81,1.24,7.58,7.58,1.97,5.61,5.61,10.19,1.1,1.1
2022-09-30,73.71,73.71,53.54,0.0,-2.68,5.42,0.75,4.05,12.62,0.16,12.78,0.59,12.19,12.19,3.06,9.13,9.13,5.66,3.23,0.0
2022-12-31,178.56,178.56,141.84,0.0,-9.17,7.98,1.0,6.76,30.16,0.12,30.28,1.24,29.04,29.04,7.36,21.68,21.68,5.66,4.26,4.26
2023-03-31,123.39,123.39,82.48,0.0,8.36,10.91,1.23,6.47,13.93,1.23,15.16,1.0,14.16,14.16,3.63,10.53,10.53,10.19,2.07,1.92
2023-06-30,59.8,59.8,49.02,0.0,-11.39,9.85,1.29,3.7,7.34,0.42,7.76,0.96,6.8,6.8,1.71,5.09,5.09,10.19,1.0,0.99
2023-09-30,144.98,144.98,-1.47,103.36,3.93,14.26,1.43,5.67,17.81,3.02,20.83,0.62,20.21,20.21,5.06,15.14,15.14,11.21,2.71,2.7
2023-12-31,253.4,253.4,209.1,0.0,-10.84,14.07,1.81,6.83,32.44,4.51,36.95,1.8,35.15,35.15,9.14,26.01,26.01,11.21,4.77,4.76
2024-03-31,265.89,265.89,203.8,0.0,-0.97,11.87,1.73,10.76,38.69,3.94,42.63,2.83,39.8,39.8,10.14,29.66,29.66,11.27,5.43,5.43
2024-06-30,149.32,149.32,107.16,0.0,2.02,11.93,2.43,8.21,17.57,3.89,21.46,0.78,20.69,20.69,5.24,15.44,15.44,11.27,2.74,2.74
2024-09-30,251.06,251.06,228.7,0.0,-39.63,15.9,2.64,10.37,33.07,2.05,35.12,0.66,34.46,34.46,8.75,25.72,25.72,11.27,4.56,4.56
2024-12-31,333.99,333.99,252.55,0.0,9.93,16.19,3.1,11.39,40.84,1.56,42.39,1.47,40.92,40.92,10.6,30.32,30.32,11.27,5.38,5.38
2025-03-31,414.65,414.65,323.38,0.0,-1.57,18.11,3.18,14.97,56.59,2.5,59.09,1.19,57.9,57.9,14.91,42.99,42.99,11.33,7.57,7.57
