Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,380.78,0.15,380.93,287.21,0.47,-53.89,20.48,18.34,13.71,44.45,50.15,15.68,65.84,14.25,51.59,0.0,51.59,11.67,39.92,39.92,124.1,0.0,3.22,3.22,5.91,47.61,6.5,100.0,52.39
2012-12-31,613.31,1.14,614.45,504.35,0.09,-70.42,21.99,16.76,13.48,84.43,43.78,11.31,55.09,12.96,42.13,0.0,42.13,11.52,30.61,30.61,124.1,0.0,2.47,2.47,5.91,47.61,6.5,100.0,52.39
2013-03-31,624.18,5.41,629.59,388.37,0.0,29.16,23.91,21.15,13.16,39.29,114.55,4.26,118.81,8.18,110.63,0.0,110.63,31.28,79.35,79.35,124.1,0.0,6.39,6.39,5.91,47.61,6.5,100.0,52.39
2013-06-30,555.13,8.36,563.49,410.61,0.0,-27.61,25.28,16.72,14.64,43.91,79.94,19.43,99.37,13.71,85.66,-53.89,31.77,9.12,22.65,22.65,124.1,0.0,1.82,1.82,5.91,47.61,6.5,100.0,52.39
2013-09-30,384.89,5.02,389.91,318.15,0.0,-87.2,19.7,17.49,14.82,40.26,66.7,17.17,83.87,12.19,71.67,-32.56,39.11,11.89,27.22,27.22,124.1,0.0,2.21,2.21,5.91,47.61,6.5,100.0,52.39
2013-12-31,654.25,5.63,659.89,511.71,0.0,-81.27,37.34,19.49,17.75,54.65,100.23,0.89,101.11,18.77,82.34,9.64,91.98,28.09,63.89,63.89,124.1,0.0,5.15,5.15,5.9,47.57,6.51,100.0,52.43
2014-03-31,833.32,6.42,839.74,498.42,0.0,133.17,24.05,18.02,15.08,63.55,87.46,6.19,93.65,21.7,71.95,7.04,78.99,22.8,56.19,56.19,124.1,665.59,4.53,4.53,5.9,47.54,6.51,100.0,52.46
2014-06-30,655.22,7.5,662.72,377.56,0.0,67.0,26.24,19.09,14.9,48.23,109.69,5.22,114.9,26.76,88.15,-16.69,71.45,21.25,50.2,50.2,124.1,0.0,4.05,4.05,5.9,47.54,6.51,100.0,52.46
2014-09-30,381.94,3.92,385.86,338.85,0.0,-89.45,24.4,17.35,14.88,50.23,29.61,8.61,38.22,10.77,27.46,-6.0,21.46,7.75,13.71,13.71,124.1,0.0,1.1,1.1,5.9,47.53,6.51,100.0,52.47
2014-12-31,637.68,5.25,642.93,615.44,0.0,-88.01,45.52,17.23,14.64,63.73,-25.61,1.43,-24.18,11.88,-36.06,-27.82,-63.87,-20.06,-43.82,-43.82,124.1,0.0,-3.53,-3.53,5.9,47.53,6.51,100.0,52.47
2015-03-31,776.87,7.77,784.64,447.23,0.0,151.23,16.37,20.31,14.25,81.17,54.08,4.98,59.06,10.37,48.69,3.05,51.74,24.06,27.68,27.68,124.1,663.3,2.23,2.23,5.9,47.53,6.51,100.0,52.47
