Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,123.98,123.98,340.63,340.63,464.61,106.96,0.0,0.0,177.64,247.48,5.85,56.11,120.06,429.51,1071.76,484.27,0.0,24.25,508.52,272.45,0.0,0.0,781.43,0.0,130.81,30.55,15.44,113.53,0.0,290.33,1071.76,83.9,4.3,1.51,5.51,224.73,1.6,0.0,0.0,70.68,304.24,0.0,0.01,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,123.99,123.99,381.47,381.47,505.45,106.72,0.0,0.0,252.97,411.06,5.13,49.44,185.65,651.28,1409.7,464.56,0.0,78.46,543.02,413.19,0.0,0.0,956.63,0.0,159.7,27.02,84.31,182.03,0.0,453.07,1409.7,120.61,11.05,0.0,5.51,390.21,4.6,0.0,0.0,146.25,430.2,0.0,11.15,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,123.99,123.99,379.71,379.71,503.7,107.08,0.0,0.0,287.1,346.26,6.0,76.4,208.2,636.85,1427.65,578.75,0.0,26.95,605.69,367.33,0.0,0.0,973.45,0.0,178.75,27.63,33.34,214.49,0.0,454.2,1427.65,74.96,16.11,0.0,5.51,418.93,7.6,0.0,0.0,180.02,413.59,0.0,15.38,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,123.99,123.99,404.67,404.67,528.66,105.14,0.0,0.0,278.58,305.45,78.58,49.15,243.33,676.51,1483.75,565.48,0.0,94.24,659.72,245.63,0.0,0.0,905.77,0.0,216.4,37.78,28.29,295.51,0.0,577.98,1483.75,276.54,7.43,0.0,5.51,327.73,9.1,0.0,0.0,173.44,640.52,0.0,1.12,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,124.0,124.0,430.0,430.0,554.0,98.52,0.0,0.0,246.29,543.98,69.85,63.49,281.95,959.26,1759.55,557.01,0.0,209.48,766.49,252.14,0.0,0.0,1019.1,0.0,204.46,76.34,41.0,418.65,0.0,740.45,1759.55,65.49,7.07,0.0,5.51,300.91,10.43,0.0,0.0,147.76,898.78,0.0,9.44,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,124.01,124.01,375.95,375.95,499.96,94.01,0.0,0.0,337.01,560.24,172.76,52.95,256.01,1041.96,1878.93,566.02,0.0,299.14,865.15,264.59,0.0,0.0,1147.71,0.0,170.65,49.21,31.95,479.41,0.0,731.21,1878.93,67.2,11.24,0.0,5.51,190.83,15.42,0.0,0.0,243.0,894.7,0.0,1.49,17.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,124.01,124.01,463.67,463.67,587.68,93.38,0.0,0.0,289.2,637.69,176.79,161.98,327.67,1304.14,2181.02,835.64,0.0,66.38,902.02,326.38,0.0,0.0,1248.33,0.0,339.75,36.21,82.74,473.99,0.0,932.69,2181.02,375.09,19.43,0.0,5.51,321.73,18.17,0.0,0.0,195.81,876.99,0.0,1.92,19.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,124.04,124.04,496.27,496.27,620.31,80.07,0.59,5.13,281.22,539.14,240.86,183.54,44.57,1008.12,1909.65,792.35,0.12,72.17,864.65,122.09,11.01,63.26,1061.0,85.9,401.31,123.44,26.86,211.14,0.0,848.65,1909.65,303.21,13.45,0.0,5.54,104.72,19.42,86.73,0.0,195.44,1244.97,1.33,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,124.09,124.09,538.02,538.02,662.11,89.86,0.38,3.65,283.44,822.88,129.75,140.75,44.42,1137.8,2083.35,782.93,1.09,85.36,869.37,122.09,21.27,51.89,1064.62,371.12,326.32,42.26,29.08,249.95,0.0,1018.73,2083.35,302.59,15.73,0.0,5.54,69.01,19.42,372.68,0.0,189.56,1216.96,2.69,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,124.09,124.09,597.08,597.08,721.16,93.64,0.47,13.65,247.46,570.92,185.11,234.18,79.67,1069.89,2038.52,878.86,0.67,50.61,930.13,127.4,11.15,8.5,1077.19,232.2,482.78,38.72,9.05,198.58,0.0,961.33,2038.52,191.83,25.26,0.0,5.54,101.24,24.74,249.39,0.0,139.71,191.83,2.57,25.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
