Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,23.75,23.75,551.2,551.2,574.95,113.61,133.53,0.0,0.0,247.14,5.4,420.2,0.81,43.11,469.52,1291.61,690.54,4.12,9.52,0.0,704.18,128.02,12.9,855.58,0.0,216.66,51.9,18.0,0.0,436.03,1291.61,52.15,28.81,68.24,1.24,0.0,88.18,42.81,0.0,0.0,0.0,149.47,32.69,0.0,51.25,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,23.75,23.75,655.08,655.08,678.83,186.84,164.13,0.0,0.0,350.97,0.0,451.28,0.91,55.61,507.8,1537.6,763.58,0.0,6.9,0.0,770.48,175.39,69.46,1030.95,0.0,233.23,34.56,73.87,0.0,506.65,1537.6,106.53,42.44,120.32,1.88,0.0,85.91,82.81,0.0,0.0,0.0,164.99,40.6,0.0,60.51,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,23.75,23.75,742.37,742.37,766.12,385.04,167.51,0.0,0.0,552.55,0.0,523.64,0.82,62.44,586.9,1905.57,766.78,0.0,26.97,0.0,793.75,344.19,93.51,1249.95,0.0,357.9,58.19,24.35,0.0,655.62,1905.57,123.15,45.53,176.66,4.02,0.0,147.31,209.95,0.0,0.0,0.0,215.18,67.22,0.0,17.99,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,23.75,23.75,785.52,785.52,809.27,633.56,197.2,0.0,0.0,830.76,0.0,576.62,0.4,49.73,626.75,2266.78,797.08,0.0,205.83,0.0,1002.91,344.74,58.54,1444.38,0.0,396.56,111.4,86.56,0.0,822.4,2266.78,230.73,89.8,250.29,7.81,0.0,137.38,209.95,0.0,0.0,0.0,227.88,202.44,0.0,42.67,38.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,23.75,23.75,797.83,797.83,821.58,666.34,219.95,0.0,0.0,886.29,0.0,505.01,0.75,60.99,566.75,2274.62,1016.48,0.0,26.57,0.0,1043.05,338.96,52.77,1499.83,0.0,405.38,87.86,3.73,0.0,774.79,2274.62,135.65,48.74,308.14,26.33,0.0,118.18,235.77,0.0,0.0,0.0,277.82,144.82,0.0,14.19,65.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,23.75,23.75,789.38,789.38,813.13,905.98,225.74,0.0,0.0,1131.72,0.0,549.55,0.79,65.49,615.83,2560.68,995.94,0.0,40.43,0.0,1036.37,477.71,75.33,1667.01,0.0,320.55,181.56,42.05,0.0,893.67,2560.68,170.1,67.46,499.03,25.08,0.0,55.73,393.77,0.0,0.0,0.0,349.51,229.58,0.0,3.17,77.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,23.75,23.75,841.63,841.63,865.38,1003.29,171.41,0.0,0.0,1174.7,0.0,662.63,4.58,66.87,734.08,2774.16,955.73,0.0,27.05,0.0,982.78,739.26,30.09,1808.97,0.0,289.73,220.31,101.01,0.0,965.19,2774.16,121.27,81.28,517.18,15.04,0.0,303.98,379.79,0.0,0.0,0.0,354.14,258.66,0.0,8.13,56.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,47.51,47.51,951.9,951.9,999.41,554.34,95.66,0.0,42.63,692.63,79.09,669.11,367.92,49.35,1165.47,2857.51,935.31,2.28,57.39,0.0,994.98,649.38,0.0,1740.11,11.75,527.92,270.62,6.01,94.82,1117.4,2857.51,292.83,95.87,853.48,29.36,23.75,6.05,649.05,5.64,0.0,95.75,206.28,54.66,486.91,29.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,47.51,47.51,1121.79,1121.79,1169.3,479.93,97.55,0.0,48.54,626.02,235.53,737.7,314.22,57.73,1345.18,3140.5,1019.64,5.93,52.51,0.0,1078.08,930.92,0.0,2062.2,0.0,584.56,234.07,13.03,99.75,1078.3,3140.5,325.91,100.97,1107.51,22.68,23.75,6.37,930.59,0.0,0.0,53.2,146.89,63.52,572.89,32.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,47.51,47.51,1177.16,1177.16,1224.67,494.14,93.12,0.0,53.17,640.43,51.72,822.8,326.23,53.42,1254.17,3119.27,1006.85,4.63,36.09,0.0,1047.57,868.84,0.0,1989.76,0.0,509.66,300.52,17.45,123.44,1129.51,3119.27,395.07,104.12,1155.85,29.99,23.75,10.11,866.48,0.0,0.0,73.35,178.44,41.85,499.21,14.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
