Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Short Term Loans And Advances,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,20.07,20.07,81.74,81.74,101.81,28.69,6.62,0.0,0.0,35.31,34.23,30.65,7.73,5.64,78.26,215.38,84.05,0.0,5.02,0.0,89.07,1.36,0.0,1.08,93.35,0.0,33.17,65.82,12.09,0.0,122.04,215.38,4.49,14.51,0.2,2.63,22.64,0.0,0.0,1.36,0.0,10.96,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,20.07,20.07,96.75,96.75,116.82,42.41,7.95,0.0,0.0,50.36,69.81,44.78,11.42,12.36,138.36,305.54,95.55,0.0,7.64,0.0,103.18,1.44,0.0,0.56,106.72,0.0,53.19,115.62,12.39,0.0,198.83,305.54,7.76,35.52,1.08,2.49,44.21,0.0,0.0,1.44,0.0,17.63,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,22.07,22.07,168.23,168.23,190.3,63.63,8.52,0.0,0.0,72.15,76.47,49.72,15.19,17.69,159.07,421.51,119.69,3.85,18.13,0.0,141.67,18.43,0.0,0.43,161.38,0.0,67.68,138.34,24.72,0.0,260.13,421.51,17.06,61.33,5.43,2.38,61.66,0.0,17.01,1.79,0.0,29.39,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,24.28,24.28,215.53,215.53,239.81,69.91,10.6,0.0,0.0,80.52,106.37,76.34,18.12,7.75,208.58,528.9,167.29,9.06,44.43,0.0,220.78,2.57,0.0,1.13,224.74,0.0,75.32,174.2,25.15,0.0,304.16,528.9,23.57,70.4,13.76,1.8,81.81,0.0,0.1,2.47,0.0,29.49,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,24.28,24.28,278.36,278.36,302.64,177.76,13.03,0.0,0.0,190.79,174.69,114.12,32.43,13.91,335.15,828.58,244.83,9.06,34.48,0.0,288.38,3.61,0.0,0.82,293.08,0.0,172.47,273.01,47.93,0.0,535.49,828.58,43.8,252.14,9.54,2.6,78.75,0.0,0.26,3.36,0.0,42.09,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,24.28,24.28,360.79,360.79,385.07,215.42,14.91,0.0,0.0,230.33,152.15,123.59,29.95,24.09,329.78,945.18,280.12,8.04,66.37,0.0,354.53,3.36,0.0,0.51,358.4,0.0,179.98,282.64,81.7,0.0,586.78,945.18,50.4,390.97,11.41,6.35,116.75,0.0,0.0,3.36,0.0,42.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,25.3,25.3,486.03,486.03,511.33,283.84,17.31,0.0,0.0,301.16,143.13,105.58,39.74,147.51,435.97,1248.46,335.97,7.01,78.82,0.0,421.8,20.61,0.0,0.0,442.41,0.0,228.31,337.67,54.2,0.0,806.05,1248.46,43.26,285.87,8.2,24.92,114.81,0.0,0.0,20.61,0.0,185.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,25.3,25.3,499.54,499.54,524.84,387.61,7.42,0.0,0.0,395.04,223.32,154.18,143.61,11.2,532.31,1452.19,412.71,2.39,80.85,3.59,499.55,141.22,23.36,0.0,664.13,0.0,268.17,310.08,87.48,0.0,788.06,1452.19,261.09,260.09,14.59,5.58,197.0,1.53,0.0,141.22,0.0,122.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,25.3,25.3,504.73,504.73,530.03,333.9,19.51,0.0,1.59,355.0,257.13,207.18,213.58,11.72,689.62,1574.65,493.96,16.14,35.17,19.87,565.15,151.25,19.08,0.0,735.47,0.0,287.75,380.87,50.73,0.0,839.18,1574.65,345.12,224.11,13.66,8.41,226.05,0.4,0.0,151.24,0.0,119.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,25.3,25.3,520.77,520.77,546.07,335.32,22.51,0.0,1.59,359.42,321.72,192.21,210.0,13.79,737.72,1643.2,473.64,12.61,44.7,23.15,554.09,149.53,9.86,0.0,713.48,0.0,433.03,394.24,33.47,0.0,929.73,1643.2,299.34,319.88,5.24,5.33,259.63,9.45,0.0,142.31,0.0,68.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
