Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Short Term Loans And Advances,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2014-03-31,25.3,25.3,559.86,559.86,585.16,224.07,24.57,0.0,2.03,250.67,432.42,293.08,187.85,18.98,932.32,1768.15,458.13,16.0,21.16,34.97,530.26,29.44,10.47,14.08,584.25,0.0,597.57,458.08,46.49,0.0,1183.9,1768.15,208.42,377.5,0.66,8.06,251.29,4.5,0.0,29.43,0.0,81.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,25.3,25.3,562.33,562.33,587.63,198.7,17.26,0.0,1.98,217.94,426.67,182.12,140.0,19.84,768.64,1574.21,421.77,22.21,15.59,33.79,493.37,22.75,13.44,2.43,531.98,0.0,509.26,408.77,46.11,0.0,1042.23,1574.21,193.77,224.8,0.21,5.92,178.12,0.78,0.0,22.75,0.0,78.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,25.3,25.3,598.75,598.75,624.05,104.24,14.7,2.24,1.99,123.16,415.49,163.68,102.44,16.61,698.22,1445.43,390.08,24.52,20.09,27.98,462.67,14.65,0.0,30.63,507.95,0.0,392.66,441.76,30.78,72.28,937.49,1445.43,181.22,178.25,0.0,13.63,173.23,0.45,0.0,14.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,27.72,27.72,711.68,711.68,739.4,25.92,11.17,1.68,2.13,40.91,430.09,165.46,81.63,17.21,694.39,1474.7,397.58,18.83,8.16,25.2,449.78,8.42,0.0,29.37,487.56,0.01,404.36,488.67,22.6,71.5,987.14,1474.7,169.22,230.26,0.12,16.71,173.94,0.54,0.0,8.42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,27.72,27.72,732.9,732.9,760.62,4.52,14.08,1.12,2.02,21.73,338.2,123.88,88.41,13.7,564.19,1346.54,348.0,15.12,3.87,22.15,389.13,3.42,0.0,34.93,427.48,0.02,364.11,466.51,18.55,69.86,919.05,1346.54,176.09,138.87,0.55,8.77,167.58,0.18,0.0,3.42,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,27.72,27.72,749.41,749.41,777.13,6.4,12.21,0.56,1.81,20.99,208.51,76.42,69.41,15.52,369.86,1167.98,311.11,9.26,3.88,33.33,357.58,3.42,0.0,30.05,391.06,0.02,320.76,379.32,30.63,46.2,776.92,1167.98,187.49,116.55,2.14,19.4,182.83,0.2,0.0,30.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,27.72,27.72,755.08,755.08,782.8,0.08,12.58,6.41,1.85,20.93,139.59,76.14,69.69,17.47,302.9,1106.63,277.11,24.23,4.47,22.5,328.3,3.42,0.0,23.32,355.04,0.01,302.61,317.18,73.95,57.84,751.59,1106.63,195.57,88.04,4.76,103.96,191.76,0.25,0.0,30.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,27.72,27.72,765.43,765.43,793.15,10.12,11.77,8.18,2.0,32.06,47.24,66.73,85.31,18.66,217.94,1043.15,259.61,17.4,14.27,28.59,319.87,3.42,0.0,47.16,370.46,0.03,283.55,273.8,67.37,47.95,672.69,1043.15,192.98,69.14,0.81,78.97,167.52,1.13,0.0,30.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,27.72,27.72,844.29,844.29,872.0,27.66,10.71,9.29,1.99,49.65,22.07,85.86,78.83,25.92,212.68,1134.33,251.72,10.94,41.97,38.66,343.29,5.11,0.0,30.62,379.02,0.03,301.54,307.66,102.78,43.3,755.31,1134.33,194.1,95.68,11.57,5.49,255.43,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,27.72,27.72,928.0,928.0,955.72,37.78,10.27,3.63,2.25,53.93,37.76,96.58,109.95,39.04,283.33,1292.98,304.93,11.69,24.33,24.89,365.84,8.06,2.02,42.29,418.2,0.03,331.23,323.54,143.9,76.08,874.77,1292.98,221.48,553.43,1.09,8.3,210.73,3.37,0.0,8.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,27.72,27.72,1177.62,1177.62,1205.34,15.93,7.89,2.65,2.52,28.99,34.91,128.73,158.33,67.46,389.43,1623.76,337.29,7.89,17.99,0.0,363.17,93.23,2.2,71.64,530.24,0.03,428.92,385.65,232.05,46.88,1093.53,1623.76,245.83,160.84,3.59,11.28,288.08,2.55,0.0,93.23,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
