Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Government/Other Grants,Long Term Borrowings,Expenditure In Foreign Currency,Deferred Tax Liabilities [Net],Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,80.0,80.0,1168.6,1168.6,1248.6,0.0,0.0,57.77,302.24,2133.81,383.41,2819.46,4125.83,287.98,0.0,33.7,0.0,0.0,321.68,12.28,116.15,0.0,6.74,456.85,1015.4,667.37,1434.52,551.69,0.0,3668.98,4125.83,127.22,28.46,0.0,12.28,0.0,32.95,12.05,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,80.0,80.0,1513.32,1513.32,1593.32,0.0,0.0,40.73,337.68,1673.96,763.61,2775.24,4409.28,319.34,0.0,47.36,0.0,0.0,366.7,12.28,142.38,0.0,3.71,525.07,1117.01,699.12,1315.87,752.22,0.0,3884.22,4409.28,93.09,36.9,0.0,12.28,0.0,15.31,10.84,25.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,80.0,80.0,1962.46,1962.46,2042.46,0.0,0.0,42.98,506.19,1747.23,934.85,3189.22,5274.65,368.65,1.73,21.15,0.0,0.0,391.53,12.28,162.55,0.0,2.23,568.59,1102.68,1017.69,1831.41,754.28,0.0,4706.06,5274.65,88.42,52.69,0.0,12.28,0.0,7.86,5.79,35.12,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,80.0,80.0,2512.15,2512.15,2592.15,0.0,0.0,40.96,616.11,2213.05,493.52,3322.68,5955.79,380.42,5.24,33.68,0.0,0.0,419.34,12.28,190.57,0.0,0.96,623.15,1321.2,1693.41,2081.73,236.3,0.0,5332.64,5955.79,113.22,41.41,0.0,12.28,0.0,1.72,10.45,39.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,80.0,80.0,3153.13,3153.13,3233.13,0.0,0.0,43.14,968.91,2323.87,492.51,3785.28,7061.55,404.4,9.09,33.73,0.0,0.0,447.21,11.98,184.19,0.0,0.0,643.38,1423.44,2058.89,2453.49,482.34,0.0,6418.17,7061.55,96.35,57.1,0.0,11.98,0.0,1.38,8.79,41.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,80.0,80.0,3727.12,3727.12,3807.12,0.0,0.0,44.99,952.73,3307.5,528.02,4788.25,8640.36,454.26,13.2,46.72,0.0,0.0,514.18,11.98,190.4,0.0,0.0,716.56,2505.99,2278.2,2641.95,497.67,0.0,7923.8,8640.36,113.8,72.28,0.0,11.98,0.0,1.21,5.55,43.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,80.0,80.0,4265.68,4265.68,4345.68,0.0,0.0,45.9,803.3,3627.72,1694.88,6125.91,10517.48,474.09,15.87,31.43,0.0,0.0,521.39,11.98,201.91,0.0,0.0,735.29,2536.9,2168.36,3578.41,1498.52,0.0,9782.2,10517.48,205.77,99.37,0.0,11.98,0.0,0.73,2145.74,45.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,80.0,80.0,4905.71,4905.71,4985.71,2.09,259.08,261.3,840.96,6742.28,314.53,7897.76,13161.63,481.51,2.2,55.59,2.09,0.0,541.39,11.98,180.65,110.97,110.87,955.87,2350.14,2896.58,6519.36,417.34,22.35,12205.76,13161.63,621.43,161.7,0.0,11.98,16.86,0.13,1875.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,80.0,80.0,5542.21,5542.21,5622.21,4.18,303.22,307.42,1081.43,7547.06,285.5,8913.98,14858.35,506.32,3.84,113.44,0.12,0.0,623.72,11.98,228.16,173.55,118.81,1156.22,2673.8,2686.95,6772.52,1507.98,60.89,13702.13,14858.35,1119.72,187.88,0.0,11.98,14.75,0.01,2217.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,80.0,80.0,6223.69,6223.69,6303.69,4.32,348.42,352.74,1126.85,6275.93,367.75,7770.53,14446.14,574.23,1.23,161.3,0.12,0.0,736.87,11.98,271.57,130.3,79.84,1230.57,3191.29,3334.67,5302.49,1307.95,79.18,13215.57,14446.14,787.36,166.14,0.0,11.98,19.17,0.0,2551.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
