Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Government/Other Grants,Long Term Borrowings,Expenditure In Foreign Currency,Deferred Tax Liabilities [Net],Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,80.0,80.0,6937.24,6937.24,7017.24,6.95,356.19,363.14,1197.06,5693.94,243.3,7134.29,14527.28,650.45,0.5,196.74,0.12,0.0,847.8,11.98,299.49,62.84,93.73,1315.85,3298.71,4128.54,4564.37,1153.53,66.28,13211.43,14527.28,773.64,246.22,0.0,11.98,12.61,0.0,1671.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,80.0,80.0,7805.03,7805.03,7885.03,1.08,433.29,434.37,1126.14,5401.68,343.39,6871.2,15199.7,770.54,0.57,139.66,0.12,0.0,910.88,19.12,337.8,61.57,89.33,1418.68,3369.43,3786.14,5881.53,690.43,53.48,13781.02,15199.7,762.89,358.47,0.0,19.12,9.11,0.0,1846.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,240.0,240.0,8493.83,8493.83,8733.83,2.06,513.38,515.45,1168.39,6949.96,648.39,8766.74,18022.27,957.73,0.69,221.87,207.84,0.0,1388.13,317.95,372.33,72.53,74.95,2225.89,4167.89,3711.9,7331.94,526.57,58.08,15796.38,18022.27,1116.34,558.73,160.0,317.95,6.25,0.0,2279.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,223.36,223.36,7285.18,7285.18,7508.54,23.68,890.19,930.54,1330.61,6976.33,410.11,8717.05,17156.13,1254.76,0.43,363.89,292.42,0.12,1911.62,459.7,532.28,37.18,193.75,3134.53,4855.76,4354.88,3790.18,43.28,977.5,14021.6,17156.13,0.0,0.0,148.89,459.7,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,243.66,243.66,7517.35,7517.35,7761.01,43.96,817.16,894.45,1401.07,8023.02,443.27,9867.36,18522.82,1604.41,2.57,395.45,437.35,0.11,2439.89,903.15,431.17,45.77,469.53,4289.51,4551.32,5049.5,738.7,27.24,3866.55,14233.31,18522.82,2929.52,0.0,171.25,903.15,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,243.66,243.66,8775.25,8775.25,9018.91,96.94,921.43,1018.37,1435.01,8532.96,458.19,10426.16,20463.44,2059.84,24.46,275.07,446.29,0.1,2805.76,1019.27,471.2,40.05,324.69,4660.97,4413.65,5369.21,883.98,32.82,5102.81,15802.47,20463.44,1380.41,0.0,171.25,1019.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,243.66,243.66,9609.28,9609.28,9852.94,119.55,1160.57,1280.12,2424.75,10037.92,315.36,12778.03,23911.09,2496.63,22.97,199.44,483.43,0.09,3202.56,1161.67,497.4,33.09,369.23,5263.95,3962.75,6732.91,1557.7,32.62,6361.16,18647.14,23911.09,2739.02,0.0,171.25,1161.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,243.66,243.66,10564.23,10564.23,10807.89,73.1,1407.44,1480.54,3296.54,13125.72,342.46,16764.72,29053.15,2422.65,57.3,350.69,385.56,0.08,3216.28,1331.19,463.39,33.24,393.06,5437.16,4954.67,6551.54,5008.21,19.46,7082.11,23615.99,29053.15,2484.55,0.0,171.25,1331.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,243.66,243.66,11740.6,11740.6,11984.26,133.59,1800.06,1933.65,3365.96,15750.44,415.63,19532.03,33449.94,2454.51,69.05,398.55,460.45,0.07,3382.63,1554.24,620.7,7.28,727.93,6292.78,5539.56,6103.39,7499.14,1.48,8013.59,27157.16,33449.94,2607.83,0.0,171.25,1554.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,730.98,730.98,12851.01,12851.01,13581.99,124.71,838.97,963.68,3319.66,16566.0,623.15,20508.81,35054.48,2596.3,75.83,361.57,479.7,0.06,3513.46,664.4,503.39,6.56,463.39,5151.2,6406.18,7022.01,8009.0,1.72,8464.37,29903.28,35054.48,3147.36,0.0,171.25,664.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,730.98,730.98,15351.41,15351.41,16082.39,122.14,961.04,1083.18,3693.65,17607.43,689.0,21990.08,39155.65,2699.11,59.78,453.77,437.3,0.04,3650.0,767.79,574.16,7.03,265.52,5264.5,7407.59,7362.19,10968.1,1.41,8151.86,33891.15,39155.65,4455.23,0.0,171.25,767.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
