Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1443.7,21.53,1465.22,1028.63,120.44,-203.33,240.59,31.85,119.19,127.86,129.51,257.37,0.08,257.29,257.29,59.69,197.59,197.59,80.0,24.7,24.7,1.93,24.14,6.07,100.0,75.86
2013-03-31,2727.63,50.48,2778.11,1220.23,367.34,53.22,311.96,37.38,232.53,555.46,172.8,728.26,0.37,727.9,727.9,135.2,592.7,592.7,80.0,74.09,74.09,1.93,24.14,6.07,100.0,75.86
2013-06-30,884.59,13.66,898.25,531.83,71.82,-41.99,301.61,33.74,90.96,-89.73,112.34,22.61,0.26,22.35,22.35,5.17,17.19,17.19,80.0,2.15,2.15,1.93,24.14,6.07,100.0,75.86
2013-09-30,1009.32,35.51,1044.84,561.07,88.02,-30.4,276.72,34.23,147.7,-32.52,109.31,76.79,0.0,76.79,76.79,17.34,59.45,59.45,80.0,7.43,7.43,1.93,24.14,6.07,100.0,75.86
2013-12-31,1172.41,29.01,1201.42,672.48,78.41,-126.08,284.85,34.02,114.02,143.73,101.69,245.43,0.97,244.45,244.45,52.71,191.74,191.74,80.0,23.97,23.97,1.93,24.14,6.07,100.0,75.86
2014-03-31,3055.96,75.06,3131.01,1374.15,205.77,245.81,167.24,40.11,369.76,728.17,105.14,833.31,2.16,831.15,831.15,167.91,663.24,663.24,80.0,82.91,82.91,2.0,24.98,6.0,100.0,75.02
2014-06-30,996.71,15.5,1012.22,510.68,85.19,55.51,297.66,36.37,108.69,-81.88,115.21,33.34,0.0,33.34,33.34,7.73,25.61,25.61,80.0,3.2,3.2,2.0,24.98,6.0,100.0,75.02
2014-09-30,1265.73,28.3,1294.03,452.31,376.67,-92.19,297.63,37.52,140.7,81.39,110.64,192.03,0.32,191.71,191.71,44.75,146.96,146.96,80.0,18.37,18.37,2.0,24.98,6.0,100.0,75.02
2014-12-31,1581.66,26.58,1608.24,807.54,108.18,-29.23,301.69,37.44,141.92,240.71,113.54,354.25,0.0,354.24,354.24,82.44,271.81,271.81,80.0,33.98,33.98,2.0,24.98,6.0,100.0,75.02
2015-03-31,2831.43,96.73,2928.16,1253.57,150.4,101.93,366.46,42.64,263.21,749.95,138.57,888.52,1.12,887.39,887.39,164.53,722.87,722.87,80.0,90.36,90.36,2.0,24.98,6.0,100.0,75.02
2015-06-30,1070.89,28.84,1099.73,683.21,68.32,-57.96,294.61,40.75,103.76,-32.96,133.71,100.75,0.0,100.75,100.75,24.06,76.69,76.69,80.0,3.2,3.2,2.0,24.98,6.0,100.0,75.02
2015-09-30,1524.98,20.01,1544.99,863.91,64.64,-83.66,311.73,40.72,207.76,139.89,131.57,271.46,0.26,271.2,271.2,65.35,205.85,205.85,240.0,8.58,8.58,0.0,0.0,0.0,0.0,0.0
2015-12-31,1573.53,26.21,1599.74,832.15,64.55,-131.78,314.34,41.83,243.18,235.47,133.47,368.94,0.14,368.8,368.8,88.66,280.14,280.14,240.0,11.67,11.67,0.0,0.0,0.0,0.0,0.0
2016-03-31,3144.4,79.14,3223.54,1342.14,141.85,39.2,336.58,48.91,457.71,857.15,138.33,995.48,4.11,991.37,991.37,246.69,744.68,744.68,240.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0
2016-06-30,854.3,24.7,879.0,672.82,64.28,-267.25,316.37,43.46,131.9,-82.58,131.17,48.59,0.0,48.59,48.59,12.5,36.09,36.09,240.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0
2016-09-30,1755.89,38.73,1794.62,780.04,125.94,-52.91,327.62,45.49,275.51,292.93,171.39,464.32,0.25,464.07,464.07,117.82,346.25,346.25,240.0,14.43,14.43,0.0,0.0,0.0,0.0,0.0
2016-12-31,1942.25,99.83,2042.08,1227.04,62.99,-260.17,343.19,45.46,186.26,437.31,77.6,514.91,10.64,504.27,504.27,130.73,373.54,373.54,223.36,16.72,16.72,0.0,0.0,0.0,0.0,0.0
2017-03-31,3835.2,152.48,3987.68,1649.51,249.6,161.2,561.13,57.11,386.61,922.52,90.86,1013.38,0.89,1012.49,1012.49,220.75,791.74,791.74,223.36,3.39,3.39,0.0,0.0,0.0,0.0,0.0
2017-06-30,1694.55,30.28,1724.83,978.7,155.98,-180.66,462.3,56.07,145.17,107.27,72.26,179.53,0.26,179.27,179.27,53.95,125.32,125.32,223.36,0.56,0.56,0.0,0.0,0.0,0.0,0.0
