Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,50.01,235.68,-10.66,-10.66,0.0,225.02,0.12,19.97,0.0,0.0,19.97,0.0,0.0,20.19,0.0,20.19,265.3,26.14,0.0,16.98,43.12,157.67,0.0,0.0,200.79,0.0,18.19,0.99,0.0,64.51,265.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.34,0.0,185.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,200.75,398.34,-111.37,-111.37,0.0,286.97,0.0,91.72,0.0,0.0,91.72,0.0,0.0,36.38,0.0,36.38,415.07,79.53,0.0,1.64,81.17,212.83,0.01,0.0,294.01,0.0,29.57,5.68,0.0,121.05,415.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.81,0.0,197.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,201.88,399.47,18.38,18.38,0.0,417.85,0.2,93.69,0.0,0.0,93.69,27.28,0.0,63.38,3.42,94.08,605.82,78.02,5.21,0.65,83.88,249.4,0.0,0.0,333.27,0.0,44.15,1.92,126.8,272.55,605.82,9.04,22.26,313.65,3.48,249.4,0.0,0.0,99.67,26.44,197.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,425.08,425.08,603.9,603.9,0.0,1028.99,0.0,65.98,0.0,0.0,65.98,6.11,0.0,71.59,5.39,83.08,1178.05,94.91,12.83,6.29,114.03,439.88,0.0,0.0,553.91,0.0,119.04,261.1,128.08,624.14,1178.05,11.58,15.82,390.48,3.55,439.88,0.0,0.0,115.93,13.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,427.31,427.31,88.29,88.29,0.0,515.61,0.0,1113.7,0.0,0.0,1113.7,10.44,0.0,57.21,448.12,515.77,2145.07,88.44,20.28,6.09,114.81,1701.18,19.31,0.0,1835.29,0.0,108.67,31.18,0.0,309.78,2145.07,20.98,15.14,366.93,4.14,1701.18,0.0,0.0,169.93,9.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,428.19,428.19,515.33,515.33,0.0,943.52,0.0,1327.22,0.0,0.0,1327.22,15.52,0.0,116.18,19.76,151.47,2422.21,110.58,26.23,6.93,143.75,1864.7,24.62,0.0,2033.06,0.0,143.67,15.31,0.0,389.14,2422.21,24.0,9.12,354.94,5.18,1864.7,0.0,0.0,230.16,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,429.21,429.21,560.16,560.16,0.0,989.37,0.35,126.51,0.0,0.0,126.51,1079.16,42.97,14.13,33.18,1169.44,2285.66,81.95,29.07,6.26,117.27,1110.69,30.37,0.0,1258.33,0.0,99.43,11.84,0.0,1027.33,2285.66,22.53,20.56,396.59,4.08,1110.69,0.0,0.0,916.06,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,430.64,430.64,491.74,491.74,0.0,922.37,0.0,1267.67,0.0,24.77,1292.44,43.18,55.85,131.1,6.65,236.78,2451.59,79.15,78.28,0.02,157.45,1006.38,35.78,27.04,1300.72,98.68,152.99,147.56,59.38,1150.87,2451.59,70.68,25.7,0.0,486.38,1006.38,98.68,74.08,692.26,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,430.78,430.78,449.32,449.32,0.0,880.1,0.0,10.13,0.0,0.0,10.13,36.67,62.85,1292.77,10.12,1402.41,2292.64,75.84,60.68,1.87,138.4,1160.84,39.28,31.23,1467.28,30.7,155.2,556.33,23.15,825.36,2292.64,1192.69,27.81,0.0,511.79,1160.84,30.7,97.54,59.98,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,657.67,657.67,574.82,574.82,0.0,1232.49,0.0,112.76,0.0,9.56,122.32,0.0,44.36,216.23,4.99,265.58,1620.4,53.9,42.52,1.76,98.17,1168.61,40.66,65.02,1459.35,0.0,82.72,25.33,26.42,161.05,1620.4,1479.66,22.72,0.0,585.24,1168.61,0.0,86.88,26.59,15.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
