Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,348.11,0.94,349.04,110.73,179.55,-37.34,17.35,2.87,23.82,29.22,22.85,1.46,24.31,4.94,19.37,19.37,4.02,15.35,15.35,29.85,5.14,5.14,1.04,34.79,1.95,100.0,65.21
2013-03-31,371.43,7.29,378.72,104.38,208.13,-26.81,18.24,2.88,32.29,22.54,17.07,0.52,17.59,6.26,11.33,11.33,2.39,8.94,8.94,29.85,2.99,2.99,1.04,34.71,1.95,100.0,65.29
2013-06-30,406.01,2.15,408.16,107.03,167.54,28.33,21.67,2.87,30.8,21.84,28.07,1.1,29.17,5.49,23.68,23.68,6.04,17.64,17.64,29.85,5.91,5.91,1.03,34.5,1.95,100.0,65.5
2013-09-30,331.17,2.87,334.04,129.15,126.55,-13.87,22.02,2.85,18.58,24.55,24.2,1.13,25.34,4.81,20.52,20.52,6.04,14.48,14.48,29.85,4.85,4.84,1.03,34.48,1.96,100.0,65.52
2013-12-31,349.97,2.96,352.93,129.64,155.32,-27.0,20.49,3.15,20.82,24.54,25.98,1.24,27.22,5.43,21.78,21.78,4.25,17.53,17.53,29.85,5.88,5.87,1.03,34.48,1.96,100.0,65.52
2014-03-31,418.99,3.45,422.44,128.42,185.97,4.63,20.63,3.17,22.86,24.51,32.26,1.37,33.62,5.33,28.3,28.3,7.82,20.48,20.48,29.85,6.86,6.85,1.01,33.84,1.97,100.0,66.16
2014-06-30,473.9,3.8,477.7,123.77,228.81,1.11,25.43,3.71,33.0,25.12,36.74,0.66,37.4,5.4,32.0,32.0,9.74,22.25,22.25,29.85,7.46,7.44,1.01,33.77,1.98,100.0,66.23
2014-09-30,427.24,4.01,431.25,159.12,190.2,-39.1,27.47,3.81,24.45,33.47,31.83,1.07,32.9,5.25,27.65,27.65,8.48,19.17,19.17,29.86,6.42,6.36,1.01,33.79,1.98,100.0,66.21
2014-12-31,389.8,5.56,395.37,117.2,157.33,13.45,27.4,3.89,28.21,30.12,17.77,1.15,18.92,5.33,13.59,13.59,4.36,9.23,9.23,29.92,3.09,3.05,1.02,33.93,1.98,100.0,66.07
2015-03-31,439.53,2.07,441.61,110.5,202.0,15.27,27.87,4.03,22.23,28.47,31.23,1.61,32.84,4.63,28.21,28.21,8.14,20.07,20.07,29.97,6.7,6.63,1.02,34.05,1.98,100.0,65.95
2015-06-30,494.44,4.84,499.29,146.67,195.97,17.41,30.17,3.86,35.94,29.65,39.61,1.59,41.2,3.97,37.23,37.23,12.07,25.16,25.16,29.97,8.39,8.3,1.02,34.05,1.98,100.0,65.95
2015-09-30,431.11,2.3,433.41,119.85,167.69,21.44,31.21,3.84,25.64,31.11,32.63,1.73,34.36,2.25,32.11,32.11,9.05,23.06,23.06,30.0,7.69,7.61,1.02,34.11,1.98,100.0,65.89
2015-12-31,414.15,2.13,416.28,122.19,171.61,-6.2,28.69,3.83,30.1,35.27,30.79,1.82,32.61,1.48,31.13,31.13,9.65,21.48,21.48,30.02,7.16,7.08,0.0,0.0,0.0,0.0,0.0
2016-03-31,510.07,3.23,513.3,114.19,211.11,30.4,28.24,3.83,31.29,34.64,59.62,2.09,61.71,1.23,60.48,60.48,18.51,41.97,41.97,30.09,13.97,13.84,0.0,0.0,0.0,0.0,0.0
2016-06-30,569.9,2.78,572.68,142.74,250.3,2.68,31.17,3.88,43.58,38.4,59.93,3.13,63.06,0.59,62.47,62.47,19.69,42.78,42.78,30.1,14.22,14.08,0.0,0.0,0.0,0.0,0.0
2016-09-30,493.2,1.9,495.1,159.9,216.1,-42.83,32.69,3.95,34.6,41.35,49.33,3.77,53.11,0.54,52.57,52.57,13.37,39.2,39.2,30.18,1.3,1.28,0.0,0.0,0.0,0.0,0.0
2016-12-31,457.13,2.45,459.58,121.97,195.45,-12.24,33.79,4.2,40.02,42.01,34.39,3.35,37.73,0.5,37.23,37.23,9.27,27.96,27.96,30.22,0.93,0.91,0.0,0.0,0.0,0.0,0.0
2017-03-31,623.26,0.0,623.26,160.86,285.61,-2.56,39.86,4.2,0.0,80.13,55.16,3.21,58.37,0.48,57.89,57.89,16.04,41.86,41.86,42.47,0.99,0.97,0.0,0.0,0.0,0.0,0.0
