Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2019-06-30,214.24,214.24,76.44,7.56,-10.02,38.38,101.89,7.1,108.99,1.77,107.22,107.22,35.17,72.06,72.06,126.79,5.68,0.0
2019-09-30,218.08,218.08,63.47,7.83,10.02,36.18,100.59,10.74,111.33,1.94,109.38,109.38,-9.99,119.37,119.37,126.79,9.42,9.42
2019-12-31,219.44,219.44,68.61,7.98,0.0,32.01,110.84,7.52,118.36,1.87,116.48,116.48,29.4,87.08,87.08,126.79,6.87,0.0
2020-03-31,179.77,179.77,100.41,9.85,0.28,27.21,42.02,4.9,46.92,3.72,43.2,43.2,12.55,30.65,30.65,126.79,2.42,2.42
2020-06-30,210.05,210.05,89.03,7.63,0.0,29.34,84.05,7.72,91.77,1.12,90.65,90.65,21.57,69.09,69.09,126.79,5.45,5.45
2020-09-30,225.95,225.95,82.42,8.69,0.0,26.81,108.03,10.47,118.5,2.32,116.19,116.19,27.8,88.39,88.39,126.79,6.97,6.97
2020-12-31,260.32,260.32,107.58,9.01,0.0,27.29,116.44,5.98,122.42,2.26,120.16,120.16,39.43,80.73,80.73,126.79,6.37,6.37
2021-03-31,244.24,244.24,62.6,8.53,0.0,43.43,129.68,3.42,133.1,2.28,130.82,130.82,17.36,113.46,113.46,126.79,8.95,8.95
2021-06-30,275.71,275.71,85.25,8.49,0.0,35.84,146.13,4.18,150.31,2.3,148.01,148.01,29.0,119.01,119.01,126.79,9.39,9.39
2021-09-30,272.53,272.53,89.81,8.52,0.0,30.29,143.91,0.52,144.43,2.07,142.36,142.36,21.97,120.39,120.39,126.83,9.49,9.46
2021-12-31,249.01,249.01,86.43,8.78,0.0,30.4,123.4,0.13,123.53,2.55,120.98,120.98,17.16,103.82,103.82,126.89,8.18,8.14
2022-03-31,262.37,262.37,100.97,8.98,0.0,35.4,117.02,0.13,117.15,2.23,114.92,114.92,40.35,74.57,74.57,126.95,5.88,5.86
2022-06-30,239.38,239.38,86.44,9.06,0.0,33.19,110.69,0.73,111.42,2.28,109.14,109.14,7.16,101.98,101.98,126.96,8.03,8.03
2022-09-30,316.26,316.26,89.8,9.42,0.0,38.79,178.25,0.16,178.41,2.37,176.04,176.04,56.84,119.2,119.2,126.96,9.39,9.39
2022-12-31,280.49,280.49,89.77,9.74,0.0,32.3,148.68,0.09,148.77,2.45,146.32,146.32,38.16,108.16,108.16,126.97,8.52,8.52
2023-03-31,263.16,263.16,91.26,9.54,0.0,42.76,119.6,8.4,128.0,2.42,125.58,125.58,27.23,98.35,98.35,126.98,7.75,7.75
2023-06-30,352.45,352.45,88.52,8.9,0.0,38.4,216.63,0.17,216.8,2.5,214.3,214.3,49.8,164.5,164.5,126.98,12.95,12.95
2023-09-30,311.26,311.26,94.9,9.45,0.0,38.54,168.37,0.16,168.53,2.74,165.79,165.79,31.37,134.42,134.42,127.0,10.59,10.57
2023-12-31,346.12,346.12,87.69,9.44,0.0,43.78,205.21,0.39,205.6,2.79,202.81,202.81,52.53,150.28,150.28,127.24,11.83,11.82
2024-03-31,327.48,327.48,97.25,10.66,0.0,36.71,182.86,3.12,185.98,2.92,183.06,183.06,31.74,151.32,151.32,127.26,11.89,11.87
2024-06-30,386.56,386.56,91.77,10.16,0.0,36.45,248.18,3.45,251.63,3.07,248.56,248.56,62.75,185.81,185.81,127.28,14.6,14.55
2024-09-30,416.64,416.64,94.76,10.18,0.0,41.45,270.25,1.54,271.79,2.98,268.81,268.81,67.61,201.2,201.2,127.48,15.79,15.7
2024-12-31,329.13,329.13,87.93,10.22,0.0,41.47,189.51,0.82,190.33,3.12,187.21,187.21,44.72,142.49,142.49,127.92,11.17,11.1
2025-03-31,316.88,316.88,89.52,10.63,0.0,46.14,170.59,1.42,172.01,3.25,168.76,168.76,44.74,124.02,124.02,127.98,9.69,9.66
