Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2014-12-31,782.16,18.85,801.01,184.84,124.64,29.37,114.95,16.97,236.17,94.07,38.95,133.02,18.96,114.06,0.0,114.06,0.08,113.98,0.0,113.98,23.91,0.0,9.5,9.5
2015-03-31,743.12,16.6,16.6,198.71,143.97,-12.89,145.18,16.68,181.22,-656.27,50.87,-605.4,17.15,-622.55,0.0,-622.55,-0.18,-622.37,0.0,120.75,23.91,3076.8,0.0,0.0
2015-06-30,932.96,18.76,951.72,267.95,164.76,-52.25,173.55,17.01,233.11,147.59,32.85,180.44,18.19,162.25,0.0,162.25,-4.71,166.96,0.0,166.96,23.91,0.0,0.0,0.0
2015-09-30,1080.09,27.83,1107.92,232.95,170.37,47.97,185.94,20.65,232.22,217.82,54.45,272.27,15.06,257.21,0.0,257.21,9.43,247.78,0.0,247.78,23.91,0.0,20.7,20.7
2015-12-31,975.36,27.89,1003.25,197.89,109.57,56.44,176.26,17.76,232.28,213.05,32.49,245.54,13.68,231.86,0.0,231.86,18.78,213.08,0.0,213.08,23.91,0.0,17.8,17.8
2016-03-31,825.97,30.29,856.26,271.74,167.24,-86.22,137.69,18.11,281.79,65.91,40.73,106.64,6.37,100.27,0.0,100.27,85.76,14.51,0.0,14.51,23.91,0.0,1.21,1.21
2016-06-30,1141.87,17.87,1159.74,301.98,177.64,-18.38,188.57,17.52,262.43,229.98,32.82,262.8,5.4,257.4,0.0,257.4,5.92,251.48,0.0,251.48,23.91,0.0,21.03,21.03
2016-09-30,1305.68,21.54,1327.22,315.24,203.13,4.31,201.68,19.28,302.28,281.3,30.69,311.99,6.93,305.06,0.0,305.06,9.92,295.14,0.0,295.14,23.91,0.0,24.68,24.68
2016-12-31,1140.94,19.69,1160.63,307.97,170.79,-50.93,212.01,19.73,300.16,200.9,23.12,224.02,6.64,217.38,0.0,217.38,3.67,213.71,0.0,213.71,23.91,0.0,17.87,17.87
2017-03-31,1005.73,0.0,1005.73,307.07,223.48,-146.92,159.0,19.95,353.82,89.33,29.97,119.3,4.71,114.59,0.0,114.59,-8.24,122.83,0.0,122.83,23.91,0.0,10.27,10.27
2017-06-30,1127.15,0.0,1127.15,376.83,184.03,-59.2,196.7,23.42,277.36,128.01,23.77,151.78,7.53,144.25,0.0,144.25,32.13,112.12,0.0,112.12,23.91,0.0,9.38,9.38
2017-09-30,1568.02,0.0,1568.02,233.96,147.11,204.51,222.11,25.75,317.87,416.71,20.3,437.01,11.3,425.71,0.0,425.71,94.95,330.76,0.0,330.76,23.91,0.0,27.66,27.66
2017-12-31,1422.52,0.0,1422.52,363.88,273.98,-128.89,223.27,28.3,376.81,285.17,22.69,307.86,7.18,300.68,0.0,300.68,87.71,212.97,0.0,212.97,23.91,0.0,17.81,17.81
2018-03-31,1165.27,0.0,1165.27,353.02,233.83,-107.84,219.55,30.18,381.42,55.11,14.9,70.01,6.36,63.65,0.0,63.65,3.66,59.99,0.0,59.99,23.91,0.0,5.02,5.02
2018-06-30,1280.36,0.0,1280.36,303.7,189.63,1.12,242.76,31.61,352.47,159.07,8.97,168.04,10.42,157.62,0.0,157.62,28.13,129.49,0.0,129.49,23.91,0.0,10.83,10.83
2018-09-30,1440.22,0.0,1440.22,371.05,126.16,56.82,228.35,33.37,354.19,270.28,23.43,293.71,8.94,284.77,0.0,284.77,46.47,238.3,0.0,238.3,23.91,0.0,19.93,19.93
2018-12-31,1536.03,0.0,1536.03,396.37,182.14,38.94,244.03,35.11,350.82,288.62,5.75,294.37,7.45,286.92,0.0,286.92,45.69,241.23,0.0,241.23,23.91,0.0,20.18,20.18
2019-03-31,1467.84,0.0,1467.84,426.1,190.16,-10.32,244.95,40.98,378.94,197.03,19.07,216.1,1.45,214.65,0.0,214.65,23.83,190.82,0.0,190.82,23.91,0.0,15.96,15.96
2019-06-30,1498.51,0.0,1498.51,463.37,201.7,-93.76,283.58,40.13,378.5,224.99,12.72,237.71,9.15,228.56,0.0,228.56,17.94,210.62,0.0,210.62,23.91,0.0,17.62,17.62
2019-09-30,1894.65,0.0,1894.65,441.43,217.7,83.93,275.5,40.25,391.04,444.8,30.59,475.39,10.1,465.29,0.0,465.29,31.27,434.02,0.0,434.02,23.91,0.0,36.3,36.3
2019-12-31,1596.4,0.0,1596.4,468.7,186.38,-101.44,282.13,42.7,396.93,321.0,26.75,347.75,9.95,337.8,0.0,337.8,-10.77,348.57,0.0,348.57,23.91,0.0,29.15,29.15
2020-03-31,1687.52,0.0,1687.52,426.37,178.6,77.58,225.55,63.76,425.64,290.02,25.92,315.94,9.51,306.43,0.0,306.43,35.22,271.21,0.0,271.21,23.91,0.0,22.68,22.68
2020-06-30,1550.85,0.0,1550.85,466.4,210.18,-183.41,284.43,47.85,266.68,458.72,32.45,491.17,12.04,479.13,0.0,479.13,52.97,426.16,0.0,426.16,23.91,0.0,35.64,35.64
2020-09-30,1984.1,0.0,1984.1,391.54,257.38,109.56,295.13,51.62,336.22,542.65,24.84,567.49,14.76,552.73,0.0,552.73,57.53,495.2,0.0,495.2,23.91,0.0,41.42,41.42
2020-12-31,1778.75,0.0,1778.75,611.99,244.84,-207.36,288.2,50.08,397.91,393.09,72.46,465.55,8.77,456.78,0.0,456.78,55.8,400.98,0.0,400.98,23.91,0.0,33.54,33.54
2021-03-31,1917.47,0.0,1917.47,576.59,207.39,-20.08,290.96,49.38,446.2,367.03,48.77,415.8,7.36,408.44,-12.78,395.66,32.92,362.74,0.0,362.74,23.91,0.0,30.34,30.34
2021-06-30,2278.67,0.0,2278.67,653.81,262.97,-4.16,402.23,51.72,413.25,498.85,39.21,538.06,9.06,529.0,0.0,529.0,59.73,469.27,0.0,469.27,23.91,0.0,39.25,39.25
2021-09-30,2363.99,0.0,2363.99,696.75,298.72,-67.05,361.5,53.82,486.23,534.02,43.21,577.23,8.5,568.73,0.0,568.73,10.72,558.01,0.0,558.01,23.91,0.0,46.67,46.67
2021-12-31,2180.84,0.0,2180.84,733.19,269.46,-174.82,340.08,58.43,540.67,413.83,63.24,477.07,7.26,469.81,0.0,469.81,32.72,437.09,0.0,437.09,23.91,0.0,36.56,36.56
2022-03-31,2006.31,0.0,2006.31,766.0,245.89,-114.87,330.68,55.01,578.92,144.68,54.23,198.91,13.08,185.83,0.0,185.83,108.95,76.88,0.0,76.88,23.91,0.0,6.43,6.43
2022-06-30,2058.35,0.0,2058.35,607.31,183.91,126.77,387.03,56.81,570.02,126.5,55.31,181.81,22.02,159.79,0.0,159.79,19.69,140.1,0.0,140.1,23.91,0.0,11.72,11.72
2022-09-30,2461.49,0.0,2461.49,674.81,255.35,124.38,412.97,57.74,588.3,347.94,73.64,421.58,20.02,401.56,0.0,401.56,50.87,350.69,0.0,350.69,23.91,0.0,29.33,29.33
2022-12-31,2296.72,0.0,2296.72,688.78,268.89,-38.34,369.82,58.14,551.6,397.83,60.74,458.57,22.62,435.95,0.0,435.95,47.06,388.89,0.0,388.89,23.91,0.0,32.53,32.53
2023-03-31,2237.99,0.0,2237.99,658.88,234.98,44.92,346.4,57.16,620.82,274.83,76.6,351.43,21.74,329.69,0.0,329.69,74.9,254.79,0.0,254.79,23.91,0.0,21.31,21.31
2023-06-30,2253.17,0.0,2253.17,689.37,245.17,-63.23,414.06,58.11,634.05,275.64,64.7,340.34,21.42,318.92,0.0,318.92,47.48,271.44,0.0,271.44,23.91,0.0,22.7,22.7
