Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2008-03-31,11.96,11.96,834.48,834.48,846.43,287.62,0.0,0.0,313.52,0.0,0.0,82.75,34.45,117.2,1277.15,371.77,0.0,13.26,0.0,385.02,192.51,0.0,0.0,0.0,577.53,0.0,205.8,98.35,300.01,95.46,0.0,699.62,1277.15,24.21,3.7,73.51,0.0,8.87,1.77,191.12,0.0,0.0,25.9,20.44,0.0,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,11.96,11.96,972.79,972.79,984.75,403.28,0.0,0.0,435.25,0.0,0.0,115.01,60.24,175.25,1595.24,390.01,0.0,6.14,0.0,396.14,26.2,0.0,0.0,0.0,422.35,0.0,195.92,106.4,727.88,142.7,0.0,1172.9,1595.24,17.37,10.51,99.85,0.0,8.87,1.98,25.18,0.0,0.0,31.97,26.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,11.96,11.96,1193.37,1193.37,1205.33,69.55,0.0,0.0,99.75,0.0,0.0,174.41,79.86,254.27,1559.34,392.17,0.0,8.32,0.0,400.49,19.69,0.0,0.0,0.0,420.17,0.0,175.7,116.81,661.56,185.1,0.0,1139.17,1559.34,26.45,17.67,118.58,4.16,8.87,0.0,1.19,0.0,0.0,30.2,30.84,0.0,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.96,11.96,1447.77,1447.77,1459.73,66.89,0.0,49.83,139.53,661.13,163.24,83.61,63.66,971.64,2570.9,484.31,0.0,0.0,0.0,484.31,16.54,0.0,127.02,460.41,1088.28,36.63,227.92,162.15,980.17,39.68,36.07,1482.62,2570.9,276.47,26.95,151.94,1.61,5.98,3.06,13.95,43.94,0.0,22.81,36.75,2.37,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,11.96,11.96,1851.79,1851.79,1863.75,127.19,0.0,50.6,211.34,671.57,259.02,97.77,62.73,1091.09,3166.18,664.92,0.0,0.0,0.0,664.92,348.36,0.0,266.84,676.53,1956.65,23.81,309.22,251.71,493.25,86.41,45.13,1209.53,3166.18,376.77,37.29,170.26,4.79,5.98,252.47,95.89,25.66,0.0,33.55,42.55,11.5,27.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,11.96,11.96,2290.78,2290.78,2302.74,92.28,0.0,49.4,189.72,1093.75,254.34,124.42,46.25,1518.76,4011.22,832.06,0.0,0.0,0.0,832.06,513.22,0.0,380.53,292.72,2018.53,66.19,452.8,291.81,965.18,129.18,87.53,1992.69,4011.22,530.69,56.5,225.39,28.03,5.98,270.28,242.94,29.21,0.0,48.04,60.67,8.98,26.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,11.96,11.96,2703.0,2703.0,2714.96,53.92,0.0,47.35,145.33,845.22,276.05,169.84,50.16,1341.27,4201.56,909.39,0.0,0.0,0.0,909.39,691.04,0.0,498.9,782.68,2882.01,248.95,504.56,290.32,122.76,120.21,32.75,1319.55,4201.56,358.91,83.49,277.52,31.96,5.98,59.77,631.27,253.45,0.0,44.06,120.42,8.36,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,23.91,23.91,3076.8,3076.8,3100.71,28.13,0.0,61.66,156.56,1046.28,342.52,153.62,66.65,1609.07,4866.34,966.35,0.0,0.0,0.0,966.35,1010.65,0.0,646.39,460.12,3083.51,59.91,548.24,375.01,633.32,119.47,46.88,1782.83,4866.34,400.32,113.44,344.38,7.24,11.96,164.12,852.88,10.12,51.75,66.77,120.72,10.73,14.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,23.91,23.91,3575.59,3575.59,3599.5,0.0,2.65,65.97,68.62,350.62,466.5,254.36,82.81,1154.29,4822.41,847.07,27.61,146.55,0.0,1021.23,884.75,409.39,138.64,289.0,2743.01,272.92,590.03,480.44,524.03,8.2,203.78,2079.4,4822.41,457.75,147.14,0.0,656.33,11.96,184.3,700.45,0.01,194.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,23.91,23.91,4368.74,4368.74,4392.65,0.0,11.29,81.06,92.35,368.23,685.24,256.94,102.94,1413.35,5898.35,1103.21,22.42,218.44,0.0,1344.07,1225.64,591.0,41.76,427.85,3630.32,292.0,858.76,633.32,199.06,24.7,260.19,2268.03,5898.35,452.6,190.32,0.0,841.0,11.96,243.81,997.42,15.59,276.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
