Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,126.59,8.89,135.48,86.08,0.0,-13.02,0.0,5.82,2.38,20.54,33.68,1.0,34.67,1.57,33.1,33.1,10.73,22.37,22.37,9.87,4.53,4.53,1.23,25.01,3.7,100.0,74.99
2012-12-31,139.34,2.49,141.83,92.9,0.0,-2.28,0.0,5.99,2.66,20.16,22.39,1.03,23.42,5.28,18.15,18.15,5.71,12.44,12.44,9.87,2.52,2.52,1.23,25.01,3.7,100.0,74.99
2013-03-31,163.09,2.65,165.74,94.33,0.0,9.48,0.0,5.25,2.71,19.21,34.75,1.0,35.75,2.21,33.54,33.54,12.07,21.47,21.47,9.87,4.35,4.35,1.23,25.01,3.7,100.0,74.99
2013-06-30,147.87,4.49,152.36,85.23,0.0,4.89,0.0,6.72,3.64,29.92,21.96,1.66,23.62,4.76,18.86,18.86,6.2,12.65,12.65,9.87,2.56,2.56,1.23,25.01,3.7,100.0,74.99
2013-09-30,174.89,2.19,177.08,102.85,0.0,-5.09,0.0,7.0,3.7,30.09,38.52,1.76,40.28,4.9,35.39,35.39,12.73,22.66,22.66,9.87,4.59,4.59,1.23,25.0,3.7,100.0,75.0
2014-03-31,194.34,0.93,195.27,125.58,0.52,-1.63,0.0,6.66,3.95,18.94,41.26,3.52,44.79,4.18,40.61,40.61,12.99,27.62,27.62,9.87,5.59,5.59,1.23,25.0,3.7,100.0,75.0
2014-06-30,196.11,2.19,198.29,128.8,0.0,-0.71,0.0,7.97,4.31,21.77,36.15,2.16,38.31,2.53,35.78,35.78,11.67,24.11,24.11,9.87,4.88,4.88,1.23,25.0,3.7,100.0,75.0
2014-09-30,192.64,3.75,196.39,121.92,0.0,-2.28,0.0,8.06,4.45,20.05,44.19,2.1,46.28,3.69,42.59,42.59,14.16,28.43,28.43,10.32,5.71,5.71,1.46,28.23,3.7,100.0,71.77
2014-12-31,196.41,5.66,202.07,113.38,0.24,3.55,0.0,8.18,4.5,23.64,48.58,1.42,50.0,2.77,47.24,47.24,16.41,30.83,30.83,10.32,5.97,5.97,1.43,27.75,3.73,100.0,72.25
2015-03-31,173.82,1.15,174.97,91.27,0.27,-0.12,0.0,7.69,4.4,26.27,45.19,3.47,48.66,0.77,47.89,47.89,15.46,32.43,32.43,10.32,6.29,6.29,1.43,27.75,3.73,100.0,72.25
