Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-09-30,250.42,250.42,54.43,9.17,57.44,129.38,35.7,165.08,1.42,163.66,163.66,38.5,125.16,125.16,18.0,34.77,4.35
2020-12-31,271.37,271.37,55.1,9.03,57.61,149.62,43.06,192.68,1.36,191.32,191.32,47.14,144.19,144.19,18.0,40.05,5.0
2021-03-31,304.05,304.05,59.07,8.89,51.68,184.4,16.81,201.21,1.24,199.98,199.98,50.99,148.98,148.98,18.0,41.38,5.17
2021-06-30,295.16,295.16,64.33,8.69,51.57,170.57,33.07,203.65,1.34,202.31,202.31,50.94,151.37,151.37,144.0,5.26,5.24
2021-09-30,324.39,324.39,71.41,8.58,55.96,188.44,40.21,228.66,1.2,227.45,227.45,57.43,170.03,170.03,144.0,5.9,5.88
2021-12-31,326.82,326.82,37.66,8.59,52.02,228.55,18.74,247.29,1.14,246.15,246.15,62.74,183.41,183.41,144.0,6.37,6.35
2022-03-31,317.1,317.1,64.79,8.71,59.63,183.98,23.53,207.51,1.14,206.37,206.37,50.81,155.56,155.56,144.0,5.4,5.39
2022-06-30,299.01,299.01,60.69,8.59,58.34,171.4,-30.8,140.6,1.12,139.48,139.48,37.97,101.52,101.52,144.0,3.52,3.51
2022-09-30,305.63,305.63,68.02,8.18,57.08,172.35,76.36,248.71,0.99,247.72,247.72,57.73,189.99,189.99,144.0,6.6,6.58
2022-12-31,308.74,308.74,66.36,8.37,60.57,173.44,48.89,222.34,0.93,221.41,221.41,56.4,165.01,165.01,144.0,5.73,5.71
2023-03-31,291.85,291.85,64.1,8.14,70.89,148.72,31.9,180.62,0.82,179.8,179.8,45.39,134.42,134.42,144.0,4.67,4.65
2023-06-30,305.65,305.65,73.75,6.35,63.92,161.63,77.45,239.08,0.78,238.3,238.3,55.73,182.57,182.57,144.02,6.34,6.32
2023-09-30,329.18,329.18,76.45,8.89,62.36,181.48,55.35,236.83,1.67,235.16,235.16,58.7,176.46,176.46,144.04,6.13,6.11
2023-12-31,335.82,335.82,74.98,8.52,67.28,185.04,79.1,264.14,1.43,262.71,262.71,54.17,208.54,208.54,144.04,7.24,7.22
2024-03-31,359.53,359.53,81.51,9.79,74.75,193.48,74.04,267.52,1.67,265.85,265.85,59.19,206.66,206.66,144.05,7.17,7.16
2024-06-30,380.47,380.47,85.14,8.88,77.0,209.45,94.4,303.85,1.4,302.45,302.45,68.8,233.65,233.65,144.05,8.11,8.09
2024-09-30,417.64,417.64,85.18,9.51,82.89,240.06,95.42,335.48,1.39,334.09,334.09,92.75,241.34,241.34,144.15,8.37,8.35
2024-12-31,438.43,438.43,84.65,10.87,81.43,261.48,38.04,299.52,1.7,297.82,297.82,75.43,222.39,222.39,144.23,7.71,7.69
2025-03-31,422.55,422.55,95.33,9.46,84.0,233.76,71.63,305.39,1.09,304.3,304.3,76.96,227.34,227.34,144.24,7.88,7.86
