Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,911.57,98.8,1010.37,0.0,0.0,192.02,238.96,205.15,374.24,189.02,563.26,98.91,464.35,0.0,464.35,152.58,311.77,0.0,0.0,311.77,12300.74,0.0,0.25,0.25,167.74,13.64,1062.34,100.0,86.36
2013-03-31,1037.71,61.67,1099.38,0.0,0.0,236.0,254.64,261.19,347.55,315.64,663.19,102.0,561.19,240.01,801.2,220.79,580.41,2.85,0.0,583.26,12300.74,0.0,0.47,0.47,167.74,13.64,1062.34,100.0,86.36
2013-06-30,1600.51,18.86,1619.37,0.0,0.0,231.84,276.0,316.82,794.71,248.55,1043.26,116.03,927.23,0.0,927.23,207.3,719.93,0.0,0.0,719.93,12300.74,0.0,0.59,0.59,167.74,13.64,1062.34,100.0,86.36
2013-09-30,1615.21,34.81,1650.02,0.0,0.0,214.22,282.54,417.11,736.15,300.21,1036.36,120.31,916.05,0.0,916.05,208.47,707.58,0.0,0.0,707.58,12300.74,0.0,0.58,0.58,167.74,13.64,1062.34,100.0,86.36
2013-12-31,1123.38,21.25,1144.63,0.0,0.0,247.14,315.56,252.5,329.43,252.38,581.81,151.15,430.66,0.0,430.66,171.28,259.38,-0.03,0.0,259.35,11070.67,0.0,0.21,0.21,155.45,14.04,951.62,100.0,85.96
2014-03-31,996.01,126.78,1122.79,0.0,0.0,364.87,336.65,1132.41,-711.14,655.81,-55.33,634.88,-690.21,0.0,-690.21,-29.46,-660.75,-46.65,0.0,-707.4,11070.67,0.0,-0.59,-0.59,155.45,14.04,951.62,100.0,85.96
2014-06-30,2033.88,20.97,2054.85,0.0,0.0,286.55,355.17,451.1,962.03,162.77,1124.8,322.1,802.7,0.0,802.7,186.67,616.03,0.0,0.0,616.03,11070.67,0.0,0.56,0.56,155.45,14.04,951.62,100.0,85.96
2014-09-30,2086.01,12.78,2098.79,0.0,0.0,301.05,357.51,509.63,930.6,226.22,1156.82,288.36,868.46,0.0,868.46,184.36,684.1,0.0,0.0,684.1,11070.67,0.0,0.62,0.62,155.45,14.04,951.62,100.0,85.96
2014-12-31,1166.91,10.13,1177.04,0.0,0.0,283.97,353.73,321.93,217.41,290.52,507.93,291.02,216.91,0.0,216.91,52.31,164.6,15.23,0.0,179.83,11070.67,0.0,0.16,0.16,155.45,14.04,951.62,100.0,85.96
2015-03-31,1449.84,21.73,1471.57,0.0,0.0,277.66,359.46,321.83,512.62,181.82,694.44,278.29,416.15,521.95,938.1,293.59,644.51,0.0,0.0,644.51,11070.67,0.0,0.58,0.58,155.45,14.04,951.62,100.0,85.96
2015-06-30,1980.33,21.34,2001.67,0.0,0.0,267.2,334.79,476.49,923.19,216.05,1139.24,273.79,865.45,135.0,1000.45,202.28,798.17,0.0,0.0,798.17,11070.67,0.0,0.63,0.63,155.45,14.04,951.62,100.0,85.96
2015-09-30,2333.15,11.75,2344.9,0.0,0.0,274.83,335.72,517.77,1216.58,358.8,1575.38,272.28,1303.1,134.27,1437.37,221.7,1215.67,0.0,0.0,1215.67,11070.67,0.0,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2015-12-31,1344.17,23.39,1367.56,0.0,0.0,291.66,345.36,375.97,354.57,186.21,540.78,265.26,275.52,131.91,407.43,236.86,170.57,0.0,0.0,170.57,11070.67,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
2016-03-31,1622.46,16.41,1638.87,0.0,0.0,324.67,343.2,755.71,215.29,231.01,446.3,260.77,185.53,149.72,335.25,89.77,245.48,0.0,0.0,245.48,11070.67,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0
2016-06-30,2166.04,30.75,2196.79,0.0,0.0,320.75,338.4,519.52,1018.12,163.27,1181.39,275.07,906.32,137.94,1044.26,186.44,857.82,0.0,0.0,857.82,11070.67,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0
2016-09-30,2351.67,51.69,2403.36,0.0,0.0,330.96,342.16,512.86,1217.38,877.86,2095.24,279.41,1815.83,108.45,1924.28,369.62,1554.66,0.0,0.0,1554.66,11070.67,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2016-12-31,1298.35,10.23,1308.58,0.0,0.0,308.75,355.13,375.39,269.31,174.99,444.3,268.83,175.47,134.02,309.49,94.8,214.69,0.0,0.0,214.69,11070.67,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0
2017-03-31,1337.59,24.85,1362.44,0.0,0.0,614.46,352.71,524.92,-129.65,242.55,112.9,249.91,-137.01,333.58,196.57,28.15,168.42,0.0,0.0,168.42,10259.32,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0
