Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,40.55,40.55,16.31,1.5,2.65,20.09,4.03,24.12,0.63,23.5,23.5,4.59,18.91,18.91,0.81,23.31,1.04
2021-03-31,43.25,43.25,16.61,1.52,3.67,21.46,4.43,25.89,0.64,25.25,25.25,4.94,20.32,20.32,0.81,24.96,1.13
2021-06-30,36.29,36.29,20.17,1.52,3.56,11.04,3.98,15.01,0.59,14.42,14.42,2.89,11.53,11.53,20.04,0.58,0.0
2021-09-30,45.09,45.09,24.0,1.66,5.66,13.78,4.1,17.87,0.58,17.3,17.3,3.59,13.7,13.7,17.37,0.79,0.76
2021-12-31,58.67,58.67,28.67,1.91,5.44,22.65,5.25,27.9,0.56,27.34,27.34,5.73,21.61,21.61,19.78,1.17,1.11
2022-03-31,66.71,66.71,29.81,1.95,4.24,30.72,7.92,38.64,1.17,37.47,37.47,8.42,29.05,29.05,20.04,1.46,1.41
2022-06-30,60.91,60.91,31.08,1.8,5.71,22.32,10.37,32.68,0.64,32.05,32.05,7.69,24.36,24.36,20.04,1.22,1.18
2022-09-30,64.99,64.99,32.7,1.87,7.06,23.36,9.36,32.72,0.63,32.09,32.09,6.29,25.8,25.8,20.04,1.29,1.25
2022-12-31,68.46,68.46,34.85,1.91,6.47,25.22,22.52,47.74,0.69,47.05,47.05,9.69,37.36,37.36,20.31,1.85,1.82
2023-03-31,69.6,69.6,35.75,1.84,7.95,24.07,14.97,39.04,0.66,38.38,38.38,8.67,29.71,29.71,20.49,1.46,1.44
2023-06-30,68.9,68.9,37.64,1.91,9.72,19.63,17.39,37.02,0.79,36.23,36.23,9.85,26.38,26.38,20.49,1.29,1.27
2023-09-30,71.77,71.77,38.77,1.95,8.79,22.26,15.39,37.65,0.77,36.88,36.88,10.58,26.3,26.3,20.49,1.28,1.27
2023-12-31,73.82,73.82,42.25,2.14,9.04,20.4,21.74,42.14,0.75,41.39,41.39,10.03,31.35,31.35,20.59,1.53,1.52
2024-03-31,77.03,77.03,41.05,2.09,8.41,25.48,14.69,40.17,0.72,39.45,39.45,10.22,29.23,29.23,20.59,1.42,1.41
2024-06-30,78.95,78.95,44.33,2.4,8.96,23.26,16.29,39.55,0.65,38.91,38.91,11.04,27.87,27.87,20.6,1.35,1.34
2024-09-30,82.49,82.49,45.42,2.49,8.29,26.29,20.94,47.23,0.59,46.65,46.65,13.4,33.25,33.25,20.6,1.61,1.6
2024-12-31,87.82,87.82,49.38,2.28,16.67,19.5,12.56,32.06,0.49,31.57,31.57,9.53,22.04,22.04,20.65,1.07,1.06
2025-03-31,97.87,97.87,45.37,2.62,57.69,-7.81,18.2,10.38,0.47,9.92,9.92,10.49,-0.57,-0.57,20.65,-0.03,-0.03
