Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%)
2012-12-31,1150.91,358.23,11.48,1.15,203.85,1024.42,163.49,143.77,393.94,74.39,319.55,108.77,210.78,210.78,171.05,13.17,14.92,12.32,12.32,1563.98,362.04,3.85,0.92,0.34,16.74,97.88
2013-03-31,1168.42,397.03,15.39,2.62,196.85,1103.7,151.15,155.99,369.47,98.18,271.29,49.35,221.94,221.94,171.06,13.09,14.73,12.97,12.97,1554.01,431.94,3.44,0.98,0.33,16.77,98.03
2013-06-30,1242.06,397.05,13.24,0.91,215.79,1143.65,173.51,151.35,400.54,245.1,155.44,49.78,105.66,105.66,171.06,0.0,15.0,6.18,6.18,1483.25,373.62,3.51,0.91,0.15,16.77,98.02
2013-09-30,1264.86,437.78,11.12,0.68,143.4,1166.09,170.43,167.41,353.91,10.98,342.93,117.12,225.81,225.81,171.06,0.0,0.0,2.64,2.64,1466.0,411.41,3.39,0.98,0.34,83.42,97.54
2013-12-31,1266.22,461.2,10.54,1.71,156.25,1194.1,176.7,169.22,355.9,7.29,348.61,118.48,230.13,230.13,171.06,0.0,0.0,2.69,2.69,1200.89,356.26,2.83,0.86,0.33,83.43,97.54
2014-03-31,1237.94,480.8,17.46,102.51,178.41,1213.63,200.9,182.55,420.04,55.03,365.01,87.72,277.29,277.29,171.06,0.0,0.0,3.24,3.24,1087.41,321.56,2.46,0.74,0.38,83.43,97.54
2014-06-30,1299.87,458.19,12.51,0.93,156.54,1207.28,204.43,164.8,351.53,22.08,329.45,109.22,220.23,220.23,171.07,0.0,0.0,2.57,2.57,1016.43,303.89,2.22,0.68,0.3,83.66,97.8
2014-09-30,1362.94,452.76,23.27,30.61,195.86,1263.78,203.8,188.1,409.76,45.71,364.05,123.75,240.3,240.3,171.11,0.0,0.0,2.81,2.81,1031.05,318.5,2.1,0.66,0.32,83.84,97.99
2014-12-31,1398.96,449.08,20.6,1.46,219.91,1282.94,235.07,174.65,397.35,-0.82,398.17,133.48,264.69,264.69,171.22,0.0,0.0,3.09,3.09,1066.63,332.94,2.19,0.69,0.35,83.9,98.0
2015-03-31,1385.06,475.89,5.98,41.35,306.0,1285.05,248.66,211.42,469.15,39.78,429.37,148.84,280.53,280.53,171.33,0.0,0.0,3.27,3.27,1057.73,373.27,2.04,0.73,0.35,84.0,98.05
2015-06-30,1414.23,483.77,13.09,2.06,193.94,1308.39,252.29,179.2,367.21,153.1,214.11,72.72,141.39,141.39,171.59,0.0,0.0,0.83,0.82,1304.58,484.47,2.59,0.98,0.17,84.19,98.12
2015-09-30,1400.05,423.56,19.05,59.6,182.27,1293.92,248.93,205.11,336.57,87.28,249.29,88.01,161.28,161.28,343.49,0.0,0.0,0.94,0.92,1498.73,674.84,2.9,1.33,0.2,168.59,98.17
2015-12-31,1385.54,446.38,16.57,54.76,182.82,1297.56,258.59,204.44,325.48,75.11,250.37,87.65,162.72,162.72,343.67,0.0,0.0,0.95,0.94,1684.11,876.1,3.15,1.66,0.19,0.0,0.0
2016-03-31,1469.49,459.96,7.25,89.97,236.27,1340.58,293.04,234.8,394.52,388.64,5.88,-4.38,10.26,10.26,343.79,0.0,0.0,0.06,0.06,1667.77,950.01,2.84,1.64,0.01,0.0,0.0
2016-06-30,1524.22,430.84,12.16,46.55,237.04,1321.1,289.41,214.44,425.86,168.48,257.38,90.07,167.31,167.31,343.87,0.0,0.0,0.97,0.97,1747.31,994.5,2.92,1.68,0.19,0.0,0.0
2016-09-30,1568.8,435.52,15.85,46.08,261.54,1340.06,291.59,221.21,474.93,168.4,306.53,105.29,201.24,201.24,344.1,0.0,0.0,1.17,1.15,1819.72,1039.74,2.78,1.61,0.22,0.0,0.0
2016-12-31,1716.22,451.22,34.94,79.04,263.33,1490.03,319.72,260.1,474.9,158.82,316.08,110.43,205.65,205.65,344.43,0.0,0.0,1.2,1.18,1951.55,1102.37,2.77,1.58,0.2,0.0,0.0
2017-03-31,1736.44,483.82,35.98,59.71,282.11,1473.56,263.03,312.26,549.21,122.7,426.51,169.92,256.59,256.59,344.81,0.0,0.0,1.49,1.46,1727.05,941.2,2.33,1.28,0.24,0.0,0.0
2017-06-30,1787.75,468.29,23.67,44.38,329.1,1523.42,298.45,273.47,557.85,236.44,321.41,111.26,210.15,210.15,388.46,0.0,0.0,1.21,1.19,1867.94,1061.26,2.42,1.39,0.19,0.0,0.0
2017-09-30,1859.0,450.0,25.86,44.74,287.22,1480.69,312.74,290.18,583.21,176.77,406.44,142.74,263.7,263.7,390.91,0.0,0.0,1.35,1.33,1948.97,1066.38,2.39,1.32,0.24,0.0,0.0
2017-12-31,1940.97,482.2,27.88,50.15,228.63,1551.2,300.47,316.76,561.4,162.43,398.97,138.96,260.01,260.01,393.27,0.0,0.0,1.33,1.31,2161.19,1156.68,2.52,1.36,0.22,0.0,0.0
2018-03-31,1951.06,516.95,18.4,61.56,314.17,1614.75,330.81,328.01,588.57,371.53,217.04,72.05,144.99,144.99,394.43,0.0,0.0,0.74,0.73,2795.62,1551.96,3.0,1.69,0.11,0.0,0.0
2018-06-30,2079.44,507.15,25.23,55.56,270.86,1687.32,345.02,302.98,602.92,199.15,403.77,141.06,262.71,262.71,395.52,0.0,0.0,1.33,1.32,2868.82,1620.22,3.0,1.72,0.2,0.0,0.0
